PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
01AX, 8019,5258797, 02864,N,0,7160,-122.466819,37.784792,10/1/2012 6:29:55.000000 PM,10/1/2012 6:28:00.565000 PM,115
01AX, 8019,5258797, 02864,N,0,3886,-122.47325,37.784515,10/1/2012 6:32:57.000000 PM,10/1/2012 6:31:00.571000 PM,117
01AX, 8019,5258797, 02864,N,0,4278,-122.493445,37.779798,10/1/2012 6:41:15.000000 PM,10/1/2012 6:39:00.558000 PM,135
01AX, 8010,5258818,5155,N,0,4278,-122.493445,37.779798,10/1/2012 4:36:40.000000 PM,10/1/2012 4:38:00.326000 PM,-80
01AX, 8041,5258830,5168,N,0,7160,-122.466819,37.784792,10/1/2012 5:11:43.000000 PM,10/1/2012 5:10:00.032000 PM,103
01AX, 8041,5258830,5168,N,0,3886,-122.47325,37.784515,10/1/2012 5:15:22.000000 PM,10/1/2012 5:12:00.040000 PM,202
01AX, 8041,5258830,5168,N,0,4278,-122.493445,37.779798,10/1/2012 5:24:09.000000 PM,10/1/2012 5:19:00.024000 PM,309
01AX, 8341,5258838, 02860,N,0,7160,-122.466819,37.784792,10/1/2012 5:25:55.000000 PM,10/1/2012 5:27:00.429000 PM,-65
01AX, 8341,5258838, 02860,N,0,3886,-122.47325,37.784515,10/1/2012 5:28:52.000000 PM,10/1/2012 5:30:00.421000 PM,-68
01AX, 8341,5258838, 02860,N,0,4278,-122.493445,37.779798,10/1/2012 5:37:29.000000 PM,10/1/2012 5:38:00.414000 PM,-31
01AX, 8010,5258842,5155,N,0,7160,-122.466819,37.784792,10/1/2012 5:36:43.000000 PM,10/1/2012 5:37:00.189000 PM,-17
01AX, 8010,5258842,5155,N,0,3886,-122.47325,37.784515,10/1/2012 5:39:23.000000 PM,10/1/2012 5:40:00.174000 PM,-37
01AX, 8010,5258842,5155,N,0,4278,-122.493445,37.779798,10/1/2012 5:47:16.000000 PM,10/1/2012 5:48:00.182000 PM,-44
01AX, 8202,5258847,5157,N,0,7160,-122.466819,37.784792,10/1/2012 5:47:15.000000 PM,10/1/2012 5:49:00.087000 PM,-105
01AX, 8202,5258847,5157,N,0,3886,-122.47325,37.784515,10/1/2012 5:49:39.000000 PM,10/1/2012 5:52:00.111000 PM,-141
01AX, 8225,5258860, 02854,N,0,7160,-122.466819,37.784792,10/1/2012 6:13:27.000000 PM,10/1/2012 6:14:00.340000 PM,-33
01AX, 8225,5258860, 02854,N,0,3886,-122.47325,37.784515,10/1/2012 6:16:26.000000 PM,10/1/2012 6:17:00.333000 PM,-34
01AX, 8225,5258860, 02854,N,0,4278,-122.493445,37.779798,10/1/2012 6:25:25.000000 PM,10/1/2012 6:25:00.347000 PM,25
01AX, 8221,5258870,4711,N,0,4347,-122.397532,37.792608,10/1/2012 7:11:26.000000 AM,10/1/2012 7:13:00.470000 AM,-94
01AX, 8221,5258870,4711,N,0,3827,-122.466825,37.78463,10/1/2012 6:55:38.000000 AM,10/1/2012 6:56:00.480000 AM,-22
01AX, 8221,5258870,4711,N,0,3832,-122.471103,37.784454,10/1/2012 6:53:36.000000 AM,10/1/2012 6:54:00.498000 AM,-24
01AX, 8221,5258870,4711,N,0,3887,-122.472764,37.784365,10/1/2012 6:52:46.000000 AM,10/1/2012 6:53:00.491000 AM,-14
01AX, 6420,5258877,5138,N,0,4347,-122.397532,37.792608,10/1/2012 7:29:19.000000 AM,10/1/2012 7:24:00.840000 AM,319
01AX, 6420,5258877,5138,N,0,3827,-122.466825,37.78463,10/1/2012 7:08:14.000000 AM,10/1/2012 7:06:00.847000 AM,134
01AX, 6420,5258877,5138,N,0,3832,-122.471103,37.784454,10/1/2012 7:06:00.000000 AM,10/1/2012 7:04:00.854000 AM,120
01AX, 6420,5258877,5138,N,0,3887,-122.472764,37.784365,10/1/2012 7:05:13.000000 AM,10/1/2012 7:03:00.832000 AM,133
01AX, 6420,5258877,5138,N,0,3557,-122.493227,37.779815,10/1/2012 6:51:43.000000 AM,10/1/2012 6:55:00.861000 AM,-197
01AX, 6278,5258883,5139,N,0,4347,-122.397532,37.792608,10/1/2012 7:36:01.000000 AM,10/1/2012 7:35:00.979000 AM,61
01AX, 6278,5258883,5139,N,0,3827,-122.466825,37.78463,10/1/2012 7:15:30.000000 AM,10/1/2012 7:16:00.997000 AM,-30
01AX, 6278,5258883,5139,N,0,3832,-122.471103,37.784454,10/1/2012 7:13:32.000000 AM,10/1/2012 7:14:00.992000 AM,-28
01AX, 6278,5258883,5139,N,0,3887,-122.472764,37.784365,10/1/2012 7:12:41.000000 AM,10/1/2012 7:13:00.986000 AM,-19
01AX, 8033,5258888,5112,N,0,4347,-122.397532,37.792608,10/1/2012 7:48:41.000000 AM,10/1/2012 7:45:00.730000 AM,221
01AX, 8033,5258888,5112,N,0,3827,-122.466825,37.78463,10/1/2012 7:27:40.000000 AM,10/1/2012 7:26:00.717000 AM,100
01AX, 8033,5258888,5112,N,0,3832,-122.471103,37.784454,10/1/2012 7:25:27.000000 AM,10/1/2012 7:24:00.724000 AM,87
01AX, 8033,5258888,5112,N,0,3887,-122.472764,37.784365,10/1/2012 7:24:40.000000 AM,10/1/2012 7:23:00.709000 AM,100
01AX, 8025,5258893,5116,N,0,4347,-122.397532,37.792608,10/1/2012 7:54:36.000000 AM,10/1/2012 7:57:00.317000 AM,-144
01AX, 8025,5258893,5116,N,0,3827,-122.466825,37.78463,10/1/2012 7:34:19.000000 AM,10/1/2012 7:36:00.302000 AM,-101
01AX, 8025,5258893,5116,N,0,3832,-122.471103,37.784454,10/1/2012 7:33:01.000000 AM,10/1/2012 7:34:00.332000 AM,-59
01AX, 8025,5258893,5116,N,0,3887,-122.472764,37.784365,10/1/2012 7:32:12.000000 AM,10/1/2012 7:33:00.309000 AM,-48
01AX, 2838,5258902,5146,N,0,4347,-122.397532,37.792608,10/1/2012 8:19:59.000000 AM,10/1/2012 8:10:00.001000 AM,599
01AX, 2838,5258902,5146,N,0,3827,-122.466825,37.78463,10/1/2012 7:50:12.000000 AM,10/1/2012 7:47:00.009000 AM,192
01AX, 2838,5258902,5146,N,0,3832,-122.471103,37.784454,10/1/2012 7:48:16.000000 AM,10/1/2012 7:45:00.032000 AM,196
01AX, 2838,5258902,5146,N,0,3887,-122.472764,37.784365,10/1/2012 7:46:46.000000 AM,10/1/2012 7:44:00.025000 AM,166
