PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
N, 1543,5244176,9704,Y,2,5240,-122.394364,37.776058,10/1/2012 4:54:53.000000 AM,10/1/2012 4:54:00.991000 AM,53
N, 1481,5244176,9704,Y,1,5240,-122.394364,37.776058,10/1/2012 4:54:35.000000 AM,10/1/2012 4:54:00.991000 AM,35
N, 1481,5244176,9704,Y,1,7217,-122.396431,37.793152,10/1/2012 5:09:12.000000 AM,10/1/2012 5:03:00.941000 AM,372
N, 1543,5244176,9704,Y,2,7217,-122.396431,37.793152,10/1/2012 5:09:12.000000 AM,10/1/2012 5:03:00.941000 AM,372
N, 1543,5244176,9704,Y,2,6996,-122.41934,37.775234,10/1/2012 5:14:49.000000 AM,10/1/2012 5:09:00.984000 AM,349
N, 1481,5244176,9704,Y,1,6996,-122.41934,37.775234,10/1/2012 5:14:49.000000 AM,10/1/2012 5:09:00.984000 AM,349
N, 1543,5244176,9704,Y,2,3912,-122.456561,37.765003,10/1/2012 5:22:25.000000 AM,10/1/2012 5:19:00.923000 AM,205
N, 1481,5244176,9704,Y,1,3912,-122.456561,37.765003,10/1/2012 5:22:17.000000 AM,10/1/2012 5:19:00.923000 AM,197
N, 1543,5244176,9704,Y,2,5199,-122.476825,37.76174,10/1/2012 5:33:01.000000 AM,10/1/2012 5:27:00.949000 AM,361
N, 1481,5244176,9704,Y,1,5199,-122.476825,37.76174,10/1/2012 5:32:53.000000 AM,10/1/2012 5:27:00.949000 AM,353
N, 1481,5244176,9704,Y,1,5224,-122.495565,37.760912,10/1/2012 5:36:54.000000 AM,10/1/2012 5:32:00.967000 AM,294
N, 1543,5244176,9704,Y,2,5224,-122.495565,37.760912,10/1/2012 5:36:51.000000 AM,10/1/2012 5:32:00.967000 AM,291
N, 1481,5244176,9704,Y,1,7219,-122.509201,37.760348,10/1/2012 5:48:06.000000 AM,10/1/2012 5:37:00.975000 AM,666
N, 1543,5244176,9704,Y,2,7219,-122.509201,37.760348,10/1/2012 5:48:47.000000 AM,10/1/2012 5:37:00.975000 AM,707
N, 1424,5244177,9706,Y,2,5240,-122.394364,37.776058,10/1/2012 5:13:04.000000 AM,10/1/2012 5:12:00.789000 AM,64
N, 1413,5244177,9706,Y,1,5240,-122.394364,37.776058,10/1/2012 5:13:09.000000 AM,10/1/2012 5:12:00.789000 AM,69
N, 1424,5244177,9706,Y,2,7217,-122.396431,37.793152,10/1/2012 5:23:01.000000 AM,10/1/2012 5:21:00.812000 AM,121
