route,trip,longitude,latitude,scheduled_time,d_time
31BX, 8307,-122.397532,37.792608,65400,18
31BX, 8307,-122.44593,37.78267,66480,180
31BX, 8307,-122.471975,37.776948,67260,48
31BX, 8325,-122.397532,37.792608,58200,66
31BX, 8325,-122.44593,37.78267,59040,92
31BX, 8325,-122.471975,37.776948,59760,36
31BX, 8002,-122.397532,37.792608,59400,24
31BX, 8002,-122.44593,37.78267,60300,-216
31BX, 8002,-122.471975,37.776948,61020,-262
31BX, 8358,-122.397532,37.792608,61200,-22
31BX, 8358,-122.44593,37.78267,62340,-244
31BX, 8358,-122.471975,37.776948,63060,-234
31BX, 8223,-122.397532,37.792608,62400,12
31BX, 8223,-122.44593,37.78267,63540,-22
31BX, 8223,-122.471975,37.776948,64260,-1
31BX, 8214,-122.397532,37.792608,63000,190
31BX, 8214,-122.44593,37.78267,64200,190
31BX, 8214,-122.471975,37.776948,64980,172
31BX, 8231,-122.397532,37.792608,63600,22
31BX, 8231,-122.44593,37.78267,64800,-150
31BX, 8231,-122.471975,37.776948,65580,-330
31BX, 8008,-122.397532,37.792608,64500,-14
31BX, 8008,-122.44593,37.78267,65580,110
31BX, 8008,-122.471975,37.776948,66360,172
31BX, 8037,-122.397532,37.792608,25560,22
31BX, 8037,-122.445796,37.782706,24780,5
31BX, 8330,-122.445796,37.782706,25380,132
31BX, 8202,-122.397532,37.792608,26820,158
31BX, 8202,-122.445796,37.782706,25980,-14
31BX, 8010,-122.397532,37.792608,27420,31
31BX, 8010,-122.445796,37.782706,26580,-17
31BX, 8010,-122.470531,37.776868,25920,-17
31BX, 8032,-122.397532,37.792608,28080,-204
31BX, 8032,-122.445796,37.782706,27180,-59
31BX, 8214,-122.397532,37.792608,28800,786
31BX, 8214,-122.445796,37.782706,27840,221
31BX, 8228,-122.397532,37.792608,29400,383
31BX, 8228,-122.445796,37.782706,28440,29
31BX, 8228,-122.470531,37.776868,27720,2
31BX, 8031,-122.397532,37.792608,30120,507
31BX, 8031,-122.445796,37.782706,29040,133
31BX, 8031,-122.470531,37.776868,28320,130
31BX, 8327,-122.397532,37.792608,30780,85
31BX, 8327,-122.445796,37.782706,29640,54
31BX, 8327,-122.470531,37.776868,28920,5
31BX, 2841,-122.397532,37.792608,31440,1140
31BX, 2841,-122.445796,37.782706,30240,773
31BX, 8025,-122.397532,37.792608,32160,119
31BX, 8025,-122.445796,37.782706,30960,139
31BX, 8025,-122.470531,37.776868,30240,54
31BX, 8204,-122.397532,37.792608,32820,270
31BX, 8204,-122.445796,37.782706,31620,262
31BX, 8204,-122.470531,37.776868,30900,230
