route,trip,longitude,latitude,scheduled_time,d_time
F, 1055,-122.393874,37.794105,59580,282
F, 1055,-122.399069,37.79111,59880,237
F, 1055,-122.405744,37.785857,60180,283
F, 1055,-122.41081,37.807841,58860,64
F, 1055,-122.412441,37.780568,60480,364
F, 1055,-122.417366,37.807248,58620,-2
F, 1055,-122.419183,37.775243,60780,430
F, 1055,-122.428628,37.767829,61200,489
F, 1055,-122.434866,37.76252,61500,507
F, 1076,-122.41081,37.807841,59220,2217
F, 1079,-122.393874,37.794105,60300,930
F, 1079,-122.399069,37.79111,60600,979
F, 1079,-122.405744,37.785857,60900,967
F, 1079,-122.41081,37.807841,59580,680
F, 1079,-122.412441,37.780568,61200,1038
F, 1079,-122.417366,37.807248,59340,659
F, 1079,-122.419183,37.775243,61500,1043
F, 1079,-122.428628,37.767829,61920,1316
F, 1079,-122.434866,37.76252,62220,1310
F, 1059,-122.393874,37.794105,60660,732
F, 1059,-122.399069,37.79111,60960,726
F, 1059,-122.405744,37.785857,61260,762
F, 1059,-122.41081,37.807841,59940,391
F, 1059,-122.412441,37.780568,61560,863
F, 1059,-122.417366,37.807248,59700,341
F, 1059,-122.419183,37.775243,61860,840
F, 1059,-122.428628,37.767829,62280,1024
F, 1059,-122.434866,37.76252,62580,1059
F, 1070,-122.393874,37.794105,61020,1025
F, 1070,-122.399069,37.79111,61320,1032
F, 1070,-122.405744,37.785857,61620,962
F, 1070,-122.41081,37.807841,60300,80
F, 1070,-122.412441,37.780568,61920,1036
F, 1070,-122.417366,37.807248,60060,106
F, 1070,-122.419183,37.775243,62220,985
F, 1070,-122.428628,37.767829,62640,1048
F, 1070,-122.434866,37.76252,62940,1075
F, 1063,-122.393874,37.794105,61380,221
F, 1063,-122.399069,37.79111,61680,248
F, 1063,-122.405744,37.785857,61980,191
F, 1063,-122.41081,37.807841,60660,165
F, 1063,-122.412441,37.780568,62280,311
F, 1063,-122.417366,37.807248,60420,187
F, 1063,-122.419183,37.775243,62580,352
F, 1063,-122.428628,37.767829,63000,487
F, 1063,-122.434866,37.76252,63300,397
F, 1060,-122.393874,37.794105,61740,-3
F, 1060,-122.399069,37.79111,62040,-50
F, 1060,-122.405744,37.785857,62340,-71
F, 1060,-122.41081,37.807841,61020,-40
F, 1060,-122.412441,37.780568,62640,37
F, 1060,-122.417366,37.807248,60780,49
F, 1060,-122.419183,37.775243,62940,55
F, 1060,-122.428628,37.767829,63360,202
F, 1060,-122.434866,37.76252,63660,230
F, 1074,-122.393874,37.794105,62100,275
F, 1074,-122.399069,37.79111,62400,294
F, 1074,-122.405744,37.785857,62700,358
F, 1074,-122.41081,37.807841,61380,111
F, 1074,-122.412441,37.780568,63000,440
F, 1074,-122.417366,37.807248,61140,204
F, 1074,-122.419183,37.775243,63300,358
F, 1074,-122.428628,37.767829,63720,414
F, 1074,-122.434866,37.76252,64020,411
F, 6210,-122.399069,37.79111,62760,-1973
F, 1893,-122.393874,37.794105,62820,464
F, 1893,-122.399069,37.79111,63120,396
F, 1893,-122.405744,37.785857,63420,464
F, 1893,-122.41081,37.807841,62100,193
F, 1893,-122.412441,37.780568,63720,493
F, 1893,-122.417366,37.807248,61860,185
F, 1893,-122.419183,37.775243,64020,627
F, 1893,-122.428628,37.767829,64440,695
F, 1893,-122.434866,37.76252,64740,660
F, 1040,-122.393874,37.794105,63180,216
F, 1040,-122.399069,37.79111,63480,165
F, 1040,-122.405744,37.785857,63780,246
F, 1040,-122.41081,37.807841,62460,175
F, 1040,-122.412441,37.780568,64080,260
F, 1040,-122.417366,37.807248,62220,255
F, 1040,-122.419183,37.775243,64380,358
F, 1040,-122.428628,37.767829,64800,390
F, 1040,-122.434866,37.76252,65100,396
F, 1856,-122.393874,37.794105,63900,168
F, 1856,-122.399069,37.79111,64200,102
F, 1856,-122.405744,37.785857,64500,143
F, 1856,-122.41081,37.807841,63180,-50
F, 1856,-122.412441,37.780568,64800,203
F, 1856,-122.417366,37.807248,62940,190
F, 1856,-122.419183,37.775243,65100,174
F, 1856,-122.428628,37.767829,65520,224
F, 1856,-122.434866,37.76252,65820,226
F, 8303,-122.417366,37.807248,63300,183
F, 1072,-122.393874,37.794105,64620,335
F, 1072,-122.399069,37.79111,64920,419
F, 1072,-122.405744,37.785857,65220,549
F, 1072,-122.41081,37.807841,63900,385
F, 1072,-122.412441,37.780568,65520,608
F, 1072,-122.417366,37.807248,63660,239
F, 1072,-122.419183,37.775243,65820,563
F, 1072,-122.428628,37.767829,66240,584
F, 1072,-122.434866,37.76252,66540,508
F, 1078,-122.393874,37.794105,64980,-583
F, 1078,-122.399069,37.79111,65280,-678
F, 1078,-122.405744,37.785857,65580,-714
F, 1078,-122.41081,37.807841,64260,-431
F, 1078,-122.412441,37.780568,65880,-652
F, 1078,-122.417366,37.807248,64020,-239
F, 1078,-122.419183,37.775243,66180,-705
F, 1078,-122.428628,37.767829,66600,-739
F, 1080,-122.393874,37.794105,65340,313
F, 1015,-122.399069,37.79111,65640,97
F, 1080,-122.405744,37.785857,65940,305
F, 1015,-122.41081,37.807841,64620,34
F, 1015,-122.412441,37.780568,66240,89
F, 1080,-122.417366,37.807248,64380,283
F, 1080,-122.419183,37.775243,66540,186
F, 1080,-122.428628,37.767829,66960,164
F, 1080,-122.434866,37.76252,67260,103
F, 1053,-122.393874,37.794105,65700,98
F, 1053,-122.399069,37.79111,66000,159
F, 1053,-122.405744,37.785857,66300,222
F, 1053,-122.41081,37.807841,64980,207
F, 1053,-122.412441,37.780568,66600,257
F, 1053,-122.417366,37.807248,64740,230
F, 1053,-122.419183,37.775243,66900,233
F, 1053,-122.428628,37.767829,67320,143
F, 1859,-122.393874,37.794105,66120,33
F, 1859,-122.399069,37.79111,66420,54
F, 1859,-122.405744,37.785857,66720,39
F, 1859,-122.41081,37.807841,65400,160
F, 1859,-122.412441,37.780568,67020,78
F, 1859,-122.417366,37.807248,65160,69
F, 1859,-122.419183,37.775243,67320,82
F, 1859,-122.428628,37.767829,67740,151
F, 1859,-122.434866,37.76252,68040,164
F, 1040,-122.393874,37.794105,83160,-75
F, 1040,-122.399069,37.79111,83400,-135
F, 1040,-122.405744,37.785857,83640,-195
F, 1040,-122.41081,37.807841,82560,5
F, 1040,-122.412441,37.780568,83880,-218
F, 1040,-122.417366,37.807248,82380,9
F, 1040,-122.419183,37.775243,84120,-236
F, 1040,-122.428628,37.767829,84480,-259
F, 1040,-122.434866,37.76252,84780,-364
F, 1072,-122.393874,37.794105,84060,117
F, 1072,-122.399069,37.79111,84300,130
F, 1072,-122.405744,37.785857,84540,117
F, 1072,-122.41081,37.807841,83460,193
F, 1072,-122.412441,37.780568,84780,184
F, 1072,-122.417366,37.807248,83280,91
F, 1072,-122.419183,37.775243,85020,200
F, 1072,-122.428628,37.767829,85380,209
F, 1072,-122.434866,37.76252,85680,95
F, 1015,-122.393874,37.794105,85260,17
F, 1015,-122.399069,37.79111,85500,-21
F, 1015,-122.405744,37.785857,85740,-48
F, 1015,-122.41081,37.807841,84660,-34
F, 1015,-122.412441,37.780568,85980,-122
F, 1015,-122.417366,37.807248,84480,-34
F, 1015,-122.419183,37.775243,86220,-145
F, 1015,-122.428628,37.767829,43381,42931
F, 1059,-122.41081,37.807841,85860,-34
F, 1059,-122.417366,37.807248,85680,-20
F, 1055,-122.393874,37.794105,66780,233
F, 1055,-122.399069,37.79111,67080,223
F, 1055,-122.405744,37.785857,67380,261
F, 1055,-122.41081,37.807841,66060,217
F, 1055,-122.412441,37.780568,67680,232
F, 1055,-122.417366,37.807248,65820,192
F, 1055,-122.419183,37.775243,67980,229
F, 1055,-122.428628,37.767829,68400,312
F, 1055,-122.434866,37.76252,68700,333
F, 1076,-122.419183,37.775243,68340,-1711
F, 1076,-122.428628,37.767829,68760,-1755
F, 1079,-122.393874,37.794105,67500,1393
F, 1079,-122.399069,37.79111,67800,1485
F, 1079,-122.405744,37.785857,68100,1589
F, 1079,-122.41081,37.807841,66780,1118
F, 1079,-122.412441,37.780568,68400,1695
F, 1079,-122.417366,37.807248,66540,1153
F, 1079,-122.419183,37.775243,68700,1699
F, 1079,-122.428628,37.767829,69120,1638
F, 1059,-122.393874,37.794105,67860,1127
F, 1059,-122.399069,37.79111,68160,1190
F, 1059,-122.405744,37.785857,68460,1282
F, 1059,-122.41081,37.807841,67140,930
