route,trip,longitude,latitude,scheduled_time,d_time
N OWL, 8431,-122.393874,37.794105,5581,27
N OWL, 8431,-122.394895,37.776894,5101,204
N OWL, 8431,-122.419183,37.775243,6301,-47
N OWL, 8431,-122.42903,37.76932,6601,-28
N OWL, 8431,-122.43076,37.77214,6661,-5
N OWL, 8431,-122.476825,37.76174,7441,41
N OWL, 8431,-122.508777,37.76017,7921,297
N OWL, 8454,-122.393874,37.794105,7381,87
N OWL, 8454,-122.394895,37.776894,6901,220
N OWL, 8454,-122.419183,37.775243,8101,45
N OWL, 8454,-122.42903,37.76932,8401,60
N OWL, 8454,-122.43076,37.77214,8461,189
N OWL, 8454,-122.476825,37.76174,9241,328
N OWL, 8454,-122.508777,37.76017,9721,379
N OWL, 8420,-122.393874,37.794105,10981,176
N OWL, 8420,-122.394895,37.776894,10501,219
N OWL, 8420,-122.419183,37.775243,11701,234
N OWL, 8420,-122.42903,37.76932,12001,204
N OWL, 8420,-122.43076,37.77214,12061,235
N OWL, 8420,-122.476825,37.76174,12841,227
N OWL, 8420,-122.508777,37.76017,13321,137
N OWL, 8431,-122.393874,37.794105,12781,-5
N OWL, 8431,-122.394895,37.776894,12301,237
N OWL, 8431,-122.419183,37.775243,13501,-126
N OWL, 8431,-122.42903,37.76932,13801,-160
N OWL, 8431,-122.43076,37.77214,13861,-146
N OWL, 8431,-122.476825,37.76174,14641,-174
N OWL, 8431,-122.508777,37.76017,15121,-252
N OWL, 8408,-122.393874,37.794105,16381,-16
N OWL, 8408,-122.394895,37.776894,15901,75
N OWL, 8408,-122.419183,37.775243,17101,28
N OWL, 8408,-122.42903,37.76932,17401,151
N OWL, 8408,-122.43076,37.77214,17461,180
N OWL, 8408,-122.476825,37.76174,18241,283
N OWL, 8454,-122.393874,37.794105,14581,90
N OWL, 8454,-122.394895,37.776894,14101,222
N OWL, 8454,-122.419183,37.775243,15301,107
N OWL, 8454,-122.42903,37.76932,15601,144
N OWL, 8454,-122.43076,37.77214,15661,171
N OWL, 8454,-122.476825,37.76174,16441,159
N OWL, 8454,-122.508777,37.76017,16921,116
N OWL, 8408,-122.393874,37.794105,9181,-158
N OWL, 8408,-122.394895,37.776894,8701,-183
N OWL, 8408,-122.419183,37.775243,9901,-92
N OWL, 8408,-122.42903,37.76932,10201,-46
N OWL, 8408,-122.43076,37.77214,10261,29
N OWL, 8408,-122.476825,37.76174,11041,288
N OWL, 8408,-122.508777,37.76017,11521,798
N OWL, 8420,-122.393874,37.794105,3781,11
N OWL, 8420,-122.394895,37.776894,46501,199
N OWL, 8420,-122.419183,37.775243,4501,111
N OWL, 8420,-122.42903,37.76932,4801,146
N OWL, 8420,-122.43076,37.77214,4861,183
N OWL, 8420,-122.476825,37.76174,5641,171
N OWL, 8420,-122.508777,37.76017,6121,155
N OWL, 8408,-122.393324,37.79324,6901,635
N OWL, 8408,-122.394895,37.776894,7381,579
N OWL, 8408,-122.419321,37.775056,6301,472
N OWL, 8408,-122.429167,37.769499,6061,266
N OWL, 8408,-122.477194,37.761655,5221,-2
N OWL, 8431,-122.393324,37.79324,10501,428
N OWL, 8431,-122.394895,37.776894,10981,287
N OWL, 8431,-122.419321,37.775056,9901,402
N OWL, 8431,-122.429167,37.769499,9661,19
N OWL, 8431,-122.477194,37.761655,8821,27
N OWL, 8431,-122.508777,37.76017,8341,16
N OWL, 8454,-122.393324,37.79324,12301,305
N OWL, 8454,-122.394895,37.776894,12781,168
N OWL, 8454,-122.419321,37.775056,11701,258
N OWL, 8454,-122.429167,37.769499,11461,121
N OWL, 8454,-122.477194,37.761655,10621,78
N OWL, 8454,-122.508777,37.76017,10141,46
N OWL, 8420,-122.393324,37.79324,15901,401
N OWL, 8420,-122.394895,37.776894,16381,314
N OWL, 8420,-122.419321,37.775056,15301,312
N OWL, 8420,-122.429167,37.769499,15061,114
N OWL, 8420,-122.477194,37.761655,14221,67
N OWL, 8420,-122.508777,37.76017,13741,83
N OWL, 8431,-122.393324,37.79324,17701,475
N OWL, 8431,-122.394895,37.776894,18181,309
N OWL, 8431,-122.419321,37.775056,17101,307
N OWL, 8431,-122.429167,37.769499,16861,177
N OWL, 8431,-122.477194,37.761655,16021,102
N OWL, 8431,-122.508777,37.76017,15541,147
N OWL, 8454,-122.393324,37.79324,19501,601
N OWL, 8454,-122.394895,37.776894,19981,414
N OWL, 8454,-122.419321,37.775056,18901,462
N OWL, 8454,-122.429167,37.769499,18661,307
N OWL, 8454,-122.477194,37.761655,17821,167
N OWL, 8454,-122.508777,37.76017,17341,62
N OWL, 8408,-122.393324,37.79324,14101,870
N OWL, 8408,-122.394895,37.776894,14581,675
N OWL, 8408,-122.419321,37.775056,13501,773
N OWL, 8408,-122.429167,37.769499,13261,557
N OWL, 8408,-122.477194,37.761655,12421,426
N OWL, 8408,-122.508777,37.76017,11941,379
N OWL, 8420,-122.393324,37.79324,8701,467
N OWL, 8420,-122.394895,37.776894,9181,380
N OWL, 8420,-122.419321,37.775056,8101,322
N OWL, 8420,-122.429167,37.769499,7861,112
N OWL, 8420,-122.477194,37.761655,7021,0
N OWL, 8420,-122.508777,37.76017,6541,81
N OWL, 8454,-122.393324,37.79324,5101,279
N OWL, 8454,-122.394895,37.776894,5581,173
N OWL, 8454,-122.419321,37.775056,4501,192
N OWL, 8454,-122.429167,37.769499,4261,85
N OWL, 8454,-122.477194,37.761655,46621,66
N OWL, 8454,-122.508777,37.76017,46141,43
