PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
82X, 8341,5243894,5166,N,0,3089,-122.3967,37.79175,10/2/2012 4:11:45.000000 PM,10/2/2012 4:14:00.643000 PM,-135
82X, 8341,5243894,5166,N,0,4017,-122.39902,37.795098,10/2/2012 4:08:24.000000 PM,10/2/2012 4:10:00.660000 PM,-96
82X, 8341,5243894,5166,N,0,3026,-122.40184,37.80216,10/2/2012 4:04:33.000000 PM,10/2/2012 4:05:00.652000 PM,-27
82X, 8318,5243895,5173,N,0,3089,-122.3967,37.79175,10/2/2012 4:27:07.000000 PM,10/2/2012 4:29:00.556000 PM,-113
82X, 8318,5243895,5173,N,0,4017,-122.39902,37.795098,10/2/2012 4:22:38.000000 PM,10/2/2012 4:25:00.564000 PM,-142
82X, 8110,5243896,8253,N,0,3089,-122.3967,37.79175,10/2/2012 4:42:19.000000 PM,10/2/2012 4:44:00.276000 PM,-101
82X, 8110,5243896,8253,N,0,4017,-122.39902,37.795098,10/2/2012 4:39:23.000000 PM,10/2/2012 4:40:00.266000 PM,-37
82X, 8110,5243896,8253,N,0,3026,-122.40184,37.80216,10/2/2012 4:31:29.000000 PM,10/2/2012 4:35:00.286000 PM,-211
82X, 8365,5243899,8251,N,0,3089,-122.3967,37.79175,10/2/2012 5:59:14.000000 PM,10/2/2012 5:59:00.458000 PM,14
82X, 8002,5243900,5161,N,0,3089,-122.3967,37.79175,10/2/2012 3:52:50.000000 PM,10/2/2012 3:53:00.835000 PM,-10
82X, 8325,5243903,5178,N,0,3089,-122.3967,37.79175,10/2/2012 4:58:30.000000 PM,10/2/2012 4:59:00.894000 PM,-30
82X, 8325,5243903,5178,N,0,4017,-122.39902,37.795098,10/2/2012 4:55:30.000000 PM,10/2/2012 4:55:00.883000 PM,30
82X, 8325,5243903,5178,N,0,3026,-122.40184,37.80216,10/2/2012 4:51:00.000000 PM,10/2/2012 4:50:00.862000 PM,60
82X, 8186,5243906,1678,N,0,6290,-122.400179,37.794135,10/2/2012 8:46:47.000000 AM,10/2/2012 8:48:00.036000 AM,-73
82X, 8186,5243906,1678,N,0,6329,-122.40294,37.80234,10/2/2012 8:51:17.000000 AM,10/2/2012 8:50:00.027000 AM,77
82X, 8415,5243907,8203,N,0,6290,-122.400179,37.794135,10/2/2012 9:26:12.000000 AM,10/2/2012 9:18:00.946000 AM,492
82X, 8415,5243907,8203,N,0,6329,-122.40294,37.80234,10/2/2012 9:31:18.000000 AM,10/2/2012 9:20:00.922000 AM,678
82X, 8420,5243908,8204,N,0,6290,-122.400179,37.794135,10/2/2012 7:40:31.000000 AM,10/2/2012 7:38:00.357000 AM,151
82X, 8420,5243908,8204,N,0,6329,-122.40294,37.80234,10/2/2012 7:44:37.000000 AM,10/2/2012 7:40:00.374000 AM,277
82X, 8415,5243909,8203,N,0,6290,-122.400179,37.794135,10/2/2012 8:16:32.000000 AM,10/2/2012 8:18:00.351000 AM,-88
82X, 8415,5243909,8203,N,0,6329,-122.40294,37.80234,10/2/2012 8:21:55.000000 AM,10/2/2012 8:20:00.360000 AM,115
82X, 8159,5243910,1677,N,0,6290,-122.400179,37.794135,10/2/2012 8:41:31.000000 AM,10/2/2012 8:38:00.811000 AM,211
82X, 8159,5243910,1677,N,0,6329,-122.40294,37.80234,10/2/2012 8:48:53.000000 AM,10/2/2012 8:40:00.820000 AM,533
82X, 8334,5243911,3054,N,0,6290,-122.400179,37.794135,10/2/2012 6:17:47.000000 AM,10/2/2012 6:14:00.290000 AM,227
82X, 8334,5243911,3054,N,0,6329,-122.40294,37.80234,10/2/2012 6:22:17.000000 AM,10/2/2012 6:16:00.306000 AM,377
82X, 8341,5243913,3058,N,0,6290,-122.400179,37.794135,10/2/2012 6:56:32.000000 AM,10/2/2012 6:55:00.076000 AM,92
82X, 8341,5243913,3058,N,0,6329,-122.40294,37.80234,10/2/2012 7:01:51.000000 AM,10/2/2012 6:57:00.068000 AM,291
82X, 8178,5243915,8202,N,0,6290,-122.400179,37.794135,10/2/2012 7:16:26.000000 AM,10/2/2012 7:22:00.046000 AM,-334
82X, 8178,5243915,8202,N,0,6329,-122.40294,37.80234,10/2/2012 7:22:04.000000 AM,10/2/2012 7:24:00.037000 AM,-116
82X, 8117,5243917,8201,N,0,6290,-122.400179,37.794135,10/2/2012 8:07:29.000000 AM,10/2/2012 8:03:00.083000 AM,269
82X, 8117,5243917,8201,N,0,6329,-122.40294,37.80234,10/2/2012 8:13:07.000000 AM,10/2/2012 8:05:00.075000 AM,487
82X, 8420,5243919,8204,N,0,6290,-122.400179,37.794135,10/2/2012 8:25:05.000000 AM,10/2/2012 8:23:00.562000 AM,125
82X, 8420,5243919,8204,N,0,6329,-122.40294,37.80234,10/2/2012 8:31:29.000000 AM,10/2/2012 8:25:00.546000 AM,389
82X, 8178,5243922,8202,N,0,6290,-122.400179,37.794135,10/2/2012 9:14:15.000000 AM,10/2/2012 9:03:00.721000 AM,675
82X, 8178,5243922,8202,N,0,6329,-122.40294,37.80234,10/2/2012 9:20:57.000000 AM,10/2/2012 9:05:00.728000 AM,957
82X, 8192,5243924,1676,N,0,6290,-122.400179,37.794135,10/2/2012 9:34:06.000000 AM,10/2/2012 9:23:00.002000 AM,666
82X, 8192,5243924,1676,N,0,6329,-122.40294,37.80234,10/2/2012 9:39:51.000000 AM,10/2/2012 9:25:00.983000 AM,891
