route,trip,longitude,latitude,scheduled_time,d_time
54, 8415,-122.388632,37.740344,85800,147
54, 8415,-122.39295,37.72938,86340,56
54, 8421,-122.40324,37.727739,43381,-16
54, 8421,-122.42876,37.719823,43921,-42
54, 8421,-122.440874,37.716473,44161,-21
54, 8421,-122.447219,37.72105,44341,-98
54, 8421,-122.4669,37.71163,44881,-194
54, 8421,-122.469273,37.705764,45001,-168
54, 8161,-122.388632,37.740344,44401,-33
54, 8161,-122.39295,37.72938,44941,-33
54, 8161,-122.40324,37.727739,45181,30
54, 8161,-122.42876,37.719823,45721,45
54, 8161,-122.440874,37.716473,45961,86
54, 8161,-122.447219,37.72105,46141,77
54, 8161,-122.4669,37.71163,46681,27
54, 8161,-122.469273,37.705764,3601,43197
54, 8189,-122.388632,37.740344,84000,43
54, 8189,-122.39295,37.72938,84540,53
54, 8189,-122.40324,37.727739,84780,210
54, 8189,-122.42876,37.719823,85320,226
54, 8189,-122.440874,37.716473,85560,273
54, 8189,-122.447219,37.72105,85740,270
54, 8165,-122.469273,37.705764,43200,88
54, 8183,-122.388632,37.740344,82200,163
54, 8183,-122.39295,37.72938,82800,148
54, 8183,-122.40324,37.727739,83100,205
54, 8183,-122.42876,37.719823,83640,268
54, 8183,-122.440874,37.716473,83880,373
54, 8183,-122.447219,37.72105,84060,376
54, 8183,-122.4669,37.71163,84600,396
54, 8183,-122.469273,37.705764,84720,385
54, 8429,-122.39295,37.72938,81000,-167
54, 8429,-122.40324,37.727739,81300,-136
54, 8429,-122.42876,37.719823,81840,-136
54, 8429,-122.440874,37.716473,82080,-105
54, 8429,-122.447219,37.72105,82260,-106
54, 8429,-122.4669,37.71163,82800,-34
54, 8429,-122.469273,37.705764,82920,26
54, 8415,-122.388632,37.740344,78600,83
54, 8415,-122.39295,37.72938,79200,-4
54, 8415,-122.40324,37.727739,79500,-27
54, 8415,-122.42876,37.719823,80040,-43
54, 8415,-122.440874,37.716473,80280,86
54, 8415,-122.447219,37.72105,80460,36
54, 8415,-122.4669,37.71163,81000,8
54, 8415,-122.469273,37.705764,81120,57
54, 8189,-122.388632,37.740344,76800,28
54, 8189,-122.39295,37.72938,77460,-29
54, 8189,-122.40324,37.727739,77760,12
54, 8189,-122.42876,37.719823,78300,85
54, 8189,-122.440874,37.716473,78600,140
54, 8189,-122.447219,37.72105,78780,152
54, 8189,-122.4669,37.71163,79320,210
54, 8189,-122.469273,37.705764,79440,362
54, 8183,-122.388632,37.740344,75000,181
54, 8183,-122.39295,37.72938,75660,202
54, 8183,-122.40324,37.727739,75960,310
54, 8183,-122.42876,37.719823,76500,494
54, 8183,-122.440874,37.716473,76800,565
54, 8183,-122.447219,37.72105,76980,559
54, 8183,-122.4669,37.71163,77520,617
54, 8183,-122.469273,37.705764,77640,708
54, 8127,-122.388632,37.740344,73200,195
54, 8127,-122.39295,37.72938,73860,197
54, 8127,-122.40324,37.727739,74160,217
54, 8127,-122.42876,37.719823,74700,268
54, 8127,-122.440874,37.716473,75000,259
54, 8127,-122.447219,37.72105,75180,261
54, 8127,-122.4669,37.71163,75720,187
54, 8127,-122.469273,37.705764,75840,247
54, 8134,-122.388632,37.740344,71400,92
54, 8134,-122.39295,37.72938,72060,114
54, 8134,-122.40324,37.727739,72360,801
54, 8134,-122.42876,37.719823,72900,946
54, 8134,-122.440874,37.716473,73200,1016
