route,trip,longitude,latitude,scheduled_time,d_time
L, 1448,-122.396431,37.793152,17400,298
L, 1448,-122.396431,37.793152,17400,306
L, 1448,-122.41934,37.775234,17760,914
L, 1448,-122.435289,37.762683,18000,832
L, 1448,-122.4658,37.740956,18480,800
L, 1469,-122.4658,37.740956,18480,876
L, 1448,-122.465846,37.740893,18540,816
L, 1469,-122.465846,37.740893,18540,816
L, 1469,-122.478791,37.742967,18840,743
L, 1448,-122.478791,37.742967,18840,739
L, 1469,-122.494218,37.742267,19080,726
L, 1448,-122.494218,37.742267,19080,723
L, 1448,-122.504351,37.736125,19380,809
L, 1469,-122.504351,37.736125,19380,759
L, 1466,-122.396431,37.793152,18600,730
L, 1482,-122.396431,37.793152,18600,730
L, 1482,-122.41934,37.775234,18960,696
L, 1466,-122.41934,37.775234,18960,696
L, 1466,-122.435289,37.762683,19200,615
L, 1482,-122.435289,37.762683,19200,615
L, 1466,-122.4658,37.740956,19680,601
L, 1482,-122.4658,37.740956,19680,610
L, 1482,-122.465846,37.740893,19740,550
L, 1466,-122.465846,37.740893,19740,550
L, 1482,-122.478791,37.742967,20040,503
L, 1466,-122.478791,37.742967,20040,505
L, 1466,-122.494218,37.742267,20280,558
L, 1482,-122.494218,37.742267,20280,558
L, 1482,-122.504351,37.736125,20580,631
L, 1466,-122.504351,37.736125,20580,629
L, 1518,-122.396431,37.793152,19680,210
L, 1434,-122.396431,37.793152,19680,210
L, 1518,-122.41934,37.775234,20040,204
L, 1434,-122.41934,37.775234,20040,204
L, 1434,-122.435289,37.762683,20280,140
L, 1518,-122.435289,37.762683,20280,140
L, 1434,-122.4658,37.740956,20760,162
L, 1518,-122.4658,37.740956,20760,164
L, 1518,-122.465846,37.740893,20820,106
L, 1434,-122.465846,37.740893,20820,104
L, 1434,-122.478791,37.742967,21120,82
L, 1518,-122.478791,37.742967,21120,88
L, 1518,-122.494218,37.742267,21360,131
L, 1434,-122.494218,37.742267,21360,118
L, 1434,-122.504351,37.736125,21660,225
L, 1518,-122.504351,37.736125,21660,240
L, 1443,-122.396431,37.793152,20760,-287
L, 1542,-122.396431,37.793152,20760,-287
L, 1542,-122.41934,37.775234,21120,-313
L, 1443,-122.41934,37.775234,21120,-313
L, 1443,-122.435289,37.762683,21360,-390
L, 1542,-122.435289,37.762683,21360,-390
L, 1542,-122.4658,37.740956,21840,-361
L, 1443,-122.4658,37.740956,21840,-377
L, 1443,-122.465846,37.740893,21900,-435
L, 1542,-122.465846,37.740893,21900,-420
L, 1542,-122.478791,37.742967,22200,-457
L, 1443,-122.478791,37.742967,22200,-466
L, 1443,-122.494218,37.742267,22440,-477
L, 1542,-122.494218,37.742267,22440,-495
L, 1443,-122.504351,37.736125,22740,-379
L, 1542,-122.504351,37.736125,22740,-380
L, 1496,-122.396431,37.793152,21720,-77
L, 1476,-122.396431,37.793152,21720,-77
L, 1476,-122.41934,37.775234,22080,-116
L, 1496,-122.41934,37.775234,22080,-116
L, 1496,-122.435289,37.762683,22320,-187
L, 1476,-122.435289,37.762683,22320,-187
L, 1496,-122.4658,37.740956,22800,-132
L, 1476,-122.4658,37.740956,22800,-132
L, 1476,-122.465846,37.740893,22860,-192
L, 1496,-122.465846,37.740893,22860,-192
L, 1496,-122.478791,37.742967,23160,-133
L, 1476,-122.478791,37.742967,23160,-135
L, 1476,-122.494218,37.742267,23460,-106
L, 1496,-122.494218,37.742267,23460,-81
L, 1476,-122.504351,37.736125,23820,-94
L, 1496,-122.504351,37.736125,23820,-79
L, 1448,-122.396431,37.793152,22680,532
L, 1469,-122.396431,37.793152,22680,532
L, 1469,-122.41934,37.775234,23040,496
L, 1448,-122.41934,37.775234,23040,496
L, 1469,-122.435289,37.762683,23280,417
L, 1448,-122.435289,37.762683,23280,417
L, 1448,-122.4658,37.740956,23760,668
L, 1469,-122.4658,37.740956,23760,668
L, 1469,-122.465846,37.740893,23820,608
L, 1448,-122.465846,37.740893,23820,608
L, 1469,-122.478791,37.742967,24120,660
L, 1448,-122.478791,37.742967,24120,658
L, 1448,-122.494218,37.742267,24420,615
L, 1469,-122.494218,37.742267,24420,614
L, 1469,-122.504351,37.736125,24780,635
L, 1448,-122.504351,37.736125,24780,636
L, 1474,-122.396431,37.793152,23520,-429
L, 1458,-122.396431,37.793152,23520,-429
L, 1474,-122.41934,37.775234,23880,-446
L, 1458,-122.41934,37.775234,23880,-446
L, 1458,-122.435289,37.762683,24120,-512
L, 1474,-122.435289,37.762683,24120,-512
L, 1458,-122.4658,37.740956,24600,-392
L, 1474,-122.4658,37.740956,24600,-393
L, 1458,-122.465846,37.740893,24660,-451
