PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
71L, 8185,5217032,7113,N,0,5694,-122.405744,37.785857,10/3/2012 4:33:05.000000 PM,10/3/2012 4:37:00.975000 PM,-235
71L, 8185,5217032,7113,N,0,5696,-122.419183,37.775243,10/3/2012 4:42:13.000000 PM,10/3/2012 4:47:00.967000 PM,-287
71L, 8185,5217032,7113,N,0,4952,-122.43076,37.77214,10/3/2012 4:46:44.000000 PM,10/3/2012 4:53:00.008000 PM,-376
71L, 8185,5217032,7113,N,0,6483,-122.453464,37.768331,10/3/2012 4:58:45.000000 PM,10/3/2012 5:03:00.984000 PM,-255
71L, 8185,5217032,7113,N,0,5309,-122.47761,37.765526,10/3/2012 5:06:15.000000 PM,10/3/2012 5:11:00.999000 PM,-285
71L, 8185,5217032,7113,N,0,5828,-122.507509,37.750927,10/3/2012 5:20:15.000000 PM,10/3/2012 5:28:00.992000 PM,-465
71L, 8184,5217163,7112,N,0,5694,-122.405744,37.785857,10/3/2012 3:59:48.000000 PM,10/3/2012 3:55:00.378000 PM,288
71L, 8184,5217163,7112,N,0,5696,-122.419183,37.775243,10/3/2012 4:07:28.000000 PM,10/3/2012 4:05:00.409000 PM,148
71L, 8184,5217163,7112,N,0,4952,-122.43076,37.77214,10/3/2012 4:13:18.000000 PM,10/3/2012 4:11:00.394000 PM,138
71L, 8184,5217163,7112,N,0,6483,-122.453464,37.768331,10/3/2012 4:22:46.000000 PM,10/3/2012 4:21:00.386000 PM,106
71L, 8184,5217163,7112,N,0,5309,-122.47761,37.765526,10/3/2012 4:31:18.000000 PM,10/3/2012 4:29:00.431000 PM,138
71L, 8184,5217163,7112,N,0,5828,-122.507509,37.750927,10/3/2012 4:47:39.000000 PM,10/3/2012 4:46:00.417000 PM,99
71L, 8126,5217164,7101,N,0,5694,-122.405744,37.785857,10/3/2012 4:11:03.000000 PM,10/3/2012 4:07:00.120000 PM,243
71L, 8126,5217164,7101,N,0,5696,-122.419183,37.775243,10/3/2012 4:23:43.000000 PM,10/3/2012 4:17:00.169000 PM,403
71L, 8126,5217164,7101,N,0,4952,-122.43076,37.77214,10/3/2012 4:30:11.000000 PM,10/3/2012 4:23:00.137000 PM,431
71L, 8126,5217164,7101,N,0,6483,-122.453464,37.768331,10/3/2012 4:40:13.000000 PM,10/3/2012 4:33:00.161000 PM,433
71L, 8126,5217164,7101,N,0,5309,-122.47761,37.765526,10/3/2012 4:49:28.000000 PM,10/3/2012 4:41:00.129000 PM,508
71L, 8126,5217164,7101,N,0,5828,-122.507509,37.750927,10/3/2012 5:03:59.000000 PM,10/3/2012 4:58:00.111000 PM,359
71L, 8410,5217165,7152,N,0,5694,-122.405744,37.785857,10/3/2012 4:20:41.000000 PM,10/3/2012 4:17:00.033000 PM,221
71L, 8410,5217165,7152,N,0,5696,-122.419183,37.775243,10/3/2012 4:28:47.000000 PM,10/3/2012 4:27:00.049000 PM,107
71L, 8410,5217165,7152,N,0,4952,-122.43076,37.77214,10/3/2012 4:33:33.000000 PM,10/3/2012 4:33:00.041000 PM,33
71L, 8410,5217165,7152,N,0,6483,-122.453464,37.768331,10/3/2012 4:41:04.000000 PM,10/3/2012 4:43:00.056000 PM,-116
71L, 8410,5217165,7152,N,0,5309,-122.47761,37.765526,10/3/2012 4:48:11.000000 PM,10/3/2012 4:51:00.025000 PM,-169
71L, 8410,5217165,7152,N,0,5828,-122.507509,37.750927,10/3/2012 5:04:01.000000 PM,10/3/2012 5:08:00.008000 PM,-239
71L, 8408,5217167,7103,N,0,5694,-122.405744,37.785857,10/3/2012 4:53:51.000000 PM,10/3/2012 4:47:00.838000 PM,411
71L, 8408,5217167,7103,N,0,5696,-122.419183,37.775243,10/3/2012 5:07:54.000000 PM,10/3/2012 4:57:00.847000 PM,654
71L, 8408,5217167,7103,N,0,4952,-122.43076,37.77214,10/3/2012 5:14:41.000000 PM,10/3/2012 5:03:00.879000 PM,701
71L, 8408,5217167,7103,N,0,6483,-122.453464,37.768331,10/3/2012 5:26:56.000000 PM,10/3/2012 5:13:00.822000 PM,836
71L, 8408,5217167,7103,N,0,5309,-122.47761,37.765526,10/3/2012 5:36:39.000000 PM,10/3/2012 5:21:00.862000 PM,939
71L, 8408,5217167,7103,N,0,5828,-122.507509,37.750927,10/3/2012 5:52:22.000000 PM,10/3/2012 5:38:00.855000 PM,862
71L, 8418,5217168,7105,N,0,5694,-122.405744,37.785857,10/3/2012 4:47:50.000000 PM,10/3/2012 4:57:00.679000 PM,-550
71L, 8418,5217168,7105,N,0,5696,-122.419183,37.775243,10/3/2012 4:47:50.000000 PM,10/3/2012 5:07:00.663000 PM,-1150
71L, 8138,5217168,7105,Y,1,4952,-122.43076,37.77214,10/3/2012 5:23:25.000000 PM,10/3/2012 5:13:00.670000 PM,625
71L, 8418,5217168,7105,Y,2,4952,-122.43076,37.77214,10/3/2012 4:47:50.000000 PM,10/3/2012 5:13:00.670000 PM,-1510
71L, 8418,5217168,7105,Y,2,6483,-122.453464,37.768331,10/3/2012 4:56:42.000000 PM,10/3/2012 5:23:00.650000 PM,-1578
71L, 8138,5217168,7105,Y,1,6483,-122.453464,37.768331,10/3/2012 5:36:10.000000 PM,10/3/2012 5:23:00.650000 PM,790
71L, 8138,5217168,7105,Y,1,5309,-122.47761,37.765526,10/3/2012 5:49:01.000000 PM,10/3/2012 5:31:00.656000 PM,1081
71L, 8418,5217168,7105,Y,2,5309,-122.47761,37.765526,10/3/2012 5:04:34.000000 PM,10/3/2012 5:31:00.656000 PM,-1586
71L, 8418,5217168,7105,Y,2,5828,-122.507509,37.750927,10/3/2012 5:21:37.000000 PM,10/3/2012 5:48:00.643000 PM,-1583
