PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
F, 1055,5311496,9814,N,0,4726,-122.393874,37.794105,10/3/2012 4:34:29.000000 PM,10/3/2012 4:33:00.307000 PM,89
F, 1055,5311496,9814,N,0,5657,-122.399069,37.79111,10/3/2012 4:39:17.000000 PM,10/3/2012 4:38:00.368000 PM,77
F, 1055,5311496,9814,N,0,5694,-122.405744,37.785857,10/3/2012 4:43:47.000000 PM,10/3/2012 4:43:00.360000 PM,47
F, 1055,5311496,9814,N,0,3095,-122.41081,37.807841,10/3/2012 4:18:56.000000 PM,10/3/2012 4:21:00.345000 PM,-124
F, 1055,5311496,9814,N,0,5656,-122.412441,37.780568,10/3/2012 4:50:16.000000 PM,10/3/2012 4:48:00.337000 PM,136
F, 1055,5311496,9814,N,0,5184,-122.417366,37.807248,10/3/2012 4:13:46.000000 PM,10/3/2012 4:17:00.315000 PM,-194
F, 1055,5311496,9814,N,0,5696,-122.419183,37.775243,10/3/2012 4:55:47.000000 PM,10/3/2012 4:53:00.330000 PM,167
F, 1055,5311496,9814,N,0,5661,-122.428628,37.767829,10/3/2012 5:02:00.000000 PM,10/3/2012 5:00:00.322000 PM,120
F, 1055,5311496,9814,N,0,3311,-122.434866,37.76252,10/3/2012 5:05:56.000000 PM,10/3/2012 5:05:00.352000 PM,56
F, 1072,5311497,9851,N,0,4726,-122.393874,37.794105,10/3/2012 4:30:17.000000 PM,10/3/2012 4:39:00.175000 PM,-523
F, 1072,5311497,9851,N,0,5657,-122.399069,37.79111,10/3/2012 4:35:08.000000 PM,10/3/2012 4:44:00.201000 PM,-532
F, 1072,5311497,9851,N,0,5694,-122.405744,37.785857,10/3/2012 4:39:24.000000 PM,10/3/2012 4:49:00.192000 PM,-576
F, 1072,5311497,9851,N,0,3095,-122.41081,37.807841,10/3/2012 4:20:55.000000 PM,10/3/2012 4:27:00.211000 PM,-365
F, 1072,5311497,9851,N,0,5656,-122.412441,37.780568,10/3/2012 4:44:17.000000 PM,10/3/2012 4:54:00.244000 PM,-583
F, 1072,5311497,9851,N,0,5184,-122.417366,37.807248,10/3/2012 4:20:55.000000 PM,10/3/2012 4:23:00.222000 PM,-125
F, 1072,5311497,9851,N,0,5696,-122.419183,37.775243,10/3/2012 4:48:14.000000 PM,10/3/2012 4:59:00.168000 PM,-646
F, 1072,5311497,9851,N,0,5661,-122.428628,37.767829,10/3/2012 4:54:36.000000 PM,10/3/2012 5:06:00.233000 PM,-684
F, 1072,5311497,9851,N,0,3311,-122.434866,37.76252,10/3/2012 4:59:36.000000 PM,10/3/2012 5:11:00.184000 PM,-684
F, 1060,5311498,9806,N,0,4726,-122.393874,37.794105,10/3/2012 4:42:58.000000 PM,10/3/2012 4:45:00.042000 PM,-122
F, 1060,5311498,9806,N,0,5657,-122.399069,37.79111,10/3/2012 4:48:02.000000 PM,10/3/2012 4:50:00.026000 PM,-118
F, 1060,5311498,9806,N,0,5694,-122.405744,37.785857,10/3/2012 4:53:14.000000 PM,10/3/2012 4:55:00.059000 PM,-106
F, 1060,5311498,9806,N,0,3095,-122.41081,37.807841,10/3/2012 4:31:40.000000 PM,10/3/2012 4:33:00.067000 PM,-80
F, 1060,5311498,9806,N,0,5656,-122.412441,37.780568,10/3/2012 4:59:58.000000 PM,10/3/2012 5:00:00.034000 PM,-2
F, 1060,5311498,9806,N,0,5184,-122.417366,37.807248,10/3/2012 4:29:13.000000 PM,10/3/2012 4:29:00.051000 PM,13
F, 1060,5311498,9806,N,0,5696,-122.419183,37.775243,10/3/2012 5:06:08.000000 PM,10/3/2012 5:05:00.091000 PM,68
F, 1060,5311498,9806,N,0,5661,-122.428628,37.767829,10/3/2012 5:12:51.000000 PM,10/3/2012 5:12:00.075000 PM,51
F, 1060,5311498,9806,N,0,3311,-122.434866,37.76252,10/3/2012 5:17:14.000000 PM,10/3/2012 5:17:00.083000 PM,14
F, 1053,5311499,9815,N,0,4726,-122.393874,37.794105,10/3/2012 5:45:26.000000 PM,10/3/2012 4:51:00.025000 PM,3266
F, 1053,5311499,9815,N,0,5657,-122.399069,37.79111,10/3/2012 5:49:56.000000 PM,10/3/2012 4:56:00.017000 PM,3236
F, 1053,5311499,9815,N,0,5694,-122.405744,37.785857,10/3/2012 5:57:26.000000 PM,10/3/2012 5:01:00.996000 PM,3386
F, 1053,5311499,9815,N,0,3095,-122.41081,37.807841,10/3/2012 5:30:44.000000 PM,10/3/2012 4:39:00.008000 PM,3104
F, 1053,5311499,9815,N,0,5656,-122.412441,37.780568,10/3/2012 6:03:14.000000 PM,10/3/2012 5:06:00.986000 PM,3434
F, 1053,5311499,9815,N,0,5184,-122.417366,37.807248,10/3/2012 5:26:18.000000 PM,10/3/2012 4:35:00.034000 PM,3078
F, 1053,5311499,9815,N,0,5696,-122.419183,37.775243,10/3/2012 6:09:08.000000 PM,10/3/2012 5:11:00.962000 PM,3488
F, 1053,5311499,9815,N,0,5661,-122.428628,37.767829,10/3/2012 6:18:56.000000 PM,10/3/2012 5:18:00.974000 PM,3656
F, 1053,5311499,9815,N,0,3311,-122.434866,37.76252,10/3/2012 6:23:45.000000 PM,10/3/2012 5:23:00.952000 PM,3645
F, 1895,5311500,9808,N,0,4726,-122.393874,37.794105,10/3/2012 5:07:33.000000 PM,10/3/2012 4:57:00.517000 PM,633
F, 1895,5311500,9808,N,0,5657,-122.399069,37.79111,10/3/2012 5:10:37.000000 PM,10/3/2012 5:02:00.554000 PM,517
F, 1895,5311500,9808,N,0,5694,-122.405744,37.785857,10/3/2012 5:16:02.000000 PM,10/3/2012 5:07:00.491000 PM,542
F, 1895,5311500,9808,N,0,3095,-122.41081,37.807841,10/3/2012 5:07:33.000000 PM,10/3/2012 4:45:00.527000 PM,1353
F, 1895,5311500,9808,N,0,5656,-122.412441,37.780568,10/3/2012 5:22:10.000000 PM,10/3/2012 5:12:00.501000 PM,610
F, 1895,5311500,9808,N,0,5184,-122.417366,37.807248,10/3/2012 5:07:33.000000 PM,10/3/2012 4:41:00.483000 PM,1593
F, 1895,5311500,9808,N,0,5696,-122.419183,37.775243,10/3/2012 5:27:07.000000 PM,10/3/2012 5:17:00.474000 PM,607
F, 1895,5311500,9808,N,0,5661,-122.428628,37.767829,10/3/2012 5:35:14.000000 PM,10/3/2012 5:24:00.509000 PM,674
F, 1895,5311500,9808,N,0,3311,-122.434866,37.76252,10/3/2012 5:40:32.000000 PM,10/3/2012 5:29:00.541000 PM,692
F, 1074,5311501,9801,N,0,4726,-122.393874,37.794105,10/3/2012 5:08:55.000000 PM,10/3/2012 5:03:00.393000 PM,355
F, 1074,5311501,9801,N,0,5657,-122.399069,37.79111,10/3/2012 5:12:34.000000 PM,10/3/2012 5:08:00.433000 PM,274
F, 1074,5311501,9801,N,0,5694,-122.405744,37.785857,10/3/2012 5:19:03.000000 PM,10/3/2012 5:13:00.448000 PM,363
F, 1074,5311501,9801,N,0,3095,-122.41081,37.807841,10/3/2012 4:54:30.000000 PM,10/3/2012 4:51:00.456000 PM,210
F, 1074,5311501,9801,N,0,5656,-122.412441,37.780568,10/3/2012 5:25:18.000000 PM,10/3/2012 5:18:00.409000 PM,438
F, 1074,5311501,9801,N,0,5184,-122.417366,37.807248,10/3/2012 4:46:52.000000 PM,10/3/2012 4:47:00.417000 PM,-8
F, 1074,5311501,9801,N,0,5696,-122.419183,37.775243,10/3/2012 5:33:22.000000 PM,10/3/2012 5:23:00.441000 PM,622
F, 1074,5311501,9801,N,0,5661,-122.428628,37.767829,10/3/2012 5:42:49.000000 PM,10/3/2012 5:30:00.401000 PM,769
F, 1074,5311501,9801,N,0,3311,-122.434866,37.76252,10/3/2012 5:47:45.000000 PM,10/3/2012 5:35:00.425000 PM,765
F, 1080,5311502,9816,N,0,4726,-122.393874,37.794105,10/3/2012 5:49:25.000000 PM,10/3/2012 5:09:00.835000 PM,2425
F, 1080,5311502,9816,N,0,5657,-122.399069,37.79111,10/3/2012 5:52:38.000000 PM,10/3/2012 5:14:00.867000 PM,2318
F, 1080,5311502,9816,N,0,5694,-122.405744,37.785857,10/3/2012 5:59:59.000000 PM,10/3/2012 5:19:00.827000 PM,2459
F, 1080,5311502,9816,N,0,3095,-122.41081,37.807841,10/3/2012 5:32:41.000000 PM,10/3/2012 4:57:00.803000 PM,2141
F, 1080,5311502,9816,N,0,5656,-122.412441,37.780568,10/3/2012 6:05:19.000000 PM,10/3/2012 5:24:00.859000 PM,2479
F, 1080,5311502,9816,N,0,5184,-122.417366,37.807248,10/3/2012 5:28:10.000000 PM,10/3/2012 4:53:00.851000 PM,2110
F, 1080,5311502,9816,N,0,5696,-122.419183,37.775243,10/3/2012 6:10:36.000000 PM,10/3/2012 5:29:00.820000 PM,2496
F, 1080,5311502,9816,N,0,5661,-122.428628,37.767829,10/3/2012 6:20:13.000000 PM,10/3/2012 5:36:00.811000 PM,2653
F, 1080,5311502,9816,N,0,3311,-122.434866,37.76252,10/3/2012 6:25:17.000000 PM,10/3/2012 5:41:00.843000 PM,2657
F, 1010,5311503,9809,N,0,4726,-122.393874,37.794105,10/3/2012 5:52:25.000000 PM,10/3/2012 5:15:00.319000 PM,2245
F, 1010,5311503,9809,N,0,5657,-122.399069,37.79111,10/3/2012 5:57:51.000000 PM,10/3/2012 5:20:00.296000 PM,2271
F, 1010,5311503,9809,N,0,5694,-122.405744,37.785857,10/3/2012 6:03:51.000000 PM,10/3/2012 5:25:00.360000 PM,2331
F, 1010,5311503,9809,N,0,3095,-122.41081,37.807841,10/3/2012 5:37:36.000000 PM,10/3/2012 5:03:00.335000 PM,2076
F, 1010,5311503,9809,N,0,5656,-122.412441,37.780568,10/3/2012 6:08:49.000000 PM,10/3/2012 5:30:00.312000 PM,2329
F, 1010,5311503,9809,N,0,5184,-122.417366,37.807248,10/3/2012 5:31:07.000000 PM,10/3/2012 4:59:00.327000 PM,1927
F, 1010,5311503,9809,N,0,5696,-122.419183,37.775243,10/3/2012 6:14:21.000000 PM,10/3/2012 5:35:00.343000 PM,2361
F, 1010,5311503,9809,N,0,5661,-122.428628,37.767829,10/3/2012 6:23:21.000000 PM,10/3/2012 5:42:00.352000 PM,2481
F, 1010,5311503,9809,N,0,3311,-122.434866,37.76252,10/3/2012 6:28:31.000000 PM,10/3/2012 5:47:00.304000 PM,2491
F, 8309,5311504,9873,N,0,5184,-122.417366,37.807248,10/3/2012 5:07:47.000000 PM,10/3/2012 5:05:00.864000 PM,167
F, 1063,5311505,9802,N,0,4726,-122.393874,37.794105,10/3/2012 5:54:26.000000 PM,10/3/2012 5:27:00.680000 PM,1646
F, 1063,5311505,9802,N,0,5657,-122.399069,37.79111,10/3/2012 5:58:51.000000 PM,10/3/2012 5:32:00.669000 PM,1611
