PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
L, 1430,5249322,9504,Y,2,7217,-122.396431,37.793152,10/3/2012 4:54:00.000000 AM,10/3/2012 4:50:00.799000 AM,240
L, 1400,5249322,9504,Y,1,7217,-122.396431,37.793152,10/3/2012 4:54:00.000000 AM,10/3/2012 4:50:00.799000 AM,240
L, 1400,5249322,9504,Y,1,6996,-122.41934,37.775234,10/3/2012 5:02:33.000000 AM,10/3/2012 4:56:00.824000 AM,393
L, 1430,5249322,9504,Y,2,6996,-122.41934,37.775234,10/3/2012 5:02:33.000000 AM,10/3/2012 4:56:00.824000 AM,393
L, 1430,5249322,9504,Y,2,6991,-122.435289,37.762683,10/3/2012 5:05:13.000000 AM,10/3/2012 5:00:00.832000 AM,313
L, 1400,5249322,9504,Y,1,6991,-122.435289,37.762683,10/3/2012 5:05:13.000000 AM,10/3/2012 5:00:00.832000 AM,313
L, 1400,5249322,9504,Y,1,6739,-122.4658,37.740956,10/3/2012 5:14:24.000000 AM,10/3/2012 5:08:00.782000 AM,384
L, 1430,5249322,9504,Y,2,6739,-122.4658,37.740956,10/3/2012 5:14:20.000000 AM,10/3/2012 5:08:00.782000 AM,380
L, 1400,5249322,9504,Y,1,7058,-122.465846,37.740893,10/3/2012 5:14:26.000000 AM,10/3/2012 5:09:00.808000 AM,326
L, 1430,5249322,9504,Y,2,7058,-122.465846,37.740893,10/3/2012 5:14:21.000000 AM,10/3/2012 5:09:00.808000 AM,321
L, 1400,5249322,9504,Y,1,6618,-122.478791,37.742967,10/3/2012 5:18:33.000000 AM,10/3/2012 5:14:00.816000 AM,273
L, 1430,5249322,9504,Y,2,6618,-122.478791,37.742967,10/3/2012 5:18:25.000000 AM,10/3/2012 5:14:00.816000 AM,265
L, 1400,5249322,9504,Y,1,6640,-122.494218,37.742267,10/3/2012 5:22:32.000000 AM,10/3/2012 5:18:00.775000 AM,272
L, 1430,5249322,9504,Y,2,6640,-122.494218,37.742267,10/3/2012 5:22:25.000000 AM,10/3/2012 5:18:00.775000 AM,265
L, 1400,5249322,9504,Y,1,6932,-122.504351,37.736125,10/3/2012 5:28:56.000000 AM,10/3/2012 5:23:00.790000 AM,356
L, 1430,5249322,9504,Y,2,6932,-122.504351,37.736125,10/3/2012 5:28:41.000000 AM,10/3/2012 5:23:00.790000 AM,341
L, 1443,5249323,9503,Y,1,7217,-122.396431,37.793152,10/3/2012 5:47:50.000000 AM,10/3/2012 5:10:00.825000 AM,2270
L, 1537,5249323,9503,Y,2,7217,-122.396431,37.793152,10/3/2012 5:15:36.000000 AM,10/3/2012 5:10:00.825000 AM,336
L, 1550,5249323,9503,Y,2,6996,-122.41934,37.775234,10/3/2012 5:21:39.000000 AM,10/3/2012 5:16:00.849000 AM,339
L, 1537,5249323,9503,Y,1,6996,-122.41934,37.775234,10/3/2012 5:21:39.000000 AM,10/3/2012 5:16:00.849000 AM,339
L, 1537,5249323,9503,Y,1,6991,-122.435289,37.762683,10/3/2012 5:24:35.000000 AM,10/3/2012 5:20:00.857000 AM,275
L, 1550,5249323,9503,Y,2,6991,-122.435289,37.762683,10/3/2012 5:24:35.000000 AM,10/3/2012 5:20:00.857000 AM,275
L, 1550,5249323,9503,Y,2,6739,-122.4658,37.740956,10/3/2012 5:32:32.000000 AM,10/3/2012 5:28:00.873000 AM,272
L, 1537,5249323,9503,Y,1,6739,-122.4658,37.740956,10/3/2012 5:32:29.000000 AM,10/3/2012 5:28:00.873000 AM,269
L, 1550,5249323,9503,Y,2,7058,-122.465846,37.740893,10/3/2012 5:32:32.000000 AM,10/3/2012 5:29:00.865000 AM,212
L, 1537,5249323,9503,Y,1,7058,-122.465846,37.740893,10/3/2012 5:32:32.000000 AM,10/3/2012 5:29:00.865000 AM,212
L, 1550,5249323,9503,Y,2,6618,-122.478791,37.742967,10/3/2012 5:37:10.000000 AM,10/3/2012 5:34:00.841000 AM,190
L, 1537,5249323,9503,Y,1,6618,-122.478791,37.742967,10/3/2012 5:36:59.000000 AM,10/3/2012 5:34:00.841000 AM,179
L, 1537,5249323,9503,Y,1,6640,-122.494218,37.742267,10/3/2012 5:41:09.000000 AM,10/3/2012 5:38:00.832000 AM,189
L, 1550,5249323,9503,Y,2,6640,-122.494218,37.742267,10/3/2012 5:41:11.000000 AM,10/3/2012 5:38:00.832000 AM,191
L, 1537,5249323,9503,Y,1,6932,-122.504351,37.736125,10/3/2012 5:47:08.000000 AM,10/3/2012 5:43:00.881000 AM,248
L, 1550,5249323,9503,Y,2,6932,-122.504351,37.736125,10/3/2012 5:47:20.000000 AM,10/3/2012 5:43:00.881000 AM,260
L, 1463,5249324,9501,Y,1,7217,-122.396431,37.793152,10/3/2012 5:29:07.000000 AM,10/3/2012 5:28:00.102000 AM,67
L, 1542,5249324,9501,Y,2,7217,-122.396431,37.793152,10/3/2012 5:29:07.000000 AM,10/3/2012 5:28:00.102000 AM,67
L, 1463,5249324,9501,Y,1,6996,-122.41934,37.775234,10/3/2012 5:34:58.000000 AM,10/3/2012 5:34:00.134000 AM,58
L, 1542,5249324,9501,Y,2,6996,-122.41934,37.775234,10/3/2012 5:34:58.000000 AM,10/3/2012 5:34:00.134000 AM,58
L, 1542,5249324,9501,Y,2,6991,-122.435289,37.762683,10/3/2012 5:38:05.000000 AM,10/3/2012 5:38:00.118000 AM,5
L, 1463,5249324,9501,Y,1,6991,-122.435289,37.762683,10/3/2012 5:38:05.000000 AM,10/3/2012 5:38:00.118000 AM,5
