PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
M, 1508,5249433,9601,Y,1,7217,-122.396431,37.793152,10/3/2012 5:25:45.000000 AM,10/3/2012 5:20:00.610000 AM,345
M, 1516,5249433,9601,Y,2,7217,-122.396431,37.793152,10/3/2012 5:25:45.000000 AM,10/3/2012 5:20:00.610000 AM,345
M, 1516,5249433,9601,Y,2,6996,-122.41934,37.775234,10/3/2012 5:31:07.000000 AM,10/3/2012 5:26:00.593000 AM,307
M, 1508,5249433,9601,Y,1,6996,-122.41934,37.775234,10/3/2012 5:31:07.000000 AM,10/3/2012 5:26:00.593000 AM,307
M, 1508,5249433,9601,Y,1,6991,-122.435289,37.762683,10/3/2012 5:33:44.000000 AM,10/3/2012 5:30:00.577000 AM,224
M, 1516,5249433,9601,Y,2,6991,-122.435289,37.762683,10/3/2012 5:33:44.000000 AM,10/3/2012 5:30:00.577000 AM,224
M, 1516,5249433,9601,N,0,7165,-122.446566,37.720622,10/3/2012 6:01:18.000000 AM,10/3/2012 6:01:00.585000 AM,18
M, 1516,5249433,9601,N,0,3719,-122.45618,37.713161,10/3/2012 5:56:33.000000 AM,10/3/2012 5:56:00.568000 AM,33
M, 1516,5249433,9601,N,0,6739,-122.4658,37.740956,10/3/2012 5:41:36.000000 AM,10/3/2012 5:38:00.602000 AM,216
M, 1516,5249433,9601,N,0,7058,-122.465846,37.740893,10/3/2012 5:41:38.000000 AM,10/3/2012 5:39:00.560000 AM,158
M, 1516,5249433,9601,N,0,6503,-122.471618,37.734807,10/3/2012 5:44:24.000000 AM,10/3/2012 5:42:00.619000 AM,144
M, 1516,5249433,9601,N,0,3358,-122.475233,37.721074,10/3/2012 5:48:52.000000 AM,10/3/2012 5:48:00.551000 AM,52
M, 1531,5249435,9604,N,0,7217,-122.396431,37.793152,10/3/2012 6:16:46.000000 AM,10/3/2012 5:58:00.966000 AM,1126
M, 1531,5249435,9604,N,0,6996,-122.41934,37.775234,10/3/2012 6:24:32.000000 AM,10/3/2012 6:04:00.935000 AM,1232
M, 1531,5249435,9604,N,0,6991,-122.435289,37.762683,10/3/2012 6:28:21.000000 AM,10/3/2012 6:08:00.943000 AM,1221
M, 1531,5249435,9604,N,0,7165,-122.446566,37.720622,10/3/2012 6:56:46.000000 AM,10/3/2012 6:39:00.927000 AM,1066
M, 1531,5249435,9604,N,0,3719,-122.45618,37.713161,10/3/2012 6:53:51.000000 AM,10/3/2012 6:34:00.991000 AM,1191
M, 1531,5249435,9604,N,0,6739,-122.4658,37.740956,10/3/2012 6:38:29.000000 AM,10/3/2012 6:16:00.958000 AM,1349
M, 1531,5249435,9604,N,0,7058,-122.465846,37.740893,10/3/2012 6:38:39.000000 AM,10/3/2012 6:17:00.950000 AM,1299
M, 1531,5249435,9604,N,0,6503,-122.471618,37.734807,10/3/2012 6:41:32.000000 AM,10/3/2012 6:20:00.973000 AM,1292
M, 1531,5249435,9604,N,0,3358,-122.475233,37.721074,10/3/2012 6:46:26.000000 AM,10/3/2012 6:26:00.982000 AM,1226
M, 1521,5249436,9605,N,0,7217,-122.396431,37.793152,10/3/2012 6:18:29.000000 AM,10/3/2012 6:15:00.039000 AM,209
M, 1521,5249436,9605,N,0,6996,-122.41934,37.775234,10/3/2012 6:26:09.000000 AM,10/3/2012 6:21:00.032000 AM,309
M, 1521,5249436,9605,N,0,6991,-122.435289,37.762683,10/3/2012 6:30:01.000000 AM,10/3/2012 6:25:00.064000 AM,301
M, 1521,5249436,9605,N,0,7165,-122.446566,37.720622,10/3/2012 7:02:19.000000 AM,10/3/2012 6:56:00.056000 AM,379
M, 1521,5249436,9605,N,0,3719,-122.45618,37.713161,10/3/2012 6:58:18.000000 AM,10/3/2012 6:51:00.080000 AM,438
M, 1521,5249436,9605,N,0,6739,-122.4658,37.740956,10/3/2012 6:42:36.000000 AM,10/3/2012 6:33:00.072000 AM,576
M, 1521,5249436,9605,N,0,7058,-122.465846,37.740893,10/3/2012 6:42:36.000000 AM,10/3/2012 6:34:00.048000 AM,516
M, 1521,5249436,9605,N,0,6503,-122.471618,37.734807,10/3/2012 6:46:00.000000 AM,10/3/2012 6:37:00.023000 AM,540
