route,trip,longitude,latitude,scheduled_time,d_time
KT, 1431,-122.387445,37.748999,17340,-160
KT, 1431,-122.388558,37.760518,17520,-140
KT, 1431,-122.390836,37.734358,16980,-95
KT, 1431,-122.393864,37.776278,17940,-81
KT, 1431,-122.39561,37.722449,16680,-101
KT, 1431,-122.396431,37.793152,18480,107
KT, 1431,-122.405021,37.708997,16320,8
KT, 1431,-122.41934,37.775234,18840,160
KT, 1431,-122.435289,37.762683,19080,115
KT, 1431,-122.446651,37.720876,20580,40
KT, 1431,-122.4658,37.740956,19560,127
KT, 1431,-122.465846,37.740893,19620,69
KT, 1431,-122.471618,37.734807,19800,101
KT, 1497,-122.387445,37.748999,18480,362
KT, 1497,-122.388558,37.760518,18660,386
KT, 1497,-122.390836,37.734358,18120,-11
KT, 1497,-122.393864,37.776278,19080,344
KT, 1497,-122.39561,37.722449,17820,-51
KT, 1497,-122.396431,37.793152,19620,654
KT, 1497,-122.405021,37.708997,17460,-21
KT, 1497,-122.41934,37.775234,19980,655
KT, 1497,-122.435289,37.762683,20220,619
KT, 1497,-122.446651,37.720876,21720,679
KT, 1497,-122.4658,37.740956,20700,619
KT, 1497,-122.465846,37.740893,20760,572
KT, 1497,-122.471618,37.734807,20940,592
KT, 1411,-122.387445,37.748999,19500,74
KT, 1411,-122.388558,37.760518,19680,95
KT, 1411,-122.390836,37.734358,19140,99
KT, 1411,-122.393864,37.776278,20100,131
KT, 1411,-122.39561,37.722449,18840,67
KT, 1411,-122.396431,37.793152,20640,256
KT, 1411,-122.405021,37.708997,18480,117
KT, 1411,-122.41934,37.775234,21000,305
KT, 1411,-122.435289,37.762683,21240,252
KT, 1411,-122.446651,37.720876,22740,180
KT, 1411,-122.4658,37.740956,21720,303
KT, 1411,-122.465846,37.740893,21780,245
KT, 1411,-122.471618,37.734807,21960,300
KT, 1418,-122.387445,37.748999,20400,-135
KT, 1418,-122.388558,37.760518,20580,-41
KT, 1418,-122.390836,37.734358,20040,-81
KT, 1418,-122.393864,37.776278,21000,-54
KT, 1418,-122.39561,37.722449,19740,-152
KT, 1418,-122.396431,37.793152,21540,206
KT, 1418,-122.405021,37.708997,19380,-31
KT, 1418,-122.41934,37.775234,21900,274
KT, 1418,-122.435289,37.762683,22140,230
KT, 1418,-122.446651,37.720876,23640,55
KT, 1418,-122.4658,37.740956,22620,191
