route,trip,longitude,latitude,scheduled_time,d_time
N, 1504,-122.394364,37.776058,17640,80
N, 1502,-122.394364,37.776058,17640,83
N, 1502,-122.396431,37.793152,18180,203
N, 1504,-122.396431,37.793152,18180,203
N, 1502,-122.41934,37.775234,18540,169
N, 1504,-122.41934,37.775234,18540,169
N, 1502,-122.456561,37.765003,19140,-6
N, 1504,-122.456561,37.765003,19140,-2
N, 1502,-122.476825,37.76174,19620,268
N, 1504,-122.476825,37.76174,19620,274
N, 1504,-122.495565,37.760912,19920,175
N, 1502,-122.495565,37.760912,19920,173
N, 1502,-122.509201,37.760348,20220,112
N, 1504,-122.509201,37.760348,20220,160
N, 1494,-122.394364,37.776058,18720,-46
N, 1467,-122.394364,37.776058,18720,-40
N, 1467,-122.396431,37.793152,19260,138
N, 1494,-122.396431,37.793152,19260,138
N, 1494,-122.41934,37.775234,19620,108
N, 1467,-122.41934,37.775234,19620,108
N, 1467,-122.456561,37.765003,20220,60
N, 1494,-122.456561,37.765003,20220,62
N, 1467,-122.476825,37.76174,20700,-69
N, 1494,-122.476825,37.76174,20700,-67
N, 1467,-122.495565,37.760912,21000,-112
N, 1494,-122.495565,37.760912,21000,-115
N, 1467,-122.509201,37.760348,21300,708
N, 1494,-122.509201,37.760348,21300,-134
N, 1439,-122.394364,37.776058,19620,118
N, 1527,-122.394364,37.776058,19620,103
N, 1527,-122.396431,37.793152,20160,530
N, 1439,-122.396431,37.793152,20160,530
N, 1527,-122.41934,37.775234,20520,523
N, 1439,-122.41934,37.775234,20520,523
N, 1527,-122.456561,37.765003,21120,654
N, 1439,-122.456561,37.765003,21120,658
N, 1527,-122.476825,37.76174,21600,686
N, 1439,-122.476825,37.76174,21600,698
N, 1527,-122.495565,37.760912,21900,684
N, 1439,-122.495565,37.760912,21900,674
N, 1527,-122.509201,37.760348,22200,580
N, 1439,-122.509201,37.760348,22200,633
N, 1427,-122.394364,37.776058,20520,354
N, 1437,-122.394364,37.776058,20520,350
N, 1427,-122.396431,37.793152,21060,434
N, 1437,-122.396431,37.793152,21060,434
N, 1427,-122.41934,37.775234,21420,398
N, 1437,-122.41934,37.775234,21420,398
N, 1437,-122.456561,37.765003,22020,429
N, 1427,-122.456561,37.765003,22020,424
N, 1437,-122.476825,37.76174,22500,428
N, 1427,-122.476825,37.76174,22500,417
N, 1437,-122.495565,37.760912,22800,459
N, 1427,-122.495565,37.760912,22800,442
N, 1437,-122.509201,37.760348,23100,518
N, 1427,-122.509201,37.760348,23100,564
N, 1420,-122.394364,37.776058,21420,-91
N, 1479,-122.394364,37.776058,21420,-117
N, 1420,-122.396431,37.793152,21960,564
N, 1479,-122.396431,37.793152,21960,564
N, 1479,-122.41934,37.775234,22320,671
N, 1420,-122.41934,37.775234,22320,671
N, 1479,-122.456561,37.765003,22920,621
N, 1420,-122.456561,37.765003,22920,617
N, 1420,-122.476825,37.76174,23400,603
N, 1479,-122.476825,37.76174,23400,608
N, 1420,-122.495565,37.760912,23700,585
N, 1479,-122.495565,37.760912,23700,615
N, 1479,-122.509201,37.760348,24000,581
N, 1420,-122.509201,37.760348,24000,607
N, 1471,-122.456561,37.765003,23820,274
N, 1471,-122.476825,37.76174,24300,302
N, 1471,-122.495565,37.760912,24600,389
N, 1471,-122.509201,37.760348,24900,400
N, 1448,-122.394364,37.776058,23040,333
N, 1469,-122.394364,37.776058,23040,353
N, 1469,-122.396431,37.793152,23580,362
N, 1448,-122.396431,37.793152,23580,362
N, 1469,-122.41934,37.775234,23940,348
N, 1448,-122.41934,37.775234,23940,348
N, 1448,-122.456561,37.765003,24540,315
N, 1469,-122.456561,37.765003,24540,323
N, 1469,-122.476825,37.76174,25080,340
N, 1448,-122.476825,37.76174,25080,362
N, 1448,-122.495565,37.760912,25380,425
N, 1469,-122.495565,37.760912,25380,432
N, 1448,-122.509201,37.760348,25680,391
N, 1469,-122.509201,37.760348,25680,402
N, 1409,-122.394364,37.776058,23760,-38
N, 1526,-122.394364,37.776058,23760,-3
N, 1480,-122.394364,37.776058,24360,-59
N, 1403,-122.394364,37.776058,24360,-51
N, 1480,-122.396431,37.793152,24900,276
N, 1403,-122.396431,37.793152,24900,276
N, 1480,-122.41934,37.775234,25260,338
N, 1403,-122.41934,37.775234,25260,338
N, 1403,-122.456561,37.765003,25860,406
N, 1480,-122.456561,37.765003,25860,399
N, 1403,-122.476825,37.76174,26400,494
N, 1480,-122.476825,37.76174,26400,492
N, 1403,-122.495565,37.760912,26700,550
N, 1480,-122.495565,37.760912,26700,546
N, 1403,-122.509201,37.760348,27000,609
N, 1480,-122.509201,37.760348,27000,599
N, 1502,-122.394364,37.776058,24900,-5
