PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
31BX, 8006,5258799, 02853,N,0,4347,-122.397532,37.792608,10/4/2012 6:09:30.000000 PM,10/4/2012 6:10:00.059000 PM,-30
31BX, 8006,5258799, 02853,N,0,6093,-122.44593,37.78267,10/4/2012 6:29:08.000000 PM,10/4/2012 6:28:00.068000 PM,68
31BX, 8006,5258799, 02853,N,0,5946,-122.471975,37.776948,10/4/2012 6:44:14.000000 PM,10/4/2012 6:41:00.048000 PM,194
31BX, 8347,5258817,5154,N,0,6093,-122.44593,37.78267,10/4/2012 4:23:49.000000 PM,10/4/2012 4:24:00.474000 PM,-11
31BX, 8347,5258817,5154,N,0,5946,-122.471975,37.776948,10/4/2012 4:37:42.000000 PM,10/4/2012 4:36:00.465000 PM,102
31BX, 8002,5258824,5161,N,0,4347,-122.397532,37.792608,10/4/2012 4:29:44.000000 PM,10/4/2012 4:30:00.307000 PM,-16
31BX, 8002,5258824,5161,N,0,6093,-122.44593,37.78267,10/4/2012 4:44:23.000000 PM,10/4/2012 4:45:00.315000 PM,-37
31BX, 8002,5258824,5161,N,0,5946,-122.471975,37.776948,10/4/2012 4:54:38.000000 PM,10/4/2012 4:57:00.324000 PM,-142
31BX, 8233,5258835,5173,N,0,4347,-122.397532,37.792608,10/4/2012 5:00:59.000000 PM,10/4/2012 5:00:00.390000 PM,59
31BX, 8233,5258835,5173,N,0,6093,-122.44593,37.78267,10/4/2012 5:16:32.000000 PM,10/4/2012 5:19:00.398000 PM,-148
31BX, 8233,5258835,5173,N,0,5946,-122.471975,37.776948,10/4/2012 5:29:17.000000 PM,10/4/2012 5:31:00.381000 PM,-103
