PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
L OWL, 8407,5247768,9592,N,0,6497,-122.393232,37.793347,10/4/2012 1:45:53.000000 AM,10/4/2012 1:48:01.113000 AM,-128
L OWL, 8407,5247768,9592,N,0,5696,-122.419183,37.775243,10/4/2012 1:59:23.000000 AM,10/4/2012 2:00:01.130000 AM,-38
L OWL, 8407,5247768,9592,N,0,5667,-122.43538,37.76262,10/4/2012 2:06:39.000000 AM,10/4/2012 2:06:01.139000 AM,38
L OWL, 8407,5247768,9592,N,0,6739,-122.4658,37.740956,10/4/2012 2:18:53.000000 AM,10/4/2012 2:16:01.123000 AM,172
L OWL, 8407,5247768,9592,N,0,6932,-122.504351,37.736125,10/4/2012 2:31:25.000000 AM,10/4/2012 2:26:01.104000 AM,324
L OWL, 8435,5247769,9593,N,0,6497,-122.393232,37.793347,10/4/2012 2:15:49.000000 AM,10/4/2012 2:18:01.877000 AM,-132
L OWL, 8435,5247769,9593,N,0,5696,-122.419183,37.775243,10/4/2012 2:30:09.000000 AM,10/4/2012 2:30:01.897000 AM,8
L OWL, 8435,5247769,9593,N,0,5667,-122.43538,37.76262,10/4/2012 2:36:25.000000 AM,10/4/2012 2:36:01.886000 AM,24
L OWL, 8435,5247769,9593,N,0,6739,-122.4658,37.740956,10/4/2012 2:47:22.000000 AM,10/4/2012 2:46:01.906000 AM,81
L OWL, 8435,5247769,9593,N,0,6932,-122.504351,37.736125,10/4/2012 2:58:43.000000 AM,10/4/2012 2:56:01.869000 AM,162
L OWL, 8407,5247770,9592,N,0,6497,-122.393232,37.793347,10/4/2012 3:14:23.000000 AM,10/4/2012 3:18:01.401000 AM,-218
L OWL, 8407,5247770,9592,N,0,5696,-122.419183,37.775243,10/4/2012 3:29:41.000000 AM,10/4/2012 3:30:01.409000 AM,-20
L OWL, 8407,5247770,9592,N,0,5667,-122.43538,37.76262,10/4/2012 3:37:25.000000 AM,10/4/2012 3:36:01.385000 AM,84
L OWL, 8407,5247770,9592,N,0,6739,-122.4658,37.740956,10/4/2012 3:48:40.000000 AM,10/4/2012 3:46:01.393000 AM,159
L OWL, 8407,5247770,9592,N,0,6932,-122.504351,37.736125,10/4/2012 3:58:40.000000 AM,10/4/2012 3:56:01.418000 AM,159
L OWL, 8435,5247771,9593,N,0,6497,-122.393232,37.793347,10/4/2012 3:47:09.000000 AM,10/4/2012 3:48:01.492000 AM,-52
L OWL, 8435,5247771,9593,N,0,5696,-122.419183,37.775243,10/4/2012 4:01:47.000000 AM,10/4/2012 4:00:01.517000 AM,106
L OWL, 8435,5247771,9593,N,0,5667,-122.43538,37.76262,10/4/2012 4:07:40.000000 AM,10/4/2012 4:06:01.509000 AM,99
L OWL, 8435,5247771,9593,N,0,6739,-122.4658,37.740956,10/4/2012 4:18:22.000000 AM,10/4/2012 4:16:01.525000 AM,141
L OWL, 8435,5247771,9593,N,0,6932,-122.504351,37.736125,10/4/2012 4:27:06.000000 AM,10/4/2012 4:26:01.500000 AM,65
L OWL, 8407,5247772,9592,N,0,6497,-122.393232,37.793347,10/4/2012 4:47:23.000000 AM,10/4/2012 4:48:01.419000 AM,-38
L OWL, 8407,5247772,9592,N,0,5696,-122.419183,37.775243,10/4/2012 5:03:21.000000 AM,10/4/2012 5:00:01.427000 AM,200
L OWL, 8407,5247772,9592,N,0,5667,-122.43538,37.76262,10/4/2012 5:08:50.000000 AM,10/4/2012 5:06:01.460000 AM,169
L OWL, 8407,5247772,9592,N,0,6739,-122.4658,37.740956,10/4/2012 5:19:05.000000 AM,10/4/2012 5:16:01.436000 AM,184
L OWL, 8407,5247772,9592,N,0,6932,-122.504351,37.736125,10/4/2012 5:30:04.000000 AM,10/4/2012 5:26:01.449000 AM,243
L OWL, 8435,5247773,9593,N,0,6739,-122.4658,37.740956,10/4/2012 1:21:57.000000 AM,10/4/2012 1:22:01.600000 AM,-4
L OWL, 8435,5247773,9593,N,0,6932,-122.504351,37.736125,10/4/2012 1:35:13.000000 AM,10/4/2012 1:32:01.591000 AM,192
L OWL, 8417,5247776,9591,N,0,6497,-122.393232,37.793347,10/4/2012 2:51:21.000000 AM,10/4/2012 2:48:01.007000 AM,200
L OWL, 8417,5247776,9591,N,0,5696,-122.419183,37.775243,10/4/2012 3:01:57.000000 AM,10/4/2012 3:00:01.999000 AM,116
L OWL, 8417,5247776,9591,N,0,5667,-122.43538,37.76262,10/4/2012 3:09:10.000000 AM,10/4/2012 3:06:01.974000 AM,189
L OWL, 8417,5247776,9591,N,0,6739,-122.4658,37.740956,10/4/2012 3:19:56.000000 AM,10/4/2012 3:16:01.990000 AM,235
L OWL, 8417,5247776,9591,N,0,6932,-122.504351,37.736125,10/4/2012 3:30:47.000000 AM,10/4/2012 3:26:01.982000 AM,286
L OWL, 8417,5247778,9591,N,0,6497,-122.393232,37.793347,10/4/2012 1:18:19.000000 AM,10/4/2012 1:18:01.241000 AM,18
L OWL, 8417,5247778,9591,N,0,5696,-122.419183,37.775243,10/4/2012 1:32:58.000000 AM,10/4/2012 1:30:01.251000 AM,177
L OWL, 8417,5247778,9591,N,0,5667,-122.43538,37.76262,10/4/2012 1:42:49.000000 AM,10/4/2012 1:36:01.275000 AM,408
L OWL, 8417,5247778,9591,N,0,6739,-122.4658,37.740956,10/4/2012 1:55:57.000000 AM,10/4/2012 1:46:01.261000 AM,596
L OWL, 8417,5247778,9591,N,0,6932,-122.504351,37.736125,10/4/2012 2:09:03.000000 AM,10/4/2012 1:56:01.285000 AM,782
L OWL, 8407,5247785,9592,N,0,6497,-122.393232,37.793347,10/4/2012 1:43:03.000000 AM,10/4/2012 1:40:01.049000 AM,182
