PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
NX, 2802,5280074,9763,N,0,7629,-122.47707,37.761752,10/4/2012 4:54:54.000000 PM,10/4/2012 4:57:00.790000 PM,-126
NX, 2802,5280074,9763,N,0,5224,-122.495565,37.760912,10/4/2012 5:00:53.000000 PM,10/4/2012 5:04:00.783000 PM,-187
NX, 2805,5280075,9764,N,0,7629,-122.47707,37.761752,10/4/2012 5:06:56.000000 PM,10/4/2012 5:07:00.416000 PM,-4
NX, 2805,5280075,9764,N,0,5224,-122.495565,37.760912,10/4/2012 5:13:07.000000 PM,10/4/2012 5:14:00.398000 PM,-53
NX, 2804,5280076,9765,N,0,7629,-122.47707,37.761752,10/4/2012 5:16:28.000000 PM,10/4/2012 5:17:00.835000 PM,-32
NX, 2804,5280076,9765,N,0,5224,-122.495565,37.760912,10/4/2012 5:22:11.000000 PM,10/4/2012 5:24:00.805000 PM,-109
NX, 2821,5280077,9766,N,0,7629,-122.47707,37.761752,10/4/2012 5:30:04.000000 PM,10/4/2012 5:27:00.768000 PM,184
NX, 2821,5280077,9766,N,0,5224,-122.495565,37.760912,10/4/2012 5:37:24.000000 PM,10/4/2012 5:34:00.752000 PM,204
NX, 2801,5280078,9767,N,0,7629,-122.47707,37.761752,10/4/2012 5:41:13.000000 PM,10/4/2012 5:37:00.807000 PM,253
NX, 2801,5280078,9767,N,0,5224,-122.495565,37.760912,10/4/2012 5:46:51.000000 PM,10/4/2012 5:44:00.839000 PM,171
NX, 2828,5280079,9760,N,0,6606,-122.400674,37.790298,10/4/2012 5:19:44.000000 PM,10/4/2012 5:20:00.349000 PM,-16
NX, 2828,5280079,9760,N,0,7629,-122.47707,37.761752,10/4/2012 5:46:41.000000 PM,10/4/2012 5:47:00.334000 PM,-19
NX, 2828,5280079,9760,N,0,5224,-122.495565,37.760912,10/4/2012 5:51:54.000000 PM,10/4/2012 5:54:00.342000 PM,-126
NX, 2814,5280080,9761,N,0,6606,-122.400674,37.790298,10/4/2012 5:29:58.000000 PM,10/4/2012 5:30:00.186000 PM,-2
NX, 2814,5280080,9761,N,0,7629,-122.47707,37.761752,10/4/2012 6:09:51.000000 PM,10/4/2012 5:57:00.194000 PM,771
NX, 2814,5280080,9761,N,0,5224,-122.495565,37.760912,10/4/2012 6:16:09.000000 PM,10/4/2012 6:04:00.210000 PM,729
NX, 2840,5280081,9762,N,0,6606,-122.400674,37.790298,10/4/2012 5:41:09.000000 PM,10/4/2012 5:40:00.966000 PM,69
NX, 2840,5280081,9762,N,0,7629,-122.47707,37.761752,10/4/2012 6:19:17.000000 PM,10/4/2012 6:07:00.948000 PM,737
NX, 2840,5280081,9762,N,0,5224,-122.495565,37.760912,10/4/2012 6:25:33.000000 PM,10/4/2012 6:14:00.957000 PM,693
NX, 2802,5280082,9763,N,0,6606,-122.400674,37.790298,10/4/2012 5:56:01.000000 PM,10/4/2012 5:50:00.206000 PM,361
NX, 2802,5280082,9763,N,0,7629,-122.47707,37.761752,10/4/2012 6:27:22.000000 PM,10/4/2012 6:17:00.214000 PM,622
NX, 2802,5280082,9763,N,0,5224,-122.495565,37.760912,10/4/2012 6:33:06.000000 PM,10/4/2012 6:24:00.191000 PM,546
NX, 2805,5280083,9764,Y,1,6606,-122.400674,37.790298,10/4/2012 6:03:21.000000 PM,10/4/2012 6:00:00.124000 PM,201
NX, 2805,5280083,9764,Y,2,6606,-122.400674,37.790298,10/4/2012 5:56:26.000000 PM,10/4/2012 6:00:00.124000 PM,-214
NX, 2805,5280083,9764,N,0,7629,-122.47707,37.761752,10/4/2012 6:33:08.000000 PM,10/4/2012 6:27:00.113000 PM,368
NX, 2805,5280083,9764,N,0,5224,-122.495565,37.760912,10/4/2012 6:39:06.000000 PM,10/4/2012 6:34:00.135000 PM,306
NX, 2804,5280084,9765,N,0,6606,-122.400674,37.790298,10/4/2012 6:13:00.000000 PM,10/4/2012 6:10:00.327000 PM,180
NX, 2804,5280084,9765,N,0,7629,-122.47707,37.761752,10/4/2012 6:42:29.000000 PM,10/4/2012 6:37:00.320000 PM,329
NX, 2804,5280084,9765,N,0,5224,-122.495565,37.760912,10/4/2012 6:46:28.000000 PM,10/4/2012 6:44:00.335000 PM,148
NX, 2821,5280085,9766,N,0,6606,-122.400674,37.790298,10/4/2012 6:22:11.000000 PM,10/4/2012 6:20:00.016000 PM,131
NX, 2821,5280085,9766,N,0,7629,-122.47707,37.761752,10/4/2012 6:48:07.000000 PM,10/4/2012 6:47:00.001000 PM,67
NX, 2821,5280085,9766,N,0,5224,-122.495565,37.760912,10/4/2012 6:53:21.000000 PM,10/4/2012 6:54:00.009000 PM,-39
NX, 2801,5280086,9767,N,0,6606,-122.400674,37.790298,10/4/2012 6:30:10.000000 PM,10/4/2012 6:30:00.486000 PM,10
NX, 2801,5280086,9767,N,0,7629,-122.47707,37.761752,10/4/2012 6:54:50.000000 PM,10/4/2012 6:57:00.464000 PM,-130
NX, 2801,5280086,9767,N,0,5224,-122.495565,37.760912,10/4/2012 7:00:50.000000 PM,10/4/2012 7:04:00.453000 PM,-190
NX, 2828,5280087,9760,N,0,7629,-122.47707,37.761752,10/4/2012 4:22:44.000000 PM,10/4/2012 4:27:00.101000 PM,-256
NX, 2828,5280087,9760,N,0,5224,-122.495565,37.760912,10/4/2012 4:28:22.000000 PM,10/4/2012 4:34:00.071000 PM,-338
NX, 2814,5280088,9761,N,0,7629,-122.47707,37.761752,10/4/2012 4:33:36.000000 PM,10/4/2012 4:37:00.676000 PM,-204
NX, 2814,5280088,9761,N,0,5224,-122.495565,37.760912,10/4/2012 4:38:59.000000 PM,10/4/2012 4:44:00.694000 PM,-301
NX, 2840,5280089,9762,N,0,7629,-122.47707,37.761752,10/4/2012 4:45:02.000000 PM,10/4/2012 4:47:00.211000 PM,-118
NX, 2840,5280089,9762,N,0,5224,-122.495565,37.760912,10/4/2012 4:49:17.000000 PM,10/4/2012 4:54:00.226000 PM,-283
NX, 2828,5280090,9760,N,0,6606,-122.400674,37.790298,10/4/2012 6:39:54.000000 PM,10/4/2012 6:40:00.353000 PM,-6
NX, 2828,5280090,9760,N,0,7629,-122.47707,37.761752,10/4/2012 7:06:00.000000 PM,10/4/2012 7:07:00.367000 PM,-60
NX, 2828,5280090,9760,N,0,5224,-122.495565,37.760912,10/4/2012 7:11:18.000000 PM,10/4/2012 7:14:00.373000 PM,-162
NX, 2814,5280091,9761,Y,1,6606,-122.400674,37.790298,10/4/2012 6:53:17.000000 PM,10/4/2012 6:50:00.838000 PM,197
NX, 2814,5280091,9761,Y,2,6606,-122.400674,37.790298,10/4/2012 7:31:45.000000 PM,10/4/2012 6:50:00.838000 PM,2505
NX, 2814,5280091,9761,N,0,7629,-122.47707,37.761752,10/4/2012 7:56:21.000000 PM,10/4/2012 7:17:00.830000 PM,2361
NX, 2814,5280091,9761,N,0,5224,-122.495565,37.760912,10/4/2012 8:00:36.000000 PM,10/4/2012 7:24:00.853000 PM,2196
NX, 2840,5280092,9762,N,0,6606,-122.400674,37.790298,10/4/2012 6:59:47.000000 PM,10/4/2012 7:00:00.889000 PM,-13
NX, 2828,5280093,9751,N,0,3815,-122.40208,37.79096,10/4/2012 7:02:51.000000 AM,10/4/2012 7:12:00.965000 AM,-549
NX, 2828,5280093,9751,N,0,5200,-122.477194,37.761655,10/4/2012 6:44:48.000000 AM,10/4/2012 6:44:00.973000 AM,48
NX, 2804,5280094,9752,N,0,3815,-122.40208,37.79096,10/4/2012 7:12:52.000000 AM,10/4/2012 7:20:00.048000 AM,-428
NX, 2804,5280094,9752,N,0,5200,-122.477194,37.761655,10/4/2012 6:53:47.000000 AM,10/4/2012 6:52:00.056000 AM,107
NX, 2814,5280095,9753,N,0,3815,-122.40208,37.79096,10/4/2012 7:21:48.000000 AM,10/4/2012 7:28:00.471000 AM,-372
NX, 2814,5280095,9753,N,0,5200,-122.477194,37.761655,10/4/2012 7:01:19.000000 AM,10/4/2012 7:00:00.463000 AM,79
NX, 2814,5280095,9753,N,0,5225,-122.495964,37.760828,10/4/2012 6:55:08.000000 AM,10/4/2012 6:53:00.490000 AM,128
NX, 2845,5280096,9754,N,0,3815,-122.40208,37.79096,10/4/2012 7:34:42.000000 AM,10/4/2012 7:41:00.103000 AM,-378
NX, 2845,5280096,9754,N,0,5200,-122.477194,37.761655,10/4/2012 7:14:41.000000 AM,10/4/2012 7:13:00.087000 AM,101
NX, 2845,5280096,9754,N,0,5225,-122.495964,37.760828,10/4/2012 7:07:18.000000 AM,10/4/2012 7:06:00.110000 AM,78
NX, 2821,5280097,9755,N,0,3815,-122.40208,37.79096,10/4/2012 7:44:39.000000 AM,10/4/2012 7:49:00.033000 AM,-261
NX, 2821,5280097,9755,N,0,5200,-122.477194,37.761655,10/4/2012 7:23:25.000000 AM,10/4/2012 7:21:00.025000 AM,145
NX, 2840,5280098,9756,N,0,3815,-122.40208,37.79096,10/4/2012 8:03:46.000000 AM,10/4/2012 8:01:00.934000 AM,166
NX, 2840,5280098,9756,N,0,5200,-122.477194,37.761655,10/4/2012 7:35:40.000000 AM,10/4/2012 7:33:00.961000 AM,160
NX, 2840,5280098,9756,N,0,5225,-122.495964,37.760828,10/4/2012 7:27:45.000000 AM,10/4/2012 7:26:00.952000 AM,105
NX, 2816,5280099,9757,N,0,3815,-122.40208,37.79096,10/4/2012 8:13:28.000000 AM,10/4/2012 8:08:00.684000 AM,328
NX, 2816,5280099,9757,N,0,5200,-122.477194,37.761655,10/4/2012 7:43:25.000000 AM,10/4/2012 7:40:00.696000 AM,205
NX, 2801,5280100,9758,N,0,3815,-122.40208,37.79096,10/4/2012 8:22:44.000000 AM,10/4/2012 8:16:00.635000 AM,404
NX, 2801,5280100,9758,N,0,5200,-122.477194,37.761655,10/4/2012 7:52:16.000000 AM,10/4/2012 7:48:00.628000 AM,256
NX, 2801,5280100,9758,N,0,5225,-122.495964,37.760828,10/4/2012 7:45:03.000000 AM,10/4/2012 7:41:00.620000 AM,243
NX, 2805,5280101,9759,N,0,3815,-122.40208,37.79096,10/4/2012 8:26:09.000000 AM,10/4/2012 8:29:00.757000 AM,-171
NX, 2805,5280101,9759,N,0,5200,-122.477194,37.761655,10/4/2012 7:59:43.000000 AM,10/4/2012 8:01:00.765000 AM,-77
NX, 2828,5280102,9751,N,0,3815,-122.40208,37.79096,10/4/2012 8:37:51.000000 AM,10/4/2012 8:37:00.716000 AM,51
NX, 2828,5280102,9751,N,0,5200,-122.477194,37.761655,10/4/2012 8:10:16.000000 AM,10/4/2012 8:09:00.732000 AM,76
NX, 2828,5280102,9751,N,0,5225,-122.495964,37.760828,10/4/2012 8:03:58.000000 AM,10/4/2012 8:02:00.739000 AM,118
NX, 2804,5280103,9752,N,0,5200,-122.477194,37.761655,10/4/2012 8:18:33.000000 AM,10/4/2012 8:17:00.409000 AM,93
NX, 2804,5280103,9752,N,0,5225,-122.495964,37.760828,10/4/2012 8:09:46.000000 AM,10/4/2012 8:10:00.425000 AM,-14
NX, 2814,5280104,9753,N,0,3815,-122.40208,37.79096,10/4/2012 9:01:00.000000 AM,10/4/2012 8:58:00.338000 AM,180
NX, 2814,5280104,9753,N,0,5200,-122.477194,37.761655,10/4/2012 8:32:43.000000 AM,10/4/2012 8:30:00.314000 AM,163
NX, 2814,5280104,9753,N,0,5225,-122.495964,37.760828,10/4/2012 8:24:03.000000 AM,10/4/2012 8:23:00.330000 AM,63
NX, 2845,5280105,9754,N,0,3815,-122.40208,37.79096,10/4/2012 9:07:52.000000 AM,10/4/2012 9:06:00.057000 AM,112
NX, 2845,5280105,9754,N,0,5200,-122.477194,37.761655,10/4/2012 8:39:05.000000 AM,10/4/2012 8:38:00.048000 AM,65
NX, 2845,5280105,9754,N,0,5225,-122.495964,37.760828,10/4/2012 8:31:25.000000 AM,10/4/2012 8:31:00.033000 AM,25
NX, 2821,5280106,9755,N,0,3815,-122.40208,37.79096,10/4/2012 9:15:55.000000 AM,10/4/2012 9:14:00.311000 AM,115
NX, 2821,5280106,9755,N,0,5200,-122.477194,37.761655,10/4/2012 8:47:59.000000 AM,10/4/2012 8:46:00.301000 AM,119
NX, 2821,5280106,9755,N,0,5225,-122.495964,37.760828,10/4/2012 8:39:54.000000 AM,10/4/2012 8:39:00.290000 AM,54
NX, 2840,5280107,9756,N,0,3815,-122.40208,37.79096,10/4/2012 9:24:59.000000 AM,10/4/2012 9:27:00.961000 AM,-121
