route,trip,longitude,latitude,scheduled_time,d_time
01AX, 8029,-122.466819,37.784792,66480,-33
01AX, 8029,-122.47325,37.784515,66660,-55
01AX, 8029,-122.493445,37.779798,67140,-73
01AX, 8018,-122.466819,37.784792,59340,-32
01AX, 8018,-122.47325,37.784515,59460,18
01AX, 8018,-122.493445,37.779798,59880,-102
01AX, 8230,-122.493445,37.779798,62340,-43
01AX, 8315,-122.466819,37.784792,62820,-22
01AX, 8315,-122.47325,37.784515,63000,-4
01AX, 8315,-122.493445,37.779798,63480,58
01AX, 8018,-122.466819,37.784792,63420,-16
01AX, 8018,-122.47325,37.784515,63600,18
01AX, 8018,-122.493445,37.779798,64080,45
01AX, 8340,-122.466819,37.784792,64140,128
01AX, 8340,-122.47325,37.784515,64320,124
01AX, 8340,-122.493445,37.779798,64800,54
01AX, 8017,-122.466819,37.784792,64740,83
01AX, 8017,-122.47325,37.784515,64920,61
01AX, 8017,-122.493445,37.779798,65400,30
01AX, 8218,-122.466819,37.784792,65640,949
01AX, 8218,-122.47325,37.784515,65820,872
01AX, 8038,-122.397532,37.792608,25980,245
01AX, 8038,-122.466825,37.78463,24960,94
01AX, 8038,-122.471103,37.784454,24840,83
01AX, 8038,-122.472764,37.784365,24780,91
01AX, 6210,-122.466825,37.78463,25560,112
01AX, 6210,-122.471103,37.784454,25440,106
01AX, 6210,-122.472764,37.784365,25380,102
01AX, 6229,-122.397532,37.792608,27300,55
01AX, 6229,-122.466825,37.78463,26160,70
01AX, 6229,-122.471103,37.784454,26040,59
01AX, 6229,-122.472764,37.784365,25980,59
01AX, 6229,-122.493227,37.779815,25500,-1
01AX, 8041,-122.397532,37.792608,28620,-55
01AX, 8041,-122.466825,37.78463,27360,-37
01AX, 8041,-122.471103,37.784454,27240,20
01AX, 8041,-122.472764,37.784365,27180,43
01AX, 2835,-122.397532,37.792608,29400,66
01AX, 8019,-122.397532,37.792608,30000,263
01AX, 8019,-122.466825,37.78463,28620,-28
01AX, 8019,-122.471103,37.784454,28500,-24
01AX, 8019,-122.472764,37.784365,28440,-43
01AX, 8019,-122.493227,37.779815,27900,-188
01AX, 6210,-122.397532,37.792608,30660,425
01AX, 6210,-122.466825,37.78463,29220,235
01AX, 6210,-122.471103,37.784454,29100,235
01AX, 6210,-122.472764,37.784365,29040,263
01AX, 6229,-122.397532,37.792608,31440,-162
01AX, 6229,-122.466825,37.78463,29880,-61
01AX, 6229,-122.471103,37.784454,29760,-73
01AX, 6229,-122.472764,37.784365,29700,-61
01AX, 6229,-122.493227,37.779815,29100,39
01AX, 8213,-122.397532,37.792608,32580,163
01AX, 8213,-122.466825,37.78463,31020,89
01AX, 8213,-122.471103,37.784454,30900,132
01AX, 8213,-122.472764,37.784365,30840,149
01AX, 8213,-122.493227,37.779815,30300,-26
01AX, 8231,-122.397532,37.792608,33120,35
01AX, 8231,-122.466825,37.78463,31620,-45
01AX, 8231,-122.471103,37.784454,31500,-77
01AX, 8231,-122.472764,37.784365,31440,-72
01AX, 8231,-122.493227,37.779815,30900,4
01AX, 8343,-122.397532,37.792608,33600,394
01AX, 8343,-122.466825,37.78463,32220,169
01AX, 8343,-122.471103,37.784454,32100,158
01AX, 8343,-122.472764,37.784365,32040,153
01AX, 8343,-122.493227,37.779815,31500,145
