route,trip,longitude,latitude,scheduled_time,d_time
16X, 8121,-122.47761,37.765526,60000,-92
16X, 8121,-122.495056,37.753493,60720,-103
16X, 8121,-122.507509,37.750927,60960,-38
16X, 8426,-122.42302,37.77597,59820,95
16X, 8426,-122.466746,37.766001,60300,246
16X, 8426,-122.47761,37.765526,60600,171
16X, 8426,-122.495056,37.753493,61320,177
16X, 8426,-122.507509,37.750927,61560,239
16X, 8450,-122.42302,37.77597,58260,-69
16X, 8450,-122.466746,37.766001,58740,30
16X, 8450,-122.47761,37.765526,59040,-71
16X, 8450,-122.495056,37.753493,59700,74
16X, 8450,-122.507509,37.750927,59940,222
16X, 8429,-122.408576,37.784314,62520,-83
16X, 8429,-122.42302,37.77597,63300,-159
16X, 8429,-122.466746,37.766001,63960,-168
16X, 8429,-122.47761,37.765526,64260,-275
16X, 8429,-122.495056,37.753493,65040,-451
16X, 8429,-122.507509,37.750927,65340,-456
16X, 8426,-122.408576,37.784314,63600,358
16X, 8426,-122.42302,37.77597,64380,364
16X, 8426,-122.466746,37.766001,64980,434
16X, 8426,-122.47761,37.765526,65280,397
16X, 8426,-122.495056,37.753493,66060,240
16X, 8426,-122.507509,37.750927,66360,183
16X, 8121,-122.408576,37.784314,63060,-27
16X, 8121,-122.42302,37.77597,63840,-128
16X, 8121,-122.466746,37.766001,64500,-233
16X, 8121,-122.47761,37.765526,64800,-383
16X, 8121,-122.495056,37.753493,65580,-626
16X, 8121,-122.507509,37.750927,65880,-604
16X, 8420,-122.42302,37.77597,64980,-64
16X, 8420,-122.466746,37.766001,65580,-68
16X, 8420,-122.47761,37.765526,65880,-172
16X, 8420,-122.495056,37.753493,66600,-358
16X, 8456,-122.42302,37.77597,65580,-248
16X, 8456,-122.466746,37.766001,66180,-286
16X, 8456,-122.47761,37.765526,66480,-386
16X, 8456,-122.495056,37.753493,67200,-522
16X, 8456,-122.507509,37.750927,67500,-538
16X, 8179,-122.42302,37.77597,66180,-196
16X, 8179,-122.466746,37.766001,66780,-191
16X, 8179,-122.47761,37.765526,67080,-184
16X, 8179,-122.495056,37.753493,67800,-209
16X, 8179,-122.507509,37.750927,68100,-152
16X, 8184,-122.42302,37.77597,62160,272
16X, 8184,-122.466746,37.766001,62760,244
16X, 8184,-122.47761,37.765526,63060,225
16X, 8184,-122.495056,37.753493,63780,191
16X, 8184,-122.507509,37.750927,64080,229
16X, 8450,-122.408576,37.784314,61980,3
