route,trip,longitude,latitude,scheduled_time,d_time
38L, 6240,-122.40248,37.78849,75660,5
38L, 6240,-122.408391,37.787401,75900,76
38L, 6240,-122.420635,37.785843,76140,152
38L, 6240,-122.43305,37.784391,76440,88
38L, 6240,-122.446805,37.782509,76740,71
38L, 6240,-122.472423,37.780687,77280,121
38L, 6240,-122.493445,37.779798,77700,102
38L, 6240,-122.509411,37.779023,78000,102
38L, 6285,-122.40248,37.78849,75060,-19
38L, 6285,-122.408391,37.787401,75300,-84
38L, 6285,-122.420635,37.785843,75540,-68
38L, 6285,-122.43305,37.784391,75840,-21
38L, 6285,-122.446805,37.782509,76140,-36
38L, 6285,-122.472423,37.780687,76680,-24
38L, 8451,-122.472423,37.780687,76680,-35
38L, 6285,-122.493445,37.779798,77100,69
38L, 6285,-122.509411,37.779023,77400,113
38L, 6272,-122.40248,37.78849,73860,-170
38L, 6272,-122.408391,37.787401,74100,-238
38L, 6272,-122.420635,37.785843,74340,-166
38L, 6272,-122.43305,37.784391,74640,-285
38L, 6272,-122.446805,37.782509,74940,-291
38L, 6272,-122.472423,37.780687,75480,-340
38L, 6272,-122.493445,37.779798,75900,-335
38L, 6272,-122.509411,37.779023,76200,-311
38L, 6205,-122.40248,37.78849,73260,24
38L, 6205,-122.408391,37.787401,73500,3
38L, 6205,-122.420635,37.785843,73740,-18
38L, 6205,-122.43305,37.784391,74040,-92
38L, 6205,-122.446805,37.782509,74340,-143
38L, 6205,-122.472423,37.780687,74880,-143
38L, 6205,-122.493445,37.779798,75300,-62
38L, 6205,-122.509411,37.779023,75600,-64
38L, 6294,-122.40248,37.78849,72660,62
38L, 6294,-122.408391,37.787401,72900,78
38L, 6294,-122.420635,37.785843,73140,41
38L, 6294,-122.43305,37.784391,73440,-32
38L, 6294,-122.446805,37.782509,73740,-49
38L, 6294,-122.472423,37.780687,74280,-92
38L, 6294,-122.493445,37.779798,74700,-3
38L, 6294,-122.509411,37.779023,75000,-18
38L, 6257,-122.40248,37.78849,72060,-88
38L, 6257,-122.408391,37.787401,72300,-144
38L, 6257,-122.420635,37.785843,72540,-53
38L, 6257,-122.43305,37.784391,72840,-100
38L, 6257,-122.446805,37.782509,73140,-59
38L, 6257,-122.472423,37.780687,73680,-52
38L, 6257,-122.493445,37.779798,74100,-60
