route,trip,longitude,latitude,scheduled_time,d_time
NX, 2802,-122.47707,37.761752,61020,-126
NX, 2802,-122.495565,37.760912,61440,-187
NX, 2805,-122.47707,37.761752,61620,-4
NX, 2805,-122.495565,37.760912,62040,-53
NX, 2804,-122.47707,37.761752,62220,-32
NX, 2804,-122.495565,37.760912,62640,-109
NX, 2821,-122.47707,37.761752,62820,184
NX, 2821,-122.495565,37.760912,63240,204
NX, 2801,-122.47707,37.761752,63420,253
NX, 2801,-122.495565,37.760912,63840,171
NX, 2828,-122.400674,37.790298,62400,-16
NX, 2828,-122.47707,37.761752,64020,-19
NX, 2828,-122.495565,37.760912,64440,-126
NX, 2814,-122.400674,37.790298,63000,-2
NX, 2814,-122.47707,37.761752,64620,771
NX, 2814,-122.495565,37.760912,65040,729
NX, 2840,-122.400674,37.790298,63600,69
NX, 2840,-122.47707,37.761752,65220,737
NX, 2840,-122.495565,37.760912,65640,693
NX, 2802,-122.400674,37.790298,64200,361
NX, 2802,-122.47707,37.761752,65820,622
NX, 2802,-122.495565,37.760912,66240,546
NX, 2805,-122.400674,37.790298,64800,201
NX, 2805,-122.400674,37.790298,64800,-214
NX, 2805,-122.47707,37.761752,66420,368
NX, 2805,-122.495565,37.760912,66840,306
NX, 2804,-122.400674,37.790298,65400,180
NX, 2804,-122.47707,37.761752,67020,329
NX, 2804,-122.495565,37.760912,67440,148
NX, 2821,-122.400674,37.790298,66000,131
NX, 2821,-122.47707,37.761752,67620,67
NX, 2821,-122.495565,37.760912,68040,-39
NX, 2801,-122.400674,37.790298,66600,10
NX, 2801,-122.47707,37.761752,68220,-130
NX, 2801,-122.495565,37.760912,68640,-190
NX, 2828,-122.47707,37.761752,59220,-256
NX, 2828,-122.495565,37.760912,59640,-338
NX, 2814,-122.47707,37.761752,59820,-204
NX, 2814,-122.495565,37.760912,60240,-301
NX, 2840,-122.47707,37.761752,60420,-118
NX, 2840,-122.495565,37.760912,60840,-283
NX, 2828,-122.400674,37.790298,67200,-6
NX, 2828,-122.47707,37.761752,68820,-60
NX, 2828,-122.495565,37.760912,69240,-162
NX, 2814,-122.400674,37.790298,67800,197
NX, 2814,-122.400674,37.790298,67800,2505
NX, 2814,-122.47707,37.761752,69420,2361
NX, 2814,-122.495565,37.760912,69840,2196
NX, 2840,-122.400674,37.790298,68400,-13
NX, 2828,-122.40208,37.79096,25920,-549
NX, 2828,-122.477194,37.761655,24240,48
NX, 2804,-122.40208,37.79096,26400,-428
NX, 2804,-122.477194,37.761655,24720,107
NX, 2814,-122.40208,37.79096,26880,-372
NX, 2814,-122.477194,37.761655,25200,79
NX, 2814,-122.495964,37.760828,24780,128
NX, 2845,-122.40208,37.79096,27660,-378
NX, 2845,-122.477194,37.761655,25980,101
NX, 2845,-122.495964,37.760828,25560,78
NX, 2821,-122.40208,37.79096,28140,-261
NX, 2821,-122.477194,37.761655,26460,145
NX, 2840,-122.40208,37.79096,28860,166
NX, 2840,-122.477194,37.761655,27180,160
NX, 2840,-122.495964,37.760828,26760,105
NX, 2816,-122.40208,37.79096,29280,328
NX, 2816,-122.477194,37.761655,27600,205
NX, 2801,-122.40208,37.79096,29760,404
NX, 2801,-122.477194,37.761655,28080,256
NX, 2801,-122.495964,37.760828,27660,243
NX, 2805,-122.40208,37.79096,30540,-171
NX, 2805,-122.477194,37.761655,28860,-77
NX, 2828,-122.40208,37.79096,31020,51
NX, 2828,-122.477194,37.761655,29340,76
NX, 2828,-122.495964,37.760828,28920,118
NX, 2804,-122.477194,37.761655,29820,93
NX, 2804,-122.495964,37.760828,29400,-14
NX, 2814,-122.40208,37.79096,32280,180
NX, 2814,-122.477194,37.761655,30600,163
NX, 2814,-122.495964,37.760828,30180,63
NX, 2845,-122.40208,37.79096,32760,112
NX, 2845,-122.477194,37.761655,31080,65
NX, 2845,-122.495964,37.760828,30660,25
NX, 2821,-122.40208,37.79096,33240,115
NX, 2821,-122.477194,37.761655,31560,119
NX, 2821,-122.495964,37.760828,31140,54
NX, 2840,-122.40208,37.79096,34020,-121
NX, 2840,-122.477194,37.761655,32340,-55
NX, 2840,-122.495964,37.760828,31920,-71
NX, 2816,-122.40208,37.79096,34500,-236
NX, 2816,-122.477194,37.761655,32820,209
NX, 2816,-122.495964,37.760828,32400,256
NX, 2801,-122.40208,37.79096,34920,-72
NX, 2801,-122.477194,37.761655,33240,221
NX, 2801,-122.495964,37.760828,32820,201
