route,trip,longitude,latitude,scheduled_time,d_time
J, 1403,-122.396431,37.793152,18540,-137
J, 1403,-122.41934,37.775234,18900,-147
J, 1403,-122.427497,37.7518,19560,-248
J, 1403,-122.446657,37.720899,20340,1096
J, 1444,-122.396431,37.793152,19740,-87
J, 1444,-122.41934,37.775234,20100,-100
J, 1444,-122.427497,37.7518,20760,-87
J, 1444,-122.446657,37.720899,21540,32
J, 1547,-122.396431,37.793152,20820,80
J, 1547,-122.41934,37.775234,21180,75
J, 1547,-122.427497,37.7518,21840,69
J, 1547,-122.446657,37.720899,22620,222
J, 1418,-122.396431,37.793152,21840,69
J, 1418,-122.41934,37.775234,22200,58
J, 1418,-122.427497,37.7518,22860,235
J, 1418,-122.446657,37.720899,23640,803
J, 1539,-122.396431,37.793152,22740,-97
J, 1539,-122.41934,37.775234,23100,-69
J, 1539,-122.427497,37.7518,23760,51
J, 1539,-122.446657,37.720899,24540,350
J, 1403,-122.396431,37.793152,23640,179
J, 1403,-122.41934,37.775234,24000,151
J, 1403,-122.427497,37.7518,24660,157
J, 1403,-122.446657,37.720899,25560,231
J, 1476,-122.396431,37.793152,24420,-134
J, 1476,-122.41934,37.775234,24780,-137
J, 1476,-122.427497,37.7518,25440,-85
J, 1476,-122.446657,37.720899,26340,606
J, 1444,-122.396431,37.793152,25080,881
J, 1444,-122.41934,37.775234,25440,902
J, 1444,-122.427497,37.7518,26100,1001
J, 1444,-122.446657,37.720899,27000,1323
J, 1544,-122.396431,37.793152,25680,407
J, 1544,-122.41934,37.775234,26040,419
J, 1544,-122.427497,37.7518,26760,561
J, 1544,-122.446657,37.720899,27660,1242
J, 1547,-122.396431,37.793152,26280,31
J, 1547,-122.41934,37.775234,26640,26
J, 1547,-122.427497,37.7518,27360,39
J, 1547,-122.446657,37.720899,28260,986
J, 1418,-122.396431,37.793152,26880,172
J, 1418,-122.41934,37.775234,27240,198
J, 1418,-122.427497,37.7518,27960,330
J, 1418,-122.446657,37.720899,28860,624
J, 1493,-122.396431,37.793152,27420,237
J, 1493,-122.41934,37.775234,27780,326
J, 1493,-122.427497,37.7518,28500,341
J, 1493,-122.446657,37.720899,29400,1781
J, 1539,-122.396431,37.793152,27960,334
J, 1539,-122.41934,37.775234,28320,472
J, 1539,-122.427497,37.7518,29040,719
J, 1539,-122.446657,37.720899,29940,978
J, 1534,-122.396431,37.793152,28500,110
J, 1534,-122.41934,37.775234,28860,119
J, 1534,-122.427497,37.7518,29580,248
J, 1534,-122.446657,37.720899,30480,959
J, 1403,-122.396431,37.793152,29040,161
J, 1403,-122.41934,37.775234,29400,234
J, 1403,-122.427497,37.7518,30120,385
J, 1403,-122.446657,37.720899,31020,750
J, 1476,-122.396431,37.793152,29580,332
J, 1476,-122.41934,37.775234,29940,326
J, 1476,-122.427497,37.7518,30660,454
J, 1476,-122.446657,37.720899,31560,483
J, 1444,-122.396431,37.793152,30120,1169
J, 1444,-122.41934,37.775234,30480,1262
J, 1444,-122.427497,37.7518,31200,1364
J, 1444,-122.446657,37.720899,32100,1622
J, 1430,-122.396431,37.793152,30660,971
J, 1430,-122.41934,37.775234,31020,1035
J, 1430,-122.427497,37.7518,31740,1151
J, 1430,-122.446657,37.720899,32640,1151
J, 1544,-122.396431,37.793152,31200,1277
J, 1544,-122.41934,37.775234,31560,1271
J, 1544,-122.427497,37.7518,32280,1427
J, 1544,-122.446657,37.720899,33180,1584
J, 1547,-122.396431,37.793152,31740,1052
J, 1547,-122.41934,37.775234,32100,1145
J, 1547,-122.427497,37.7518,32820,1094
J, 1547,-122.446657,37.720899,33720,1077
J, 1418,-122.396431,37.793152,32280,1024
J, 1418,-122.41934,37.775234,32640,1008
J, 1418,-122.427497,37.7518,33360,1106
J, 1418,-122.446657,37.720899,34260,1503
J, 1539,-122.396431,37.793152,33360,527
J, 1539,-122.41934,37.775234,33720,553
J, 1539,-122.427497,37.7518,34440,796
J, 1539,-122.446657,37.720899,35340,866
J, 1534,-122.396431,37.793152,33900,692
J, 1534,-122.41934,37.775234,34260,715
J, 1534,-122.427497,37.7518,34980,847
J, 1534,-122.446657,37.720899,35880,1253
J, 1403,-122.396431,37.793152,34440,415
J, 1403,-122.41934,37.775234,34800,379
J, 1403,-122.427497,37.7518,35520,409
J, 1403,-122.446657,37.720899,36420,654
J, 1476,-122.396431,37.793152,34980,172
J, 1476,-122.41934,37.775234,35340,181
J, 1476,-122.427497,37.7518,36060,196
J, 1476,-122.446657,37.720899,36960,338
J, 1430,-122.396431,37.793152,36120,58
J, 1430,-122.41934,37.775234,36480,59
J, 1430,-122.427497,37.7518,37200,142
J, 1430,-122.446657,37.720899,38100,257
J, 1544,-122.427497,37.7518,37800,-248
J, 1544,-122.446657,37.720899,38700,-190
J, 1547,-122.396431,37.793152,37320,28
J, 1547,-122.41934,37.775234,37680,21
J, 1547,-122.427497,37.7518,38400,120
J, 1547,-122.446657,37.720899,39300,197
J, 1418,-122.396431,37.793152,37920,732
J, 1418,-122.41934,37.775234,38280,774
J, 1418,-122.427497,37.7518,39000,757
J, 1418,-122.446657,37.720899,39900,907
J, 1539,-122.396431,37.793152,38520,375
J, 1539,-122.41934,37.775234,38880,404
J, 1539,-122.427497,37.7518,39600,394
J, 1539,-122.446657,37.720899,40500,392
J, 1534,-122.396431,37.793152,39120,1043
J, 1534,-122.41934,37.775234,39480,1045
J, 1534,-122.427497,37.7518,40200,1084
J, 1534,-122.446657,37.720899,41100,1054
J, 1403,-122.396431,37.793152,39720,625
J, 1403,-122.41934,37.775234,40080,613
J, 1403,-122.427497,37.7518,40800,599
J, 1403,-122.446657,37.720899,41700,637
J, 1476,-122.396431,37.793152,40320,387
J, 1476,-122.41934,37.775234,40680,395
J, 1476,-122.427497,37.7518,41400,394
J, 1476,-122.446657,37.720899,42300,463
J, 5592,-122.396431,37.793152,40920,41
J, 1430,-122.396431,37.793152,41520,93
J, 1430,-122.41934,37.775234,41880,95
J, 1430,-122.427497,37.7518,42600,123
J, 1430,-122.446657,37.720899,86700,1079
