route,trip,longitude,latitude,scheduled_time,d_time
M, 1409,-122.396431,37.793152,19200,2
M, 1478,-122.396431,37.793152,19200,2
M, 1478,-122.41934,37.775234,19560,56
M, 1409,-122.41934,37.775234,19560,56
M, 1409,-122.435289,37.762683,19800,-25
M, 1478,-122.435289,37.762683,19800,-25
M, 1478,-122.446566,37.720622,21660,-150
M, 1409,-122.446566,37.720622,21660,-154
M, 1478,-122.45618,37.713161,21360,-115
M, 1409,-122.45618,37.713161,21360,-124
M, 1409,-122.4658,37.740956,20280,30
M, 1478,-122.4658,37.740956,20280,39
M, 1478,-122.465846,37.740893,20340,-19
M, 1409,-122.465846,37.740893,20340,-27
M, 1409,-122.471618,37.734807,20520,-27
M, 1478,-122.471618,37.734807,20520,-21
M, 1478,-122.475233,37.721074,20880,-90
M, 1409,-122.475233,37.721074,20880,-94
M, 1535,-122.396431,37.793152,20400,548
M, 1535,-122.41934,37.775234,20760,558
M, 1535,-122.435289,37.762683,21000,530
M, 1535,-122.446566,37.720622,22860,337
M, 1535,-122.45618,37.713161,22560,425
M, 1535,-122.4658,37.740956,21480,524
M, 1535,-122.465846,37.740893,21540,466
M, 1535,-122.471618,37.734807,21720,497
M, 1535,-122.475233,37.721074,22080,431
M, 1491,-122.396431,37.793152,21480,58
M, 1491,-122.41934,37.775234,21840,34
M, 1491,-122.435289,37.762683,22080,-26
M, 1491,-122.446566,37.720622,23940,-167
M, 1491,-122.45618,37.713161,23640,-127
M, 1491,-122.4658,37.740956,22560,-28
M, 1491,-122.465846,37.740893,22620,-86
M, 1491,-122.471618,37.734807,22800,-69
M, 1491,-122.475233,37.721074,23160,-83
M, 1454,-122.396431,37.793152,22500,1
M, 1454,-122.41934,37.775234,22860,-25
M, 1454,-122.435289,37.762683,23100,-77
M, 1454,-122.446566,37.720622,24960,-305
M, 1454,-122.45618,37.713161,24660,-282
M, 1454,-122.4658,37.740956,23580,-90
M, 1454,-122.465846,37.740893,23640,-139
M, 1454,-122.471618,37.734807,23820,-173
M, 1454,-122.475233,37.721074,24180,-205
M, 1461,-122.396431,37.793152,23400,16
M, 1461,-122.41934,37.775234,23760,7
M, 1461,-122.435289,37.762683,24000,-30
M, 1461,-122.446566,37.720622,25860,-48
M, 1461,-122.45618,37.713161,25560,-75
M, 1461,-122.4658,37.740956,24480,52
M, 1461,-122.465846,37.740893,24540,-6
M, 1461,-122.471618,37.734807,24720,-15
M, 1461,-122.475233,37.721074,25080,-57
M, 1443,-122.396431,37.793152,24240,-44
M, 1548,-122.396431,37.793152,24240,-44
M, 1443,-122.41934,37.775234,24600,19
M, 1548,-122.41934,37.775234,24600,19
M, 1443,-122.435289,37.762683,24840,-47
M, 1548,-122.435289,37.762683,24840,-47
M, 1548,-122.446566,37.720622,26700,104
M, 1443,-122.446566,37.720622,26700,30
M, 1443,-122.45618,37.713161,26400,96
M, 1548,-122.45618,37.713161,26400,86
M, 1443,-122.4658,37.740956,25320,-31
M, 1548,-122.4658,37.740956,25320,-36
M, 1548,-122.465846,37.740893,25380,-96
M, 1443,-122.465846,37.740893,25380,-90
M, 1548,-122.471618,37.734807,25560,-32
M, 1443,-122.471618,37.734807,25560,-41
M, 1443,-122.475233,37.721074,25920,43
M, 1548,-122.475233,37.721074,25920,40
M, 1524,-122.396431,37.793152,25020,151
M, 1524,-122.41934,37.775234,25380,126
M, 1524,-122.435289,37.762683,25620,84
M, 1524,-122.446566,37.720622,27480,50
M, 1524,-122.45618,37.713161,27180,38
M, 1524,-122.4658,37.740956,26100,88
M, 1524,-122.465846,37.740893,26160,30
M, 1524,-122.471618,37.734807,26340,145
M, 1524,-122.475233,37.721074,26700,95
M, 1409,-122.396431,37.793152,25800,-48
M, 1478,-122.396431,37.793152,25800,-48
M, 1409,-122.41934,37.775234,26160,-65
M, 1478,-122.41934,37.775234,26160,-65
M, 1478,-122.435289,37.762683,26400,-135
M, 1409,-122.435289,37.762683,26400,-135
M, 1478,-122.446566,37.720622,28260,-2
M, 1409,-122.446566,37.720622,28260,75
M, 1409,-122.45618,37.713161,27960,50
M, 1478,-122.45618,37.713161,27960,51
M, 1478,-122.4658,37.740956,26880,14
M, 1409,-122.4658,37.740956,26880,46
M, 1409,-122.465846,37.740893,26940,-12
M, 1478,-122.465846,37.740893,26940,-46
M, 1409,-122.471618,37.734807,27120,-26
M, 1478,-122.471618,37.734807,27120,-24
M, 1409,-122.475233,37.721074,27480,-21
M, 1478,-122.475233,37.721074,27480,2
M, 1535,-122.396431,37.793152,26520,244
M, 1535,-122.41934,37.775234,26880,280
M, 1535,-122.435289,37.762683,27120,256
M, 1535,-122.446566,37.720622,28980,208
M, 1535,-122.45618,37.713161,28680,212
M, 1535,-122.4658,37.740956,27600,275
M, 1535,-122.465846,37.740893,27660,218
M, 1535,-122.471618,37.734807,27840,214
M, 1535,-122.475233,37.721074,28200,178
M, 1451,-122.396431,37.793152,27180,-24
M, 1451,-122.41934,37.775234,27540,-22
M, 1451,-122.435289,37.762683,27780,-71
M, 1451,-122.446566,37.720622,29640,-52
M, 1451,-122.45618,37.713161,29340,-12
M, 1451,-122.4658,37.740956,28260,-65
M, 1451,-122.465846,37.740893,28320,-123
M, 1451,-122.471618,37.734807,28500,-64
M, 1451,-122.475233,37.721074,28860,-16
M, 1491,-122.396431,37.793152,27720,71
M, 1491,-122.41934,37.775234,28080,116
M, 1491,-122.435289,37.762683,28320,75
M, 1491,-122.446566,37.720622,30180,-34
M, 1491,-122.45618,37.713161,29880,-48
M, 1491,-122.4658,37.740956,28800,55
M, 1491,-122.465846,37.740893,28860,1
M, 1491,-122.471618,37.734807,29040,11
M, 1491,-122.475233,37.721074,29400,-39
M, 1525,-122.396431,37.793152,28260,491
M, 1525,-122.41934,37.775234,28620,647
M, 1525,-122.435289,37.762683,28860,598
M, 1525,-122.446566,37.720622,30720,364
M, 1525,-122.45618,37.713161,30420,447
M, 1525,-122.4658,37.740956,29340,626
M, 1525,-122.465846,37.740893,29400,568
M, 1525,-122.471618,37.734807,29580,536
M, 1525,-122.475233,37.721074,29940,490
M, 1538,-122.396431,37.793152,29340,61
M, 1538,-122.41934,37.775234,29700,226
M, 1538,-122.435289,37.762683,29940,214
M, 1538,-122.446566,37.720622,31800,78
M, 1538,-122.45618,37.713161,31500,211
M, 1538,-122.4658,37.740956,30420,348
M, 1538,-122.465846,37.740893,30480,290
M, 1538,-122.471618,37.734807,30660,282
M, 1538,-122.475233,37.721074,31020,240
M, 1461,-122.396431,37.793152,29880,166
M, 1461,-122.41934,37.775234,30240,149
M, 1461,-122.435289,37.762683,30480,129
M, 1461,-122.446566,37.720622,32340,342
M, 1461,-122.45618,37.713161,32040,336
M, 1461,-122.4658,37.740956,30960,253
M, 1461,-122.465846,37.740893,31020,196
M, 1461,-122.471618,37.734807,31200,240
M, 1461,-122.475233,37.721074,31560,329
M, 1548,-122.396431,37.793152,30420,2
M, 1443,-122.396431,37.793152,30420,2
M, 1548,-122.41934,37.775234,30780,-3
M, 1443,-122.41934,37.775234,30780,-3
M, 1548,-122.435289,37.762683,31020,-67
M, 1443,-122.435289,37.762683,31020,-67
M, 1443,-122.446566,37.720622,32880,215
M, 1548,-122.446566,37.720622,32880,303
M, 1443,-122.45618,37.713161,32580,259
M, 1548,-122.45618,37.713161,32580,261
M, 1443,-122.4658,37.740956,31500,197
M, 1548,-122.4658,37.740956,31500,198
M, 1548,-122.465846,37.740893,31560,140
M, 1443,-122.465846,37.740893,31560,137
M, 1548,-122.471618,37.734807,31740,201
M, 1443,-122.471618,37.734807,31740,206
M, 1443,-122.475233,37.721074,32100,250
M, 1548,-122.475233,37.721074,32100,256
M, 1510,-122.396431,37.793152,30960,84
M, 1510,-122.41934,37.775234,31320,116
M, 1510,-122.435289,37.762683,31560,84
M, 1510,-122.446566,37.720622,33420,-52
M, 1510,-122.45618,37.713161,33120,36
M, 1510,-122.4658,37.740956,32040,103
M, 1510,-122.465846,37.740893,32100,46
M, 1510,-122.471618,37.734807,32280,49
M, 1510,-122.475233,37.721074,32640,32
M, 1524,-122.396431,37.793152,31500,342
M, 1524,-122.41934,37.775234,31860,365
M, 1524,-122.435289,37.762683,32100,344
M, 1524,-122.446566,37.720622,33960,477
M, 1524,-122.45618,37.713161,33660,517
M, 1524,-122.4658,37.740956,32580,486
M, 1524,-122.465846,37.740893,32640,428
M, 1524,-122.471618,37.734807,32820,454
M, 1524,-122.475233,37.721074,33180,515
M, 1478,-122.396431,37.793152,31980,192
M, 1409,-122.396431,37.793152,31980,192
M, 1478,-122.41934,37.775234,32340,168
M, 1409,-122.41934,37.775234,32340,168
M, 1409,-122.435289,37.762683,32580,136
M, 1478,-122.435289,37.762683,32580,136
M, 1478,-122.446566,37.720622,34440,233
M, 1409,-122.446566,37.720622,34440,125
M, 1478,-122.45618,37.713161,34140,190
M, 1409,-122.45618,37.713161,34140,199
M, 1409,-122.4658,37.740956,33060,291
M, 1478,-122.4658,37.740956,33060,291
M, 1478,-122.465846,37.740893,33120,231
M, 1409,-122.465846,37.740893,33120,231
M, 1478,-122.471618,37.734807,33300,213
M, 1409,-122.471618,37.734807,33300,211
M, 1478,-122.475233,37.721074,33660,213
M, 1409,-122.475233,37.721074,33660,216
M, 1488,-122.396431,37.793152,32580,584
M, 1488,-122.41934,37.775234,32940,601
M, 1488,-122.435289,37.762683,33180,554
M, 1488,-122.446566,37.720622,35040,501
M, 1488,-122.45618,37.713161,34740,476
M, 1488,-122.4658,37.740956,33660,546
M, 1488,-122.465846,37.740893,33720,490
M, 1488,-122.471618,37.734807,33900,477
M, 1488,-122.475233,37.721074,34260,512
M, 1535,-122.396431,37.793152,33120,594
M, 1535,-122.41934,37.775234,33480,654
M, 1535,-122.435289,37.762683,33720,626
M, 1535,-122.446566,37.720622,35580,515
M, 1535,-122.45618,37.713161,35280,590
M, 1535,-122.4658,37.740956,34200,633
M, 1535,-122.465846,37.740893,34260,591
M, 1535,-122.471618,37.734807,34440,604
M, 1535,-122.475233,37.721074,34800,593
M, 1451,-122.396431,37.793152,33660,490
M, 1451,-122.41934,37.775234,34020,492
M, 1451,-122.435289,37.762683,34260,458
