PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
K OWL, 8143,5247804,1801,N,0,5696,-122.419183,37.775243,10/6/2012 6:00:16.000000 AM,10/6/2012 6:00:00.499000 AM,16
K OWL, 8143,5247804,1801,N,0,5667,-122.43538,37.76262,10/6/2012 6:05:52.000000 AM,10/6/2012 6:06:00.491000 AM,-8
K OWL, 8143,5247804,1801,N,0,6739,-122.4658,37.740956,10/6/2012 6:17:53.000000 AM,10/6/2012 6:16:00.485000 AM,113
K OWL, 8169,5247807,2910,N,0,5667,-122.43538,37.76262,10/6/2012 5:34:44.000000 AM,10/6/2012 5:36:00.371000 AM,-76
K OWL, 8443,5247809,9591,N,0,6497,-122.393232,37.793347,10/6/2012 4:20:26.000000 AM,10/6/2012 4:18:01.597000 AM,145
K OWL, 8443,5247809,9591,N,0,5696,-122.419183,37.775243,10/6/2012 4:32:44.000000 AM,10/6/2012 4:30:01.615000 AM,163
K OWL, 8443,5247809,9591,N,0,5667,-122.43538,37.76262,10/6/2012 4:40:43.000000 AM,10/6/2012 4:36:01.609000 AM,282
K OWL, 8443,5247809,9591,N,0,6739,-122.4658,37.740956,10/6/2012 4:53:40.000000 AM,10/6/2012 4:46:01.623000 AM,459
K OWL, 8443,5247809,9591,N,0,6503,-122.471618,37.734807,10/6/2012 4:56:20.000000 AM,10/6/2012 4:49:01.591000 AM,439
K OWL, 8169,5247840,2910,N,0,6497,-122.393232,37.793347,10/6/2012 6:16:20.000000 AM,10/6/2012 6:14:00.565000 AM,140
K OWL, 8169,5247840,2910,N,0,5692,-122.419321,37.775056,10/6/2012 6:07:49.000000 AM,10/6/2012 6:04:00.559000 AM,229
K OWL, 8169,5247840,2910,N,0,5665,-122.435449,37.76246,10/6/2012 5:57:06.000000 AM,10/6/2012 5:57:00.573000 AM,6
K OWL, 8443,5247846,9591,N,0,6497,-122.393232,37.793347,10/6/2012 1:14:44.000000 AM,10/6/2012 1:10:01.099000 AM,283
K OWL, 8443,5247846,9591,N,0,5692,-122.419321,37.775056,10/6/2012 1:03:01.000000 AM,10/6/2012 1:00:01.078000 AM,180
K OWL, 8443,5247846,9591,N,0,5665,-122.435449,37.76246,10/6/2012 12:53:41.000000 AM,10/6/2012 12:53:01.086000 AM,40
K OWL, 8443,5247846,9591,N,0,6744,-122.466006,37.74092,10/6/2012 12:43:23.000000 AM,10/6/2012 12:42:01.092000 AM,82
K OWL, 8424,5247848,4405,N,0,6497,-122.393232,37.793347,10/6/2012 6:04:18.000000 AM,10/6/2012 5:59:00.711000 AM,318
K OWL, 8424,5247848,4405,N,0,5692,-122.419321,37.775056,10/6/2012 5:52:38.000000 AM,10/6/2012 5:49:00.719000 AM,218
K OWL, 8424,5247848,4405,N,0,5665,-122.435449,37.76246,10/6/2012 5:44:51.000000 AM,10/6/2012 5:42:00.704000 AM,171
K OWL, 8424,5247848,4405,N,0,6744,-122.466006,37.74092,10/6/2012 5:34:38.000000 AM,10/6/2012 5:31:00.722000 AM,218
