PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
P, 496,5322094,9893,N,0,7380,-122.388489,37.78957,10/6/2012 5:43:27.000000 PM,10/6/2012 6:00:00.222000 PM,-993
P, 496,5322094,9893,N,0,4726,-122.393874,37.794105,10/6/2012 5:40:23.000000 PM,10/6/2012 5:55:00.250000 PM,-877
P, 496,5322094,9893,N,0,3095,-122.41081,37.807841,10/6/2012 5:39:51.000000 PM,10/6/2012 5:43:00.243000 PM,-189
P, 496,5322094,9893,N,0,5184,-122.417366,37.807248,10/6/2012 5:39:51.000000 PM,10/6/2012 5:39:00.236000 PM,51
P, 1006,5322096,9890,N,0,7380,-122.388489,37.78957,10/6/2012 6:34:01.000000 PM,10/6/2012 6:30:00.746000 PM,241
P, 1006,5322096,9890,N,0,4726,-122.393874,37.794105,10/6/2012 6:30:33.000000 PM,10/6/2012 6:25:00.762000 PM,333
P, 1006,5322096,9890,N,0,3095,-122.41081,37.807841,10/6/2012 6:10:31.000000 PM,10/6/2012 6:13:00.750000 PM,-149
P, 1006,5322096,9890,N,0,5184,-122.417366,37.807248,10/6/2012 6:09:01.000000 PM,10/6/2012 6:09:00.755000 PM,1
P, 1015,5322102,9891,N,0,7380,-122.388489,37.78957,10/6/2012 6:42:25.000000 PM,10/6/2012 6:45:00.978000 PM,-155
P, 1015,5322102,9891,N,0,4726,-122.393874,37.794105,10/6/2012 6:34:03.000000 PM,10/6/2012 6:40:00.006000 PM,-357
P, 1015,5322102,9891,N,0,3095,-122.41081,37.807841,10/6/2012 6:18:59.000000 PM,10/6/2012 6:28:00.015000 PM,-541
P, 1015,5322102,9891,N,0,5184,-122.417366,37.807248,10/6/2012 6:16:11.000000 PM,10/6/2012 6:24:00.997000 PM,-469
P, 1076,5322103,9892,N,0,3095,-122.41081,37.807841,10/6/2012 6:40:35.000000 PM,10/6/2012 6:43:00.586000 PM,-145
P, 1076,5322103,9892,N,0,5184,-122.417366,37.807248,10/6/2012 6:38:02.000000 PM,10/6/2012 6:39:00.603000 PM,-58
P, 1007,5322135,9890,N,0,7380,-122.388489,37.78957,10/6/2012 9:43:30.000000 AM,10/6/2012 9:36:00.029000 AM,450
P, 496,5322136,9891,N,0,7380,-122.388489,37.78957,10/6/2012 9:54:06.000000 AM,10/6/2012 9:51:00.144000 AM,186
P, 1015,5322137,9892,N,0,7380,-122.388489,37.78957,10/6/2012 9:59:52.000000 AM,10/6/2012 10:02:00.053000 AM,-128
