route,trip,longitude,latitude,scheduled_time,d_time
E, 1006,-122.388489,37.78957,39420,-920
E, 1006,-122.393874,37.794105,39120,-780
E, 1006,-122.41081,37.807841,38520,-180
E, 1006,-122.417366,37.807248,38340,0
E, 496,-122.393874,37.794105,40020,-6
E, 496,-122.41081,37.807841,39420,-337
E, 496,-122.417366,37.807248,39240,-157
E, 1015,-122.388489,37.78957,41220,1545
E, 1015,-122.393874,37.794105,40920,1531
E, 1015,-122.41081,37.807841,40320,1454
E, 1015,-122.417366,37.807248,40140,1629
E, 1055,-122.388489,37.78957,42300,-1084
E, 1055,-122.393874,37.794105,42000,-1002
E, 1006,-122.388489,37.78957,87300,649
E, 1006,-122.393874,37.794105,87000,660
E, 1006,-122.41081,37.807841,43080,43634
E, 1006,-122.417366,37.807248,42840,328
E, 496,-122.388489,37.78957,88200,-622
E, 496,-122.393874,37.794105,87900,-831
E, 496,-122.41081,37.807841,87180,-256
E, 496,-122.417366,37.807248,86940,-16
E, 1015,-122.388489,37.78957,89100,-40852
E, 1015,-122.393874,37.794105,88800,-40904
E, 1015,-122.41081,37.807841,88080,-41036
E, 1015,-122.417366,37.807248,87840,-40847
E, 1815,-122.393874,37.794105,89700,-42205
E, 496,-122.388489,37.78957,49500,-201
E, 496,-122.393874,37.794105,49200,99
E, 1077,-122.388489,37.78957,50400,-101
E, 1077,-122.393874,37.794105,50100,199
E, 1077,-122.41081,37.807841,49380,-103
E, 1008,-122.388489,37.78957,52200,1113
E, 1008,-122.393874,37.794105,51900,1018
E, 1008,-122.41081,37.807841,51180,913
E, 1008,-122.417366,37.807248,50940,569
E, 496,-122.388489,37.78957,54000,23
E, 496,-122.393874,37.794105,53700,-763
E, 496,-122.41081,37.807841,52980,-185
E, 496,-122.417366,37.807248,52740,55
E, 1059,-122.388489,37.78957,54900,677
E, 1059,-122.393874,37.794105,54600,977
E, 1059,-122.41081,37.807841,53880,-42
E, 1059,-122.417366,37.807248,53640,-313
E, 1008,-122.388489,37.78957,56700,2772
E, 1008,-122.393874,37.794105,56400,2757
E, 1008,-122.41081,37.807841,55680,2159
E, 1008,-122.417366,37.807248,55440,2358
E, 1015,-122.388489,37.78957,57600,3965
E, 1015,-122.393874,37.794105,57300,3680
E, 1015,-122.41081,37.807841,56580,3110
E, 1015,-122.417366,37.807248,56340,3230
E, 1006,-122.388489,37.78957,58500,435
E, 1006,-122.393874,37.794105,58200,176
E, 1076,-122.388489,37.78957,59400,256
E, 1076,-122.393874,37.794105,59100,556
E, 496,-122.388489,37.78957,60300,540
E, 496,-122.393874,37.794105,60000,371
E, 1818,-122.388489,37.78957,63000,-291
E, 1818,-122.393874,37.794105,62700,9
E, 1818,-122.41081,37.807841,61980,-232
E, 1818,-122.417366,37.807248,61740,-21
E, 1856,-122.388489,37.78957,63900,-901
E, 1856,-122.393874,37.794105,63600,-601
E, 1856,-122.41081,37.807841,62880,-151
E, 1856,-122.417366,37.807248,62640,89
E, 1007,-122.388489,37.78957,34860,199
E, 496,-122.388489,37.78957,35760,-114
E, 1015,-122.388489,37.78957,36420,-428
E, 1006,-122.39345,37.7939,36600,1192
E, 1007,-122.394036,37.776252,36000,269
E, 1006,-122.410287,37.808351,37320,558
E, 1006,-122.417366,37.807248,37620,438
E, 496,-122.388489,37.78957,37200,-222
E, 496,-122.39345,37.7939,37500,-522
E, 496,-122.394036,37.776252,36900,78
E, 496,-122.410287,37.808351,38220,-412
E, 496,-122.417366,37.807248,38520,-490
E, 1015,-122.388489,37.78957,38100,1592
E, 1015,-122.39345,37.7939,38400,-1464
E, 1015,-122.394036,37.776252,37800,-1808
E, 1015,-122.410287,37.808351,39120,2266
E, 1015,-122.417366,37.807248,39420,2349
E, 1008,-122.394036,37.776252,38700,4
E, 1006,-122.388489,37.78957,40800,-309
E, 1006,-122.39345,37.7939,41100,-79
E, 1006,-122.394036,37.776252,40500,-180
E, 1006,-122.410287,37.808351,41820,587
E, 1006,-122.417366,37.807248,42120,553
E, 496,-122.388489,37.78957,41700,-320
E, 496,-122.39345,37.7939,42000,-602
E, 496,-122.394036,37.776252,41400,-20
E, 496,-122.410287,37.808351,42720,-496
E, 496,-122.417366,37.807248,43020,-615
E, 1015,-122.388489,37.78957,42600,45807
E, 1015,-122.39345,37.7939,42900,45885
E, 1015,-122.394036,37.776252,42300,770
E, 1015,-122.410287,37.808351,86820,3077
E, 1015,-122.417366,37.807248,87120,-40127
E, 1008,-122.410287,37.808351,88620,-2082
E, 1008,-122.417366,37.807248,88920,-2182
E, 1006,-122.388489,37.78957,88500,-41261
E, 1006,-122.39345,37.7939,88800,-40898
E, 1006,-122.394036,37.776252,88200,206
E, 1006,-122.410287,37.808351,89520,-40423
E, 1006,-122.417366,37.807248,89820,-40260
E, 496,-122.388489,37.78957,89400,-288
E, 496,-122.39345,37.7939,89700,-588
E, 496,-122.394036,37.776252,89100,12
E, 496,-122.410287,37.808351,47280,42104
E, 496,-122.417366,37.807248,47580,41881
E, 1015,-122.394036,37.776252,46800,1870
E, 1815,-122.410287,37.808351,49080,-194
E, 1815,-122.417366,37.807248,49380,-314
E, 1008,-122.388489,37.78957,48900,-305
E, 1008,-122.39345,37.7939,49200,-163
E, 1008,-122.394036,37.776252,48600,-266
E, 1008,-122.410287,37.808351,49980,473
E, 1008,-122.417366,37.807248,50280,500
E, 1015,-122.39345,37.7939,50100,583
E, 1015,-122.410287,37.808351,50880,1097
E, 1015,-122.417366,37.807248,51180,1089
E, 1059,-122.417366,37.807248,52980,-14
E, 1008,-122.388489,37.78957,53400,2296
E, 1008,-122.39345,37.7939,53700,2268
E, 1008,-122.394036,37.776252,53100,544
E, 1008,-122.410287,37.808351,54480,2752
E, 1008,-122.417366,37.807248,54780,3018
E, 1015,-122.388489,37.78957,54300,3285
E, 1015,-122.39345,37.7939,54600,3659
E, 1015,-122.394036,37.776252,54000,-2
E, 1015,-122.410287,37.808351,55380,3969
E, 1015,-122.417366,37.807248,55680,-1323
E, 496,-122.388489,37.78957,55200,-298
E, 496,-122.39345,37.7939,55500,-598
E, 496,-122.394036,37.776252,54900,2
E, 496,-122.410287,37.808351,56280,-1018
E, 496,-122.417366,37.807248,56580,-1186
E, 1008,-122.388489,37.78957,57900,5389
E, 1008,-122.39345,37.7939,58200,5683
E, 1008,-122.394036,37.776252,57600,2261
E, 1015,-122.394036,37.776252,58500,3421
E, 1006,-122.394036,37.776252,59400,1
E, 1818,-122.410287,37.808351,60780,759
E, 1818,-122.417366,37.807248,61080,548
E, 496,-122.388489,37.78957,61500,-215
E, 496,-122.39345,37.7939,61800,-515
E, 496,-122.394036,37.776252,61200,85
E, 496,-122.410287,37.808351,62520,-504
E, 496,-122.417366,37.807248,62820,-434
E, 1006,-122.39345,37.7939,63600,601
E, 1006,-122.410287,37.808351,64320,1021
E, 1006,-122.417366,37.807248,64620,721
E, 1015,-122.388489,37.78957,64200,58
E, 1015,-122.39345,37.7939,64500,209
E, 1015,-122.410287,37.808351,65220,520
E, 1015,-122.417366,37.807248,65520,251
E, 1076,-122.410287,37.808351,66120,-70
E, 1076,-122.417366,37.807248,66420,-118
