route,trip,longitude,latitude,scheduled_time,d_time
P, 496,-122.388489,37.78957,64800,-993
P, 496,-122.393874,37.794105,64500,-877
P, 496,-122.41081,37.807841,63780,-189
P, 496,-122.417366,37.807248,63540,51
P, 1006,-122.388489,37.78957,66600,241
P, 1006,-122.393874,37.794105,66300,333
P, 1006,-122.41081,37.807841,65580,-149
P, 1006,-122.417366,37.807248,65340,1
P, 1015,-122.388489,37.78957,67500,-155
P, 1015,-122.393874,37.794105,67200,-357
P, 1015,-122.41081,37.807841,66480,-541
P, 1015,-122.417366,37.807248,66240,-469
P, 1076,-122.41081,37.807841,67380,-145
P, 1076,-122.417366,37.807248,67140,-58
P, 1007,-122.388489,37.78957,34560,450
P, 496,-122.388489,37.78957,35460,186
P, 1015,-122.388489,37.78957,36120,-128
