route,trip,longitude,latitude,scheduled_time,d_time
T OWL, 8138,-122.38846,37.76079,23160,76
T OWL, 8138,-122.393874,37.794105,24000,32
T OWL, 8138,-122.405067,37.708837,22020,-208
T OWL, 8138,-122.419183,37.775243,24720,-6
T OWL, 8126,-122.38846,37.76079,21960,-183
T OWL, 8126,-122.393874,37.794105,22800,-236
T OWL, 8126,-122.405067,37.708837,20820,-571
T OWL, 8126,-122.419183,37.775243,23520,-153
T OWL, 8112,-122.38846,37.76079,20760,135
T OWL, 8112,-122.393874,37.794105,21600,149
T OWL, 8112,-122.405067,37.708837,19620,100
T OWL, 8112,-122.419183,37.775243,22320,146
T OWL, 8138,-122.393324,37.79324,19740,229
T OWL, 8138,-122.405067,37.708837,21780,32
T OWL, 8440,-122.405067,37.708837,24180,84
T OWL, 8525,-122.393324,37.79324,20940,193
T OWL, 8525,-122.405067,37.708837,22980,144
T OWL, 8112,-122.393324,37.79324,23340,239
T OWL, 8112,-122.405067,37.708837,25380,-343
T OWL, 8112,-122.419321,37.775056,22740,162
T OWL, 8126,-122.393324,37.79324,18540,136
T OWL, 8126,-122.405067,37.708837,20580,-331
T OWL, 8112,-122.405067,37.708837,19380,-41
