PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
E, 496,5322142,9890,N,0,7380,-122.388489,37.78957,10/7/2012 11:06:37.000000 AM,10/7/2012 10:57:00.662000 AM,577
E, 496,5322142,9890,N,0,4726,-122.393874,37.794105,10/7/2012 10:55:41.000000 AM,10/7/2012 10:52:00.674000 AM,221
E, 496,5322142,9890,N,0,3095,-122.41081,37.807841,10/7/2012 10:40:11.000000 AM,10/7/2012 10:42:00.692000 AM,-109
E, 496,5322142,9890,N,0,5184,-122.417366,37.807248,10/7/2012 10:37:47.000000 AM,10/7/2012 10:39:00.686000 AM,-73
E, 1010,5322143,9891,N,0,7380,-122.388489,37.78957,10/7/2012 11:13:54.000000 AM,10/7/2012 11:12:00.567000 AM,114
E, 1010,5322143,9891,N,0,4726,-122.393874,37.794105,10/7/2012 11:05:06.000000 AM,10/7/2012 11:07:00.590000 AM,-114
E, 1010,5322143,9891,N,0,3095,-122.41081,37.807841,10/7/2012 10:51:36.000000 AM,10/7/2012 10:57:00.573000 AM,-324
E, 1010,5322143,9891,N,0,5184,-122.417366,37.807248,10/7/2012 10:47:35.000000 AM,10/7/2012 10:54:00.579000 AM,-385
E, 1006,5322144,9892,N,0,7380,-122.388489,37.78957,10/7/2012 11:41:43.000000 AM,10/7/2012 11:27:00.121000 AM,883
E, 1006,5322144,9892,N,0,4726,-122.393874,37.794105,10/7/2012 11:36:09.000000 AM,10/7/2012 11:22:00.126000 AM,849
E, 1006,5322144,9892,N,0,3095,-122.41081,37.807841,10/7/2012 11:22:46.000000 AM,10/7/2012 11:12:00.132000 AM,646
E, 1006,5322144,9892,N,0,5184,-122.417366,37.807248,10/7/2012 11:22:44.000000 AM,10/7/2012 11:09:00.115000 AM,824
E, 1015,5322146,9894,N,0,7380,-122.388489,37.78957,10/7/2012 12:12:52.000000 PM,10/7/2012 12:00:00.184000 PM,772
E, 1015,5322146,9894,N,0,4726,-122.393874,37.794105,10/7/2012 12:07:05.000000 PM,10/7/2012 11:55:00.195000 AM,43925
E, 1015,5322146,9894,N,0,3095,-122.41081,37.807841,10/7/2012 11:54:18.000000 AM,10/7/2012 11:43:00.172000 AM,678
E, 1015,5322146,9894,N,0,5184,-122.417366,37.807248,10/7/2012 11:51:45.000000 AM,10/7/2012 11:39:00.178000 AM,765
E, 496,5322147,9890,N,0,7380,-122.388489,37.78957,10/7/2012 1:00:42.000000 PM,10/7/2012 12:15:00.116000 PM,-40458
E, 496,5322147,9890,N,0,4726,-122.393874,37.794105,10/7/2012 12:55:01.000000 PM,10/7/2012 12:10:00.122000 PM,2701
E, 496,5322147,9890,N,0,3095,-122.41081,37.807841,10/7/2012 12:41:19.000000 PM,10/7/2012 11:58:00.134000 AM,45799
E, 496,5322147,9890,N,0,5184,-122.417366,37.807248,10/7/2012 12:40:34.000000 PM,10/7/2012 11:54:00.146000 AM,45994
E, 1010,5322148,9891,N,0,7380,-122.388489,37.78957,10/7/2012 12:42:03.000000 PM,10/7/2012 12:30:00.048000 PM,723
E, 1010,5322148,9891,N,0,4726,-122.393874,37.794105,10/7/2012 12:37:43.000000 PM,10/7/2012 12:25:00.062000 PM,763
E, 1010,5322148,9891,N,0,3095,-122.41081,37.807841,10/7/2012 12:26:40.000000 PM,10/7/2012 12:13:00.051000 PM,820
E, 1010,5322148,9891,N,0,5184,-122.417366,37.807248,10/7/2012 12:26:20.000000 PM,10/7/2012 12:09:00.056000 PM,1040
E, 1010,5322153,9891,N,0,7380,-122.388489,37.78957,10/7/2012 2:15:38.000000 PM,10/7/2012 1:45:00.174000 PM,1838
E, 1010,5322153,9891,N,0,4726,-122.393874,37.794105,10/7/2012 2:12:22.000000 PM,10/7/2012 1:40:00.193000 PM,1942
E, 1010,5322153,9891,N,0,3095,-122.41081,37.807841,10/7/2012 1:58:03.000000 PM,10/7/2012 1:28:00.162000 PM,1803
E, 1010,5322153,9891,N,0,5184,-122.417366,37.807248,10/7/2012 1:56:11.000000 PM,10/7/2012 1:24:00.186000 PM,1931
E, 1006,5322154,9892,N,0,7380,-122.388489,37.78957,10/7/2012 1:38:56.000000 PM,10/7/2012 2:00:00.600000 PM,-1264
E, 1006,5322154,9892,N,0,4726,-122.393874,37.794105,10/7/2012 1:34:01.000000 PM,10/7/2012 1:55:00.617000 PM,-1259
E, 1015,5322156,9894,N,0,7380,-122.388489,37.78957,10/7/2012 2:03:52.000000 PM,10/7/2012 2:30:00.223000 PM,-1568
E, 1015,5322156,9894,N,0,4726,-122.393874,37.794105,10/7/2012 1:53:33.000000 PM,10/7/2012 2:25:00.215000 PM,-1887
E, 1006,5322159,9892,N,0,7380,-122.388489,37.78957,10/7/2012 2:58:24.000000 PM,10/7/2012 3:15:00.489000 PM,-996
E, 1006,5322159,9892,N,0,4726,-122.393874,37.794105,10/7/2012 2:55:20.000000 PM,10/7/2012 3:10:00.465000 PM,-880
E, 1006,5322159,9892,N,0,3095,-122.41081,37.807841,10/7/2012 2:54:57.000000 PM,10/7/2012 2:58:00.459000 PM,-183
E, 1006,5322159,9892,N,0,5184,-122.417366,37.807248,10/7/2012 2:54:57.000000 PM,10/7/2012 2:54:00.477000 PM,57
E, 1015,5322161,9894,N,0,7380,-122.388489,37.78957,10/7/2012 3:58:25.000000 PM,10/7/2012 3:45:00.078000 PM,805
E, 1015,5322161,9894,N,0,4726,-122.393874,37.794105,10/7/2012 3:54:36.000000 PM,10/7/2012 3:40:00.073000 PM,876
E, 496,5322162,9890,N,0,7380,-122.388489,37.78957,10/7/2012 3:32:11.000000 PM,10/7/2012 4:00:00.133000 PM,-1669
E, 496,5322162,9890,N,0,4726,-122.393874,37.794105,10/7/2012 3:23:43.000000 PM,10/7/2012 3:55:00.127000 PM,-1877
E, 1010,5322163,9891,N,0,7380,-122.388489,37.78957,10/7/2012 4:07:16.000000 PM,10/7/2012 4:15:00.213000 PM,-464
E, 1010,5322163,9891,N,0,4726,-122.393874,37.794105,10/7/2012 4:03:46.000000 PM,10/7/2012 4:10:00.226000 PM,-374
E, 1010,5322163,9891,N,0,3095,-122.41081,37.807841,10/7/2012 3:51:13.000000 PM,10/7/2012 3:58:00.233000 PM,-407
E, 1010,5322163,9891,N,0,5184,-122.417366,37.807248,10/7/2012 3:51:13.000000 PM,10/7/2012 3:54:00.201000 PM,-167
E, 1006,5322164,9892,N,0,7380,-122.388489,37.78957,10/7/2012 4:53:09.000000 PM,10/7/2012 4:30:00.811000 PM,1389
E, 1006,5322164,9892,N,0,4726,-122.393874,37.794105,10/7/2012 4:44:31.000000 PM,10/7/2012 4:25:00.805000 PM,1171
E, 1006,5322164,9892,N,0,3095,-122.41081,37.807841,10/7/2012 4:28:54.000000 PM,10/7/2012 4:13:00.834000 PM,954
E, 1006,5322164,9892,N,0,5184,-122.417366,37.807248,10/7/2012 4:26:29.000000 PM,10/7/2012 4:09:00.822000 PM,1049
E, 1015,5322166,9894,N,0,7380,-122.388489,37.78957,10/7/2012 5:37:55.000000 PM,10/7/2012 5:00:00.156000 PM,2275
E, 1015,5322166,9894,N,0,4726,-122.393874,37.794105,10/7/2012 5:24:29.000000 PM,10/7/2012 4:55:00.170000 PM,1769
E, 1015,5322166,9894,N,0,3095,-122.41081,37.807841,10/7/2012 5:02:56.000000 PM,10/7/2012 4:43:00.163000 PM,1196
E, 1015,5322166,9894,N,0,5184,-122.417366,37.807248,10/7/2012 5:00:31.000000 PM,10/7/2012 4:39:00.185000 PM,1291
E, 496,5322167,9890,N,0,7380,-122.388489,37.78957,10/7/2012 5:12:01.000000 PM,10/7/2012 5:15:00.823000 PM,-179
E, 496,5322167,9890,N,0,4726,-122.393874,37.794105,10/7/2012 5:12:01.000000 PM,10/7/2012 5:10:00.829000 PM,121
E, 496,5322167,9890,N,0,3095,-122.41081,37.807841,10/7/2012 4:51:45.000000 PM,10/7/2012 4:58:00.835000 PM,-375
E, 496,5322167,9890,N,0,5184,-122.417366,37.807248,10/7/2012 4:51:23.000000 PM,10/7/2012 4:54:00.847000 PM,-157
E, 1010,5322168,9891,N,0,7380,-122.388489,37.78957,10/7/2012 5:39:02.000000 PM,10/7/2012 5:30:00.432000 PM,542
E, 1010,5322168,9891,N,0,4726,-122.393874,37.794105,10/7/2012 5:26:13.000000 PM,10/7/2012 5:25:00.438000 PM,73
E, 1010,5322168,9891,N,0,3095,-122.41081,37.807841,10/7/2012 5:09:37.000000 PM,10/7/2012 5:13:00.444000 PM,-203
E, 1010,5322168,9891,N,0,5184,-122.417366,37.807248,10/7/2012 5:09:13.000000 PM,10/7/2012 5:09:00.423000 PM,13
E, 496,5322173,9890,N,0,7380,-122.388489,37.78957,10/7/2012 9:41:32.000000 AM,10/7/2012 9:41:00.478000 AM,32
E, 1010,5322174,9891,N,0,7380,-122.388489,37.78957,10/7/2012 9:57:52.000000 AM,10/7/2012 9:56:00.380000 AM,112
E, 496,5322180,9890,N,0,7380,-122.388489,37.78957,10/7/2012 10:13:19.000000 AM,10/7/2012 10:05:00.475000 AM,499
E, 496,5322180,9890,N,0,4727,-122.39345,37.7939,10/7/2012 10:16:39.000000 AM,10/7/2012 10:10:00.480000 AM,399
E, 496,5322180,9890,N,0,7397,-122.394036,37.776252,10/7/2012 10:04:50.000000 AM,10/7/2012 10:00:00.486000 AM,290
E, 496,5322180,9890,N,0,4530,-122.410287,37.808351,10/7/2012 10:31:18.000000 AM,10/7/2012 10:22:00.469000 AM,558
E, 496,5322180,9890,N,0,5184,-122.417366,37.807248,10/7/2012 10:37:47.000000 AM,10/7/2012 10:27:00.457000 AM,647
E, 1010,5322181,9891,N,0,7380,-122.388489,37.78957,10/7/2012 10:22:48.000000 AM,10/7/2012 10:20:00.017000 AM,168
E, 1010,5322181,9891,N,0,4727,-122.39345,37.7939,10/7/2012 10:26:32.000000 AM,10/7/2012 10:25:00.001000 AM,92
E, 1010,5322181,9891,N,0,7397,-122.394036,37.776252,10/7/2012 10:14:06.000000 AM,10/7/2012 10:15:00.994000 AM,-54
E, 1010,5322181,9891,N,0,4530,-122.410287,37.808351,10/7/2012 10:46:58.000000 AM,10/7/2012 10:37:00.019000 AM,598
E, 1010,5322181,9891,N,0,5184,-122.417366,37.807248,10/7/2012 10:47:35.000000 AM,10/7/2012 10:42:00.007000 AM,335
E, 1006,5322182,9892,N,0,7380,-122.388489,37.78957,10/7/2012 10:40:11.000000 AM,10/7/2012 10:35:00.776000 AM,311
E, 1006,5322182,9892,N,0,4727,-122.39345,37.7939,10/7/2012 10:44:16.000000 AM,10/7/2012 10:40:00.764000 AM,256
E, 1006,5322182,9892,N,0,7397,-122.394036,37.776252,10/7/2012 10:32:13.000000 AM,10/7/2012 10:30:00.789000 AM,133
E, 1006,5322182,9892,N,0,4530,-122.410287,37.808351,10/7/2012 11:14:51.000000 AM,10/7/2012 10:52:00.770000 AM,1371
E, 1006,5322182,9892,N,0,5184,-122.417366,37.807248,10/7/2012 11:22:44.000000 AM,10/7/2012 10:57:00.794000 AM,1544
E, 1015,5322184,9894,N,0,7380,-122.388489,37.78957,10/7/2012 11:22:39.000000 AM,10/7/2012 11:05:00.842000 AM,1059
E, 1015,5322184,9894,N,0,4727,-122.39345,37.7939,10/7/2012 11:27:02.000000 AM,10/7/2012 11:10:00.830000 AM,1022
E, 1015,5322184,9894,N,0,7397,-122.394036,37.776252,10/7/2012 11:14:21.000000 AM,10/7/2012 11:00:00.824000 AM,861
E, 1015,5322184,9894,N,0,4530,-122.410287,37.808351,10/7/2012 11:51:17.000000 AM,10/7/2012 11:22:00.836000 AM,1757
E, 1015,5322184,9894,N,0,5184,-122.417366,37.807248,10/7/2012 11:51:45.000000 AM,10/7/2012 11:27:00.818000 AM,1485
E, 496,5322185,9890,N,0,7380,-122.388489,37.78957,10/7/2012 12:08:28.000000 PM,10/7/2012 11:20:00.907000 AM,46108
E, 496,5322185,9890,N,0,4727,-122.39345,37.7939,10/7/2012 12:11:44.000000 PM,10/7/2012 11:25:00.896000 AM,46004
E, 496,5322185,9890,N,0,7397,-122.394036,37.776252,10/7/2012 11:18:05.000000 AM,10/7/2012 11:15:00.890000 AM,185
E, 496,5322185,9890,N,0,4530,-122.410287,37.808351,10/7/2012 12:33:00.000000 PM,10/7/2012 11:37:00.884000 AM,46560
E, 496,5322185,9890,N,0,5184,-122.417366,37.807248,10/7/2012 12:40:34.000000 PM,10/7/2012 11:42:00.913000 AM,46714
E, 1010,5322186,9891,N,0,7380,-122.388489,37.78957,10/7/2012 11:54:25.000000 AM,10/7/2012 11:35:00.462000 AM,1165
E, 1010,5322186,9891,N,0,4727,-122.39345,37.7939,10/7/2012 12:01:08.000000 PM,10/7/2012 11:40:00.475000 AM,44468
E, 1010,5322186,9891,N,0,7397,-122.394036,37.776252,10/7/2012 11:43:34.000000 AM,10/7/2012 11:30:00.468000 AM,814
E, 1010,5322186,9891,N,0,4530,-122.410287,37.808351,10/7/2012 12:21:26.000000 PM,10/7/2012 11:52:00.493000 AM,44966
E, 1010,5322186,9891,N,0,5184,-122.417366,37.807248,10/7/2012 12:26:20.000000 PM,10/7/2012 11:57:00.487000 AM,44960
E, 1006,5322187,9892,N,0,4727,-122.39345,37.7939,10/7/2012 12:29:11.000000 PM,10/7/2012 11:55:00.336000 AM,45251
E, 1006,5322187,9892,N,0,7397,-122.394036,37.776252,10/7/2012 12:13:25.000000 PM,10/7/2012 11:45:00.324000 AM,44905
E, 1006,5322187,9892,N,0,4530,-122.410287,37.808351,10/7/2012 12:50:48.000000 PM,10/7/2012 12:07:00.346000 PM,2628
E, 1015,5322189,9894,N,0,7380,-122.388489,37.78957,10/7/2012 1:00:29.000000 PM,10/7/2012 12:20:00.044000 PM,-40771
E, 1015,5322189,9894,N,0,4727,-122.39345,37.7939,10/7/2012 1:04:30.000000 PM,10/7/2012 12:25:00.020000 PM,-40830
E, 1015,5322189,9894,N,0,7397,-122.394036,37.776252,10/7/2012 12:18:43.000000 PM,10/7/2012 12:15:00.030000 PM,223
E, 1015,5322189,9894,N,0,4530,-122.410287,37.808351,10/7/2012 1:30:18.000000 PM,10/7/2012 12:37:00.026000 PM,-40002
E, 496,5322190,9890,N,0,7397,-122.394036,37.776252,10/7/2012 1:05:43.000000 PM,10/7/2012 12:30:00.426000 PM,-41057
E, 1010,5322191,9891,N,0,7380,-122.388489,37.78957,10/7/2012 1:19:25.000000 PM,10/7/2012 12:50:00.015000 PM,-41435
E, 1010,5322191,9891,N,0,4727,-122.39345,37.7939,10/7/2012 1:25:24.000000 PM,10/7/2012 12:55:00.009000 PM,-41376
E, 1010,5322191,9891,N,0,7397,-122.394036,37.776252,10/7/2012 1:07:55.000000 PM,10/7/2012 12:45:00.021000 PM,-41825
E, 1010,5322191,9891,N,0,4530,-122.410287,37.808351,10/7/2012 1:52:31.000000 PM,10/7/2012 1:08:00.997000 PM,2671
E, 1010,5322191,9891,N,0,5184,-122.417366,37.807248,10/7/2012 1:56:11.000000 PM,10/7/2012 1:13:00.027000 PM,2591
E, 496,5322195,9890,N,0,7380,-122.388489,37.78957,10/7/2012 1:46:20.000000 PM,10/7/2012 1:50:00.495000 PM,-220
E, 496,5322195,9890,N,0,4727,-122.39345,37.7939,10/7/2012 1:46:20.000000 PM,10/7/2012 1:55:00.500000 PM,-520
E, 496,5322195,9890,N,0,7397,-122.394036,37.776252,10/7/2012 1:46:20.000000 PM,10/7/2012 1:45:00.469000 PM,80
E, 496,5322195,9890,N,0,4530,-122.410287,37.808351,10/7/2012 2:00:04.000000 PM,10/7/2012 2:08:00.481000 PM,-476
E, 1010,5322196,9891,N,0,7380,-122.388489,37.78957,10/7/2012 3:01:33.000000 PM,10/7/2012 2:05:00.383000 PM,3393
E, 1010,5322196,9891,N,0,4727,-122.39345,37.7939,10/7/2012 3:06:31.000000 PM,10/7/2012 2:10:00.387000 PM,3391
E, 1010,5322196,9891,N,0,7397,-122.394036,37.776252,10/7/2012 2:50:24.000000 PM,10/7/2012 2:00:00.379000 PM,3024
E, 1006,5322197,9892,N,0,7380,-122.388489,37.78957,10/7/2012 2:15:57.000000 PM,10/7/2012 2:20:00.030000 PM,-243
E, 1006,5322197,9892,N,0,4727,-122.39345,37.7939,10/7/2012 2:15:57.000000 PM,10/7/2012 2:25:00.043000 PM,-543
E, 1006,5322197,9892,N,0,7397,-122.394036,37.776252,10/7/2012 2:15:57.000000 PM,10/7/2012 2:15:00.051000 PM,57
E, 1006,5322197,9892,N,0,4530,-122.410287,37.808351,10/7/2012 2:30:23.000000 PM,10/7/2012 2:38:00.021000 PM,-457
E, 1006,5322197,9892,N,0,5184,-122.417366,37.807248,10/7/2012 2:38:24.000000 PM,10/7/2012 2:43:00.037000 PM,-276
E, 1015,5322199,9894,N,0,7380,-122.388489,37.78957,10/7/2012 2:54:14.000000 PM,10/7/2012 2:50:00.320000 PM,254
E, 1015,5322199,9894,N,0,4727,-122.39345,37.7939,10/7/2012 2:59:54.000000 PM,10/7/2012 2:55:00.315000 PM,294
E, 1015,5322199,9894,N,0,7397,-122.394036,37.776252,10/7/2012 2:40:59.000000 PM,10/7/2012 2:45:00.332000 PM,-241
E, 1006,5322202,9892,N,0,7380,-122.388489,37.78957,10/7/2012 3:38:19.000000 PM,10/7/2012 3:35:00.245000 PM,199
E, 1006,5322202,9892,N,0,4727,-122.39345,37.7939,10/7/2012 3:43:23.000000 PM,10/7/2012 3:40:00.227000 PM,203
E, 1006,5322202,9892,N,0,7397,-122.394036,37.776252,10/7/2012 3:29:36.000000 PM,10/7/2012 3:30:00.221000 PM,-24
E, 1006,5322202,9892,N,0,4530,-122.410287,37.808351,10/7/2012 4:20:14.000000 PM,10/7/2012 3:53:00.233000 PM,1634
E, 1006,5322202,9892,N,0,5184,-122.417366,37.807248,10/7/2012 4:26:29.000000 PM,10/7/2012 3:58:00.215000 PM,1709
E, 1015,5322204,9894,N,0,7380,-122.388489,37.78957,10/7/2012 4:32:10.000000 PM,10/7/2012 4:05:00.187000 PM,1630
E, 1015,5322204,9894,N,0,4727,-122.39345,37.7939,10/7/2012 4:36:37.000000 PM,10/7/2012 4:10:00.159000 PM,1597
E, 1015,5322204,9894,N,0,7397,-122.394036,37.776252,10/7/2012 4:03:42.000000 PM,10/7/2012 4:00:00.165000 PM,222
E, 1015,5322204,9894,N,0,4530,-122.410287,37.808351,10/7/2012 4:57:18.000000 PM,10/7/2012 4:23:00.182000 PM,2058
E, 1015,5322204,9894,N,0,5184,-122.417366,37.807248,10/7/2012 5:00:31.000000 PM,10/7/2012 4:28:00.170000 PM,1951
E, 496,5322205,9890,N,0,7380,-122.388489,37.78957,10/7/2012 4:19:25.000000 PM,10/7/2012 4:20:00.364000 PM,-35
E, 496,5322205,9890,N,0,4727,-122.39345,37.7939,10/7/2012 4:23:41.000000 PM,10/7/2012 4:25:00.375000 PM,-79
E, 496,5322205,9890,N,0,7397,-122.394036,37.776252,10/7/2012 4:10:54.000000 PM,10/7/2012 4:15:00.381000 PM,-246
E, 496,5322205,9890,N,0,4530,-122.410287,37.808351,10/7/2012 4:42:47.000000 PM,10/7/2012 4:38:00.358000 PM,287
E, 496,5322205,9890,N,0,5184,-122.417366,37.807248,10/7/2012 4:51:23.000000 PM,10/7/2012 4:43:00.369000 PM,503
E, 1010,5322206,9891,N,0,7380,-122.388489,37.78957,10/7/2012 4:39:40.000000 PM,10/7/2012 4:35:00.930000 PM,280
E, 1010,5322206,9891,N,0,4727,-122.39345,37.7939,10/7/2012 4:44:22.000000 PM,10/7/2012 4:40:00.925000 PM,262
E, 1010,5322206,9891,N,0,7397,-122.394036,37.776252,10/7/2012 4:30:13.000000 PM,10/7/2012 4:30:00.913000 PM,13
E, 1010,5322206,9891,N,0,4530,-122.410287,37.808351,10/7/2012 5:01:32.000000 PM,10/7/2012 4:53:00.936000 PM,512
E, 1010,5322206,9891,N,0,5184,-122.417366,37.807248,10/7/2012 5:07:42.000000 PM,10/7/2012 4:58:00.919000 PM,582
E, 1006,5322207,9892,N,0,7397,-122.394036,37.776252,10/7/2012 4:58:43.000000 PM,10/7/2012 4:45:00.520000 PM,823
E, 1015,5322209,9894,N,0,7380,-122.388489,37.78957,10/7/2012 6:18:40.000000 PM,10/7/2012 5:20:00.417000 PM,3520
E, 1015,5322209,9894,N,0,4727,-122.39345,37.7939,10/7/2012 6:24:54.000000 PM,10/7/2012 5:25:00.424000 PM,3594
E, 1015,5322209,9894,N,0,7397,-122.394036,37.776252,10/7/2012 6:10:06.000000 PM,10/7/2012 5:15:00.420000 PM,3306
E, 1015,5322209,9894,N,0,4530,-122.410287,37.808351,10/7/2012 6:26:00.000000 PM,10/7/2012 5:37:00.412000 PM,2940
E, 1015,5322209,9894,N,0,5184,-122.417366,37.807248,10/7/2012 6:26:00.000000 PM,10/7/2012 5:42:00.427000 PM,2640
E, 1010,5322216,9891,N,0,7380,-122.388489,37.78957,10/7/2012 6:24:36.000000 PM,10/7/2012 5:50:00.150000 PM,2076
