PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
KT, 1501,5250690,9408,N,0,7353,-122.387445,37.748999,10/7/2012 10:27:35.000000 AM,10/7/2012 10:27:00.421000 AM,35
KT, 1501,5250690,9408,N,0,7355,-122.388558,37.760518,10/7/2012 10:31:48.000000 AM,10/7/2012 10:30:00.444000 AM,108
KT, 1501,5250690,9408,N,0,7402,-122.390836,37.734358,10/7/2012 10:21:43.000000 AM,10/7/2012 10:21:00.456000 AM,43
KT, 1501,5250690,9408,N,0,7166,-122.393864,37.776278,10/7/2012 10:45:36.000000 AM,10/7/2012 10:37:00.437000 AM,516
KT, 1501,5250690,9408,N,0,7347,-122.39561,37.722449,10/7/2012 10:14:42.000000 AM,10/7/2012 10:15:00.448000 AM,-18
KT, 1501,5250690,9408,N,0,7217,-122.396431,37.793152,10/7/2012 10:59:22.000000 AM,10/7/2012 10:47:00.446000 AM,742
KT, 1501,5250690,9408,N,0,7398,-122.405021,37.708997,10/7/2012 10:08:47.000000 AM,10/7/2012 10:09:00.463000 AM,-13
KT, 1501,5250690,9408,N,0,6996,-122.41934,37.775234,10/7/2012 11:05:10.000000 AM,10/7/2012 10:54:00.450000 AM,670
KT, 1501,5250690,9408,N,0,6991,-122.435289,37.762683,10/7/2012 11:08:20.000000 AM,10/7/2012 10:58:00.452000 AM,620
KT, 1501,5250690,9408,N,0,5418,-122.446651,37.720876,10/7/2012 11:34:55.000000 AM,10/7/2012 11:22:00.460000 AM,775
KT, 1501,5250690,9408,N,0,6739,-122.4658,37.740956,10/7/2012 11:17:50.000000 AM,10/7/2012 11:04:00.427000 AM,830
KT, 1501,5250690,9408,N,0,7058,-122.465846,37.740893,10/7/2012 11:17:52.000000 AM,10/7/2012 11:05:00.440000 AM,772
KT, 1501,5250690,9408,N,0,6503,-122.471618,37.734807,10/7/2012 11:22:07.000000 AM,10/7/2012 11:08:00.454000 AM,847
KT, 1413,5250691,9403,N,0,7353,-122.387445,37.748999,10/7/2012 10:44:31.000000 AM,10/7/2012 10:42:00.741000 AM,151
KT, 1413,5250691,9403,N,0,7355,-122.388558,37.760518,10/7/2012 10:47:50.000000 AM,10/7/2012 10:45:00.768000 AM,170
KT, 1413,5250691,9403,N,0,7402,-122.390836,37.734358,10/7/2012 10:38:27.000000 AM,10/7/2012 10:36:00.758000 AM,147
KT, 1413,5250691,9403,N,0,7166,-122.393864,37.776278,10/7/2012 10:56:27.000000 AM,10/7/2012 10:52:00.774000 AM,267
KT, 1413,5250691,9403,N,0,7347,-122.39561,37.722449,10/7/2012 10:32:12.000000 AM,10/7/2012 10:30:00.762000 AM,132
KT, 1413,5250691,9403,N,0,7217,-122.396431,37.793152,10/7/2012 11:10:13.000000 AM,10/7/2012 11:02:00.765000 AM,493
KT, 1413,5250691,9403,N,0,7398,-122.405021,37.708997,10/7/2012 10:26:27.000000 AM,10/7/2012 10:24:00.753000 AM,147
KT, 1413,5250691,9403,N,0,6996,-122.41934,37.775234,10/7/2012 11:18:18.000000 AM,10/7/2012 11:09:00.730000 AM,558
KT, 1413,5250691,9403,N,0,6991,-122.435289,37.762683,10/7/2012 11:21:34.000000 AM,10/7/2012 11:13:00.735000 AM,514
KT, 1413,5250691,9403,N,0,5418,-122.446651,37.720876,10/7/2012 11:44:45.000000 AM,10/7/2012 11:37:00.724000 AM,465
KT, 1529,5250692,9404,N,0,7353,-122.387445,37.748999,10/7/2012 11:01:15.000000 AM,10/7/2012 10:57:00.445000 AM,255
KT, 1529,5250692,9404,N,0,7355,-122.388558,37.760518,10/7/2012 11:04:03.000000 AM,10/7/2012 11:00:00.397000 AM,243
KT, 1529,5250692,9404,N,0,7402,-122.390836,37.734358,10/7/2012 10:56:06.000000 AM,10/7/2012 10:51:00.403000 AM,306
KT, 1529,5250692,9404,N,0,7166,-122.393864,37.776278,10/7/2012 11:15:36.000000 AM,10/7/2012 11:07:00.456000 AM,516
KT, 1529,5250692,9404,N,0,7347,-122.39561,37.722449,10/7/2012 10:48:26.000000 AM,10/7/2012 10:45:00.462000 AM,206
KT, 1529,5250692,9404,N,0,7217,-122.396431,37.793152,10/7/2012 11:31:41.000000 AM,10/7/2012 11:17:00.421000 AM,881
KT, 1529,5250692,9404,N,0,7398,-122.405021,37.708997,10/7/2012 10:43:28.000000 AM,10/7/2012 10:39:00.439000 AM,268
KT, 1529,5250692,9404,N,0,6996,-122.41934,37.775234,10/7/2012 11:41:18.000000 AM,10/7/2012 11:24:00.451000 AM,1038
KT, 1529,5250692,9404,N,0,6991,-122.435289,37.762683,10/7/2012 11:45:22.000000 AM,10/7/2012 11:28:00.410000 AM,1042
KT, 1529,5250692,9404,N,0,5418,-122.446651,37.720876,10/7/2012 12:10:57.000000 PM,10/7/2012 11:52:00.468000 AM,44337
KT, 1529,5250692,9404,N,0,6739,-122.4658,37.740956,10/7/2012 11:54:03.000000 AM,10/7/2012 11:34:00.415000 AM,1203
KT, 1529,5250692,9404,N,0,7058,-122.465846,37.740893,10/7/2012 11:54:05.000000 AM,10/7/2012 11:35:00.432000 AM,1145
KT, 1529,5250692,9404,N,0,6503,-122.471618,37.734807,10/7/2012 11:57:15.000000 AM,10/7/2012 11:38:00.474000 AM,1155
KT, 1504,5250693,9407,N,0,7353,-122.387445,37.748999,10/7/2012 11:13:58.000000 AM,10/7/2012 11:12:00.525000 AM,118
KT, 1504,5250693,9407,N,0,7355,-122.388558,37.760518,10/7/2012 11:18:01.000000 AM,10/7/2012 11:15:00.512000 AM,181
KT, 1504,5250693,9407,N,0,7402,-122.390836,37.734358,10/7/2012 11:06:53.000000 AM,10/7/2012 11:06:00.549000 AM,53
KT, 1504,5250693,9407,N,0,7166,-122.393864,37.776278,10/7/2012 11:27:21.000000 AM,10/7/2012 11:22:00.579000 AM,321
KT, 1504,5250693,9407,N,0,7347,-122.39561,37.722449,10/7/2012 11:00:36.000000 AM,10/7/2012 11:00:00.532000 AM,36
KT, 1504,5250693,9407,N,0,7217,-122.396431,37.793152,10/7/2012 11:39:46.000000 AM,10/7/2012 11:32:00.573000 AM,466
KT, 1504,5250693,9407,N,0,7398,-122.405021,37.708997,10/7/2012 10:54:21.000000 AM,10/7/2012 10:54:00.506000 AM,21
KT, 1504,5250693,9407,N,0,6996,-122.41934,37.775234,10/7/2012 11:49:15.000000 AM,10/7/2012 11:39:00.567000 AM,615
KT, 1504,5250693,9407,N,0,6991,-122.435289,37.762683,10/7/2012 11:52:47.000000 AM,10/7/2012 11:43:00.561000 AM,587
KT, 1504,5250693,9407,N,0,5418,-122.446651,37.720876,10/7/2012 12:20:11.000000 PM,10/7/2012 12:07:00.537000 PM,791
KT, 1504,5250693,9407,N,0,6739,-122.4658,37.740956,10/7/2012 12:01:51.000000 PM,10/7/2012 11:49:00.500000 AM,43971
KT, 1504,5250693,9407,N,0,7058,-122.465846,37.740893,10/7/2012 12:01:53.000000 PM,10/7/2012 11:50:00.555000 AM,43913
KT, 1504,5250693,9407,N,0,6503,-122.471618,37.734807,10/7/2012 12:05:47.000000 PM,10/7/2012 11:53:00.543000 AM,43967
KT, 1486,5250694,9410,N,0,7353,-122.387445,37.748999,10/7/2012 11:29:54.000000 AM,10/7/2012 11:27:00.850000 AM,174
KT, 1486,5250694,9410,N,0,7355,-122.388558,37.760518,10/7/2012 11:34:06.000000 AM,10/7/2012 11:30:00.879000 AM,246
KT, 1486,5250694,9410,N,0,7402,-122.390836,37.734358,10/7/2012 11:23:35.000000 AM,10/7/2012 11:21:00.826000 AM,155
KT, 1486,5250694,9410,N,0,7166,-122.393864,37.776278,10/7/2012 11:44:54.000000 AM,10/7/2012 11:37:00.872000 AM,474
KT, 1486,5250694,9410,N,0,7347,-122.39561,37.722449,10/7/2012 11:16:05.000000 AM,10/7/2012 11:15:00.885000 AM,65
KT, 1486,5250694,9410,N,0,7217,-122.396431,37.793152,10/7/2012 12:03:06.000000 PM,10/7/2012 11:47:00.834000 AM,44166
KT, 1486,5250694,9410,N,0,7398,-122.405021,37.708997,10/7/2012 11:09:24.000000 AM,10/7/2012 11:09:00.802000 AM,24
KT, 1486,5250694,9410,N,0,6996,-122.41934,37.775234,10/7/2012 12:09:41.000000 PM,10/7/2012 11:54:00.890000 AM,44141
KT, 1486,5250694,9410,N,0,6991,-122.435289,37.762683,10/7/2012 12:12:53.000000 PM,10/7/2012 11:58:00.842000 AM,44093
KT, 1486,5250694,9410,N,0,5418,-122.446651,37.720876,10/7/2012 12:38:07.000000 PM,10/7/2012 12:22:00.818000 PM,967
KT, 1486,5250694,9410,N,0,6739,-122.4658,37.740956,10/7/2012 12:20:34.000000 PM,10/7/2012 12:04:00.857000 PM,994
KT, 1486,5250694,9410,N,0,7058,-122.465846,37.740893,10/7/2012 12:20:36.000000 PM,10/7/2012 12:05:00.795000 PM,936
KT, 1486,5250694,9410,N,0,6503,-122.471618,37.734807,10/7/2012 12:24:09.000000 PM,10/7/2012 12:08:00.810000 PM,969
KT, 1421,5250695,9411,N,0,7353,-122.387445,37.748999,10/7/2012 11:42:52.000000 AM,10/7/2012 11:42:00.301000 AM,52
KT, 1421,5250695,9411,N,0,7355,-122.388558,37.760518,10/7/2012 11:46:55.000000 AM,10/7/2012 11:45:00.283000 AM,115
KT, 1421,5250695,9411,N,0,7402,-122.390836,37.734358,10/7/2012 11:36:30.000000 AM,10/7/2012 11:36:00.338000 AM,30
KT, 1421,5250695,9411,N,0,7166,-122.393864,37.776278,10/7/2012 11:54:30.000000 AM,10/7/2012 11:52:00.326000 AM,150
KT, 1421,5250695,9411,N,0,7347,-122.39561,37.722449,10/7/2012 11:30:55.000000 AM,10/7/2012 11:30:00.323000 AM,55
KT, 1421,5250695,9411,N,0,7217,-122.396431,37.793152,10/7/2012 12:07:11.000000 PM,10/7/2012 12:02:00.317000 PM,311
KT, 1421,5250695,9411,N,0,7398,-122.405021,37.708997,10/7/2012 11:23:11.000000 AM,10/7/2012 11:24:00.296000 AM,-49
KT, 1421,5250695,9411,N,0,6996,-122.41934,37.775234,10/7/2012 12:14:28.000000 PM,10/7/2012 12:09:00.336000 PM,328
KT, 1421,5250695,9411,N,0,6991,-122.435289,37.762683,10/7/2012 12:17:51.000000 PM,10/7/2012 12:13:00.311000 PM,291
KT, 1421,5250695,9411,N,0,5418,-122.446651,37.720876,10/7/2012 12:39:39.000000 PM,10/7/2012 12:37:00.333000 PM,159
KT, 1421,5250695,9411,N,0,6739,-122.4658,37.740956,10/7/2012 12:25:18.000000 PM,10/7/2012 12:19:00.305000 PM,378
KT, 1421,5250695,9411,N,0,7058,-122.465846,37.740893,10/7/2012 12:25:20.000000 PM,10/7/2012 12:20:00.276000 PM,320
KT, 1421,5250695,9411,N,0,6503,-122.471618,37.734807,10/7/2012 12:27:59.000000 PM,10/7/2012 12:23:00.290000 PM,299
KT, 1406,5250696,9412,N,0,7353,-122.387445,37.748999,10/7/2012 11:56:46.000000 AM,10/7/2012 11:57:00.687000 AM,-14
KT, 1406,5250696,9412,N,0,7355,-122.388558,37.760518,10/7/2012 12:00:09.000000 PM,10/7/2012 12:00:00.718000 PM,9
KT, 1406,5250696,9412,N,0,7402,-122.390836,37.734358,10/7/2012 11:51:28.000000 AM,10/7/2012 11:51:00.742000 AM,28
KT, 1406,5250696,9412,N,0,7166,-122.393864,37.776278,10/7/2012 12:08:46.000000 PM,10/7/2012 12:07:00.694000 PM,106
KT, 1406,5250696,9412,N,0,7347,-122.39561,37.722449,10/7/2012 11:43:52.000000 AM,10/7/2012 11:45:00.674000 AM,-68
KT, 1406,5250696,9412,N,0,7217,-122.396431,37.793152,10/7/2012 12:20:23.000000 PM,10/7/2012 12:17:00.706000 PM,203
KT, 1406,5250696,9412,N,0,7398,-122.405021,37.708997,10/7/2012 11:37:21.000000 AM,10/7/2012 11:39:00.725000 AM,-99
KT, 1406,5250696,9412,N,0,6996,-122.41934,37.775234,10/7/2012 12:26:51.000000 PM,10/7/2012 12:24:00.730000 PM,171
KT, 1406,5250696,9412,N,0,6991,-122.435289,37.762683,10/7/2012 12:30:13.000000 PM,10/7/2012 12:28:00.712000 PM,133
KT, 1406,5250696,9412,N,0,5418,-122.446651,37.720876,10/7/2012 12:52:53.000000 PM,10/7/2012 12:52:00.700000 PM,53
KT, 1406,5250696,9412,N,0,6739,-122.4658,37.740956,10/7/2012 12:38:18.000000 PM,10/7/2012 12:34:00.661000 PM,258
KT, 1406,5250696,9412,N,0,7058,-122.465846,37.740893,10/7/2012 12:38:21.000000 PM,10/7/2012 12:35:00.736000 PM,201
KT, 1406,5250696,9412,N,0,6503,-122.471618,37.734807,10/7/2012 12:40:50.000000 PM,10/7/2012 12:38:00.667000 PM,170
KT, 1447,5250697,9405,N,0,7353,-122.387445,37.748999,10/7/2012 12:26:13.000000 PM,10/7/2012 12:12:00.176000 PM,853
KT, 1447,5250697,9405,N,0,7355,-122.388558,37.760518,10/7/2012 12:29:44.000000 PM,10/7/2012 12:15:00.133000 PM,884
KT, 1447,5250697,9405,N,0,7402,-122.390836,37.734358,10/7/2012 12:20:26.000000 PM,10/7/2012 12:06:00.170000 PM,866
KT, 1447,5250697,9405,N,0,7166,-122.393864,37.776278,10/7/2012 12:39:54.000000 PM,10/7/2012 12:22:00.160000 PM,1074
KT, 1447,5250697,9405,N,0,7347,-122.39561,37.722449,10/7/2012 12:13:46.000000 PM,10/7/2012 12:00:00.149000 PM,826
KT, 1447,5250697,9405,N,0,7217,-122.396431,37.793152,10/7/2012 12:52:53.000000 PM,10/7/2012 12:32:00.139000 PM,1253
KT, 1447,5250697,9405,N,0,7398,-122.405021,37.708997,10/7/2012 12:04:46.000000 PM,10/7/2012 11:54:00.127000 AM,43846
KT, 1447,5250697,9405,N,0,6996,-122.41934,37.775234,10/7/2012 12:59:13.000000 PM,10/7/2012 12:39:00.144000 PM,1213
KT, 1447,5250697,9405,N,0,6991,-122.435289,37.762683,10/7/2012 1:02:45.000000 PM,10/7/2012 12:43:00.116000 PM,-42015
KT, 1447,5250697,9405,N,0,5418,-122.446651,37.720876,10/7/2012 1:31:15.000000 PM,10/7/2012 1:08:00.181000 PM,1395
KT, 1447,5250697,9405,N,0,6739,-122.4658,37.740956,10/7/2012 1:12:37.000000 PM,10/7/2012 12:50:00.155000 PM,-41843
KT, 1447,5250697,9405,N,0,7058,-122.465846,37.740893,10/7/2012 1:12:39.000000 PM,10/7/2012 12:51:00.122000 PM,-41901
KT, 1447,5250697,9405,N,0,6503,-122.471618,37.734807,10/7/2012 1:16:08.000000 PM,10/7/2012 12:54:00.186000 PM,-41872
KT, 1443,5250699,9402,N,0,7353,-122.387445,37.748999,10/7/2012 12:58:04.000000 PM,10/7/2012 12:42:00.366000 PM,964
KT, 1443,5250699,9402,N,0,7355,-122.388558,37.760518,10/7/2012 1:01:50.000000 PM,10/7/2012 12:45:00.279000 PM,-42190
KT, 1443,5250699,9402,N,0,7402,-122.390836,37.734358,10/7/2012 12:47:54.000000 PM,10/7/2012 12:36:00.287000 PM,714
KT, 1443,5250699,9402,N,0,7166,-122.393864,37.776278,10/7/2012 1:13:06.000000 PM,10/7/2012 12:52:00.321000 PM,-41934
KT, 1443,5250699,9402,N,0,7347,-122.39561,37.722449,10/7/2012 12:38:07.000000 PM,10/7/2012 12:30:00.335000 PM,487
KT, 1443,5250699,9402,N,0,7217,-122.396431,37.793152,10/7/2012 1:31:37.000000 PM,10/7/2012 1:02:00.303000 PM,1777
KT, 1443,5250699,9402,N,0,7398,-122.405021,37.708997,10/7/2012 12:31:07.000000 PM,10/7/2012 12:24:00.342000 PM,427
KT, 1443,5250699,9402,N,0,6996,-122.41934,37.775234,10/7/2012 1:38:06.000000 PM,10/7/2012 1:09:00.347000 PM,1746
KT, 1443,5250699,9402,N,0,6991,-122.435289,37.762683,10/7/2012 1:41:13.000000 PM,10/7/2012 1:13:00.295000 PM,1693
KT, 1443,5250699,9402,N,0,6739,-122.4658,37.740956,10/7/2012 1:50:22.000000 PM,10/7/2012 1:20:00.353000 PM,1822
KT, 1443,5250699,9402,N,0,7058,-122.465846,37.740893,10/7/2012 1:50:24.000000 PM,10/7/2012 1:21:00.329000 PM,1764
KT, 1492,5250700,9401,N,0,7353,-122.387445,37.748999,10/7/2012 12:59:32.000000 PM,10/7/2012 12:57:00.486000 PM,152
KT, 1492,5250700,9401,N,0,7355,-122.388558,37.760518,10/7/2012 1:03:14.000000 PM,10/7/2012 1:00:00.527000 PM,194
KT, 1492,5250700,9401,N,0,7402,-122.390836,37.734358,10/7/2012 12:50:02.000000 PM,10/7/2012 12:51:00.522000 PM,-58
KT, 1492,5250700,9401,N,0,7166,-122.393864,37.776278,10/7/2012 1:15:37.000000 PM,10/7/2012 1:07:00.474000 PM,517
KT, 1492,5250700,9401,N,0,7347,-122.39561,37.722449,10/7/2012 12:44:50.000000 PM,10/7/2012 12:45:00.539000 PM,-10
KT, 1492,5250700,9401,N,0,7217,-122.396431,37.793152,10/7/2012 1:34:51.000000 PM,10/7/2012 1:17:00.533000 PM,1071
KT, 1492,5250700,9401,N,0,7398,-122.405021,37.708997,10/7/2012 12:37:31.000000 PM,10/7/2012 12:39:00.469000 PM,-89
KT, 1492,5250700,9401,N,0,6996,-122.41934,37.775234,10/7/2012 1:41:04.000000 PM,10/7/2012 1:24:00.480000 PM,1024
KT, 1492,5250700,9401,N,0,6991,-122.435289,37.762683,10/7/2012 1:44:24.000000 PM,10/7/2012 1:28:00.545000 PM,984
KT, 1492,5250700,9401,N,0,5418,-122.446651,37.720876,10/7/2012 2:15:46.000000 PM,10/7/2012 1:53:00.510000 PM,1366
KT, 1492,5250700,9401,N,0,6739,-122.4658,37.740956,10/7/2012 1:54:15.000000 PM,10/7/2012 1:35:00.515000 PM,1155
KT, 1492,5250700,9401,N,0,7058,-122.465846,37.740893,10/7/2012 1:54:15.000000 PM,10/7/2012 1:36:00.492000 PM,1095
KT, 1492,5250700,9401,N,0,6503,-122.471618,37.734807,10/7/2012 1:59:18.000000 PM,10/7/2012 1:39:00.498000 PM,1218
KT, 1507,5250701,9406,N,0,7353,-122.387445,37.748999,10/7/2012 1:16:55.000000 PM,10/7/2012 1:12:00.144000 PM,295
KT, 1507,5250701,9406,N,0,7355,-122.388558,37.760518,10/7/2012 1:21:20.000000 PM,10/7/2012 1:15:00.186000 PM,380
KT, 1507,5250701,9406,N,0,7402,-122.390836,37.734358,10/7/2012 1:10:01.000000 PM,10/7/2012 1:06:00.175000 PM,241
KT, 1507,5250701,9406,N,0,7166,-122.393864,37.776278,10/7/2012 1:33:52.000000 PM,10/7/2012 1:22:00.163000 PM,712
KT, 1507,5250701,9406,N,0,7217,-122.396431,37.793152,10/7/2012 1:45:32.000000 PM,10/7/2012 1:32:00.204000 PM,812
KT, 1507,5250701,9406,N,0,7398,-122.405021,37.708997,10/7/2012 12:54:45.000000 PM,10/7/2012 12:54:00.124000 PM,45
KT, 1507,5250701,9406,N,0,6996,-122.41934,37.775234,10/7/2012 1:52:13.000000 PM,10/7/2012 1:39:00.157000 PM,793
KT, 1507,5250701,9406,N,0,6991,-122.435289,37.762683,10/7/2012 1:55:35.000000 PM,10/7/2012 1:43:00.137000 PM,755
KT, 1507,5250701,9406,N,0,5418,-122.446651,37.720876,10/7/2012 2:18:28.000000 PM,10/7/2012 2:08:00.131000 PM,628
KT, 1507,5250701,9406,N,0,6739,-122.4658,37.740956,10/7/2012 2:03:18.000000 PM,10/7/2012 1:50:00.181000 PM,798
KT, 1507,5250701,9406,N,0,7058,-122.465846,37.740893,10/7/2012 2:03:20.000000 PM,10/7/2012 1:51:00.150000 PM,740
KT, 1507,5250701,9406,N,0,6503,-122.471618,37.734807,10/7/2012 2:05:49.000000 PM,10/7/2012 1:54:00.199000 PM,709
KT, 1501,5250702,9408,N,0,7353,-122.387445,37.748999,10/7/2012 1:27:21.000000 PM,10/7/2012 1:27:00.436000 PM,21
KT, 1501,5250702,9408,N,0,7355,-122.388558,37.760518,10/7/2012 1:32:12.000000 PM,10/7/2012 1:30:00.442000 PM,132
KT, 1501,5250702,9408,N,0,7402,-122.390836,37.734358,10/7/2012 1:21:57.000000 PM,10/7/2012 1:21:00.430000 PM,57
KT, 1501,5250702,9408,N,0,7166,-122.393864,37.776278,10/7/2012 1:39:18.000000 PM,10/7/2012 1:37:00.463000 PM,138
KT, 1501,5250702,9408,N,0,7347,-122.39561,37.722449,10/7/2012 1:17:12.000000 PM,10/7/2012 1:15:00.418000 PM,132
KT, 1501,5250702,9408,N,0,7217,-122.396431,37.793152,10/7/2012 1:50:11.000000 PM,10/7/2012 1:47:00.413000 PM,191
KT, 1501,5250702,9408,N,0,7398,-122.405021,37.708997,10/7/2012 1:10:51.000000 PM,10/7/2012 1:09:00.402000 PM,111
KT, 1501,5250702,9408,N,0,6996,-122.41934,37.775234,10/7/2012 1:56:17.000000 PM,10/7/2012 1:54:00.468000 PM,137
KT, 1501,5250702,9408,N,0,6991,-122.435289,37.762683,10/7/2012 1:59:28.000000 PM,10/7/2012 1:58:00.456000 PM,88
KT, 1501,5250702,9408,N,0,5418,-122.446651,37.720876,10/7/2012 2:22:12.000000 PM,10/7/2012 2:23:00.408000 PM,-48
KT, 1501,5250702,9408,N,0,6739,-122.4658,37.740956,10/7/2012 2:06:50.000000 PM,10/7/2012 2:05:00.448000 PM,110
KT, 1501,5250702,9408,N,0,7058,-122.465846,37.740893,10/7/2012 2:06:50.000000 PM,10/7/2012 2:06:00.390000 PM,50
KT, 1501,5250702,9408,N,0,6503,-122.471618,37.734807,10/7/2012 2:10:13.000000 PM,10/7/2012 2:09:00.397000 PM,73
KT, 1413,5250703,9403,N,0,7353,-122.387445,37.748999,10/7/2012 1:42:41.000000 PM,10/7/2012 1:42:00.456000 PM,41
KT, 1413,5250703,9403,N,0,7355,-122.388558,37.760518,10/7/2012 1:46:40.000000 PM,10/7/2012 1:45:00.436000 PM,100
KT, 1413,5250703,9403,N,0,7402,-122.390836,37.734358,10/7/2012 1:36:55.000000 PM,10/7/2012 1:36:00.413000 PM,55
KT, 1413,5250703,9403,N,0,7166,-122.393864,37.776278,10/7/2012 1:53:43.000000 PM,10/7/2012 1:52:00.442000 PM,103
KT, 1413,5250703,9403,N,0,7347,-122.39561,37.722449,10/7/2012 1:31:25.000000 PM,10/7/2012 1:30:00.391000 PM,85
KT, 1413,5250703,9403,N,0,7217,-122.396431,37.793152,10/7/2012 2:06:15.000000 PM,10/7/2012 2:02:00.447000 PM,255
