PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
M OWL, 8111,5247860,205,N,0,5696,-122.419183,37.775243,10/7/2012 6:36:47.000000 AM,10/7/2012 6:40:00.010000 AM,-193
M OWL, 8305,5247860,205,N,0,4898,-122.446761,37.720702,10/7/2012 7:23:12.000000 AM,10/7/2012 7:11:00.004000 AM,732
M OWL, 8305,5247860,205,N,0,6503,-122.471618,37.734807,10/7/2012 7:10:21.000000 AM,10/7/2012 6:59:00.016000 AM,681
M OWL, 8131,5247865,,N,0,6497,-122.393232,37.793347,10/7/2012 6:47:49.000000 AM,10/7/2012 6:48:00.394000 AM,-11
M OWL, 8131,5247865,,N,0,5696,-122.419183,37.775243,10/7/2012 7:00:03.000000 AM,10/7/2012 7:00:00.383000 AM,3
M OWL, 8131,5247865,,N,0,4898,-122.446761,37.720702,10/7/2012 7:36:52.000000 AM,10/7/2012 7:31:00.370000 AM,352
M OWL, 8131,5247865,,N,0,6739,-122.4658,37.740956,10/7/2012 7:23:49.000000 AM,10/7/2012 7:16:00.401000 AM,469
M OWL, 8131,5247865,,N,0,6503,-122.471618,37.734807,10/7/2012 7:26:19.000000 AM,10/7/2012 7:19:00.389000 AM,439
M OWL, 8507,5247869,3601,N,0,6497,-122.393232,37.793347,10/7/2012 7:15:55.000000 AM,10/7/2012 7:08:00.888000 AM,475
M OWL, 8507,5247869,3601,N,0,5696,-122.419183,37.775243,10/7/2012 7:29:33.000000 AM,10/7/2012 7:20:00.904000 AM,573
M OWL, 8530,5247877,3902,N,0,6497,-122.393232,37.793347,10/7/2012 8:05:06.000000 AM,10/7/2012 7:48:00.477000 AM,1026
M OWL, 8530,5247877,3902,N,0,5696,-122.419183,37.775243,10/7/2012 8:17:56.000000 AM,10/7/2012 8:00:00.511000 AM,1076
M OWL, 8137,5247905,9486,N,0,6497,-122.393232,37.793347,10/7/2012 6:29:40.000000 AM,10/7/2012 6:29:00.082000 AM,40
M OWL, 8179,5247905,9486,N,0,6744,-122.466006,37.74092,10/7/2012 5:57:18.000000 AM,10/7/2012 6:01:00.089000 AM,-222
M OWL, 8507,5247910,,N,0,6497,-122.393232,37.793347,10/7/2012 7:15:55.000000 AM,10/7/2012 6:59:00.416000 AM,1015
M OWL, 8507,5247910,,N,0,5692,-122.419321,37.775056,10/7/2012 7:03:10.000000 AM,10/7/2012 6:49:00.427000 AM,850
M OWL, 8530,5247918,3902,N,0,6497,-122.393232,37.793347,10/7/2012 8:01:23.000000 AM,10/7/2012 7:44:00.398000 AM,1043
M OWL, 8530,5247918,3902,N,0,5692,-122.419321,37.775056,10/7/2012 7:49:14.000000 AM,10/7/2012 7:34:00.420000 AM,914
M OWL, 8305,5247922,205,N,0,4898,-122.446761,37.720702,10/7/2012 7:24:40.000000 AM,10/7/2012 7:20:00.181000 AM,280
