PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
N OWL, 8175,5247879,9793,N,0,4726,-122.393874,37.794105,10/7/2012 4:42:27.000000 AM,10/7/2012 4:33:01.132000 AM,566
N OWL, 8175,5247879,9793,N,0,3164,-122.394895,37.776894,10/7/2012 4:31:29.000000 AM,10/7/2012 4:25:01.117000 AM,388
N OWL, 8175,5247879,9793,N,0,5696,-122.419183,37.775243,10/7/2012 4:55:13.000000 AM,10/7/2012 4:45:01.097000 AM,612
N OWL, 8175,5247879,9793,N,0,7074,-122.42903,37.76932,10/7/2012 5:01:34.000000 AM,10/7/2012 4:50:01.105000 AM,693
N OWL, 8175,5247879,9793,N,0,4952,-122.43076,37.77214,10/7/2012 5:02:46.000000 AM,10/7/2012 4:51:01.091000 AM,705
N OWL, 8175,5247879,9793,N,0,5199,-122.476825,37.76174,10/7/2012 5:17:08.000000 AM,10/7/2012 5:04:01.124000 AM,787
N OWL, 8175,5247879,9793,N,0,5223,-122.508777,37.76017,10/7/2012 5:25:57.000000 AM,10/7/2012 5:12:01.111000 AM,836
N OWL, 8188,5247881,9791,N,0,4726,-122.393874,37.794105,10/7/2012 4:05:11.000000 AM,10/7/2012 4:03:01.234000 AM,130
N OWL, 8188,5247881,9791,N,0,3164,-122.394895,37.776894,10/7/2012 3:59:18.000000 AM,10/7/2012 3:55:01.227000 AM,257
N OWL, 8188,5247881,9791,N,0,5696,-122.419183,37.775243,10/7/2012 4:16:13.000000 AM,10/7/2012 4:15:01.240000 AM,72
N OWL, 8188,5247881,9791,N,0,7074,-122.42903,37.76932,10/7/2012 4:24:04.000000 AM,10/7/2012 4:20:01.246000 AM,243
N OWL, 8188,5247881,9791,N,0,4952,-122.43076,37.77214,10/7/2012 4:25:45.000000 AM,10/7/2012 4:21:01.259000 AM,284
N OWL, 8188,5247881,9791,N,0,5199,-122.476825,37.76174,10/7/2012 4:39:05.000000 AM,10/7/2012 4:34:01.264000 AM,304
N OWL, 8188,5247881,9791,N,0,5223,-122.508777,37.76017,10/7/2012 4:46:01.000000 AM,10/7/2012 4:42:01.253000 AM,240
N OWL, 8158,5247883,9794,N,0,4726,-122.393874,37.794105,10/7/2012 3:35:22.000000 AM,10/7/2012 3:33:01.123000 AM,141
N OWL, 8158,5247883,9794,N,0,3164,-122.394895,37.776894,10/7/2012 3:27:26.000000 AM,10/7/2012 3:25:01.135000 AM,145
N OWL, 8158,5247883,9794,N,0,5696,-122.419183,37.775243,10/7/2012 3:47:01.000000 AM,10/7/2012 3:45:01.142000 AM,120
N OWL, 8158,5247883,9794,N,0,7074,-122.42903,37.76932,10/7/2012 3:53:07.000000 AM,10/7/2012 3:50:01.130000 AM,186
