PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME,SCHEDULED_ARRIVAL_TIME,dTIME
T OWL, 8137,5247856,1102,N,0,3103,-122.38846,37.76079,10/7/2012 5:43:06.000000 AM,10/7/2012 5:46:00.829000 AM,-174
T OWL, 8137,5247856,1102,N,0,4726,-122.393874,37.794105,10/7/2012 5:54:42.000000 AM,10/7/2012 6:02:00.818000 AM,-438
T OWL, 8137,5247856,1102,N,0,7179,-122.405067,37.708837,10/7/2012 5:17:05.000000 AM,10/7/2012 5:27:00.846000 AM,-595
T OWL, 8510,5247856,1102,Y,2,5696,-122.419183,37.775243,10/7/2012 6:14:32.000000 AM,10/7/2012 6:14:00.835000 AM,32
T OWL, 8137,5247856,1102,Y,1,5696,-122.419183,37.775243,10/7/2012 6:07:17.000000 AM,10/7/2012 6:14:00.835000 AM,-403
T OWL, 8126,5247861,5202,N,0,3103,-122.38846,37.76079,10/7/2012 6:08:53.000000 AM,10/7/2012 6:06:00.488000 AM,173
T OWL, 8126,5247861,5202,N,0,4726,-122.393874,37.794105,10/7/2012 6:22:03.000000 AM,10/7/2012 6:22:00.482000 AM,3
T OWL, 8126,5247861,5202,N,0,7179,-122.405067,37.708837,10/7/2012 5:34:07.000000 AM,10/7/2012 5:47:00.511000 AM,-773
T OWL, 8126,5247861,5202,N,0,5696,-122.419183,37.775243,10/7/2012 6:35:09.000000 AM,10/7/2012 6:34:00.494000 AM,69
T OWL, 8165,5247864,2705,N,0,3103,-122.38846,37.76079,10/7/2012 6:24:29.000000 AM,10/7/2012 6:26:00.218000 AM,-91
T OWL, 8165,5247864,2705,N,0,4726,-122.393874,37.794105,10/7/2012 6:40:43.000000 AM,10/7/2012 6:42:00.224000 AM,-77
T OWL, 8165,5247864,2705,N,0,7179,-122.405067,37.708837,10/7/2012 6:02:13.000000 AM,10/7/2012 6:07:00.206000 AM,-287
T OWL, 8165,5247864,2705,N,0,5696,-122.419183,37.775243,10/7/2012 6:53:16.000000 AM,10/7/2012 6:54:00.194000 AM,-44
T OWL, 8438,5247867,9483,N,0,3103,-122.38846,37.76079,10/7/2012 6:45:44.000000 AM,10/7/2012 6:46:00.071000 AM,-16
T OWL, 8438,5247867,9483,Y,2,4726,-122.393874,37.794105,10/7/2012 7:00:20.000000 AM,10/7/2012 7:02:00.086000 AM,-100
T OWL, 8144,5247867,9483,Y,1,4726,-122.393874,37.794105,10/7/2012 7:40:32.000000 AM,10/7/2012 7:02:00.086000 AM,2312
T OWL, 8438,5247867,9483,N,0,7179,-122.405067,37.708837,10/7/2012 6:20:35.000000 AM,10/7/2012 6:27:00.108000 AM,-385
T OWL, 8438,5247867,9483,Y,2,5696,-122.419183,37.775243,10/7/2012 7:14:25.000000 AM,10/7/2012 7:14:00.101000 AM,25
T OWL, 8144,5247867,9483,Y,1,5696,-122.419183,37.775243,10/7/2012 7:51:20.000000 AM,10/7/2012 7:14:00.101000 AM,2240
T OWL, 8199,5247873,9484,N,0,3103,-122.38846,37.76079,10/7/2012 7:05:23.000000 AM,10/7/2012 7:06:00.986000 AM,-37
T OWL, 8199,5247873,9484,N,0,4726,-122.393874,37.794105,10/7/2012 7:17:24.000000 AM,10/7/2012 7:22:00.965000 AM,-276
T OWL, 8199,5247873,9484,N,0,5696,-122.419183,37.775243,10/7/2012 7:31:03.000000 AM,10/7/2012 7:34:00.974000 AM,-177
T OWL, 8137,5247876,1102,N,0,3103,-122.38846,37.76079,10/7/2012 7:23:25.000000 AM,10/7/2012 7:26:00.458000 AM,-155
T OWL, 8137,5247876,1102,N,0,4726,-122.393874,37.794105,10/7/2012 7:37:53.000000 AM,10/7/2012 7:42:00.445000 AM,-247
T OWL, 8137,5247876,1102,N,0,7179,-122.405067,37.708837,10/7/2012 7:03:51.000000 AM,10/7/2012 7:07:00.439000 AM,-189
T OWL, 8137,5247876,1102,N,0,5696,-122.419183,37.775243,10/7/2012 7:51:16.000000 AM,10/7/2012 7:54:00.469000 AM,-164
T OWL, 8137,5247895,1102,N,0,7179,-122.405067,37.708837,10/7/2012 5:17:05.000000 AM,10/7/2012 5:23:00.324000 AM,-355
T OWL, 8126,5247896,5202,N,0,7179,-122.405067,37.708837,10/7/2012 5:34:07.000000 AM,10/7/2012 5:43:00.283000 AM,-533
T OWL, 8165,5247897,2705,N,0,6498,-122.393324,37.79324,10/7/2012 5:30:56.000000 AM,10/7/2012 5:29:00.150000 AM,116
T OWL, 8165,5247897,2705,N,0,7179,-122.405067,37.708837,10/7/2012 6:01:53.000000 AM,10/7/2012 6:03:00.175000 AM,-67
T OWL, 8438,5247900,9483,N,0,6498,-122.393324,37.79324,10/7/2012 5:53:32.000000 AM,10/7/2012 5:49:00.548000 AM,272
T OWL, 8438,5247900,9483,N,0,7179,-122.405067,37.708837,10/7/2012 6:20:38.000000 AM,10/7/2012 6:23:00.563000 AM,-142
T OWL, 8420,5247903,2904,N,0,6498,-122.393324,37.79324,10/7/2012 6:13:44.000000 AM,10/7/2012 6:09:00.537000 AM,284
T OWL, 8420,5247903,2904,N,0,7179,-122.405067,37.708837,10/7/2012 6:34:14.000000 AM,10/7/2012 6:43:00.516000 AM,-526
T OWL, 8420,5247903,2904,N,0,5692,-122.419321,37.775056,10/7/2012 6:01:42.000000 AM,10/7/2012 5:59:00.522000 AM,162
T OWL, 8137,5247906,1102,N,0,7179,-122.405067,37.708837,10/7/2012 7:03:14.000000 AM,10/7/2012 7:03:00.947000 AM,14
T OWL, 8126,5247911,5202,N,0,6498,-122.393324,37.79324,10/7/2012 6:50:16.000000 AM,10/7/2012 6:49:00.273000 AM,76
T OWL, 8126,5247911,5202,N,0,7179,-122.405067,37.708837,10/7/2012 7:15:57.000000 AM,10/7/2012 7:23:00.280000 AM,-423
T OWL, 8126,5247911,5202,N,0,5692,-122.419321,37.775056,10/7/2012 6:38:05.000000 AM,10/7/2012 6:39:00.254000 AM,-55
