route,trip,longitude,latitude,scheduled_time,d_time
K OWL, 8212,-122.419183,37.775243,19800,407
K OWL, 8212,-122.393232,37.793347,22680,1547
K OWL, 8212,-122.419183,37.775243,23400,2364
K OWL, 8525,-122.419183,37.775243,24600,97
K OWL, 8502,-122.419183,37.775243,25800,93
K OWL, 8522,-122.419183,37.775243,27000,189
K OWL, 8179,-122.393232,37.793347,27480,962
K OWL, 8527,-122.4658,37.740956,29160,1250
K OWL, 8527,-122.471618,37.734807,29340,1263
K OWL, 8421,-122.446761,37.720702,17761,1364
K OWL, 8421,-122.4658,37.740956,17161,1258
K OWL, 8421,-122.471618,37.734807,17341,1267
K OWL, 8212,-122.393232,37.793347,22440,1848
K OWL, 8212,-122.419321,37.775056,21840,1740
K OWL, 8131,-122.393232,37.793347,24240,162
K OWL, 8179,-122.393232,37.793347,27240,1196
K OWL, 8179,-122.419321,37.775056,26640,848
K OWL, 8111,-122.393232,37.793347,28440,41
K OWL, 8421,-122.393232,37.793347,4201,175
K OWL, 8421,-122.419321,37.775056,3601,98
K OWL, 8421,-122.435449,37.76246,46381,66
K OWL, 8421,-122.466006,37.74092,45721,52
