route,trip,longitude,latitude,scheduled_time,d_time
L OWL, 8420,-122.504351,37.736125,17760,8
L OWL, 8447,-122.393232,37.793347,17281,-84
L OWL, 8447,-122.419183,37.775243,18001,-121
L OWL, 8423,-122.393232,37.793347,13681,2702
L OWL, 8423,-122.419183,37.775243,14401,2875
L OWL, 8447,-122.393232,37.793347,11881,-173
L OWL, 8447,-122.419183,37.775243,12601,-57
L OWL, 8447,-122.43538,37.76262,12961,-80
L OWL, 8447,-122.4658,37.740956,13561,-32
L OWL, 8447,-122.504351,37.736125,14161,48
L OWL, 8421,-122.393232,37.793347,10081,-7
L OWL, 8421,-122.419183,37.775243,10801,90
L OWL, 8421,-122.43538,37.76262,11161,188
L OWL, 8421,-122.4658,37.740956,11761,417
L OWL, 8421,-122.504351,37.736125,12361,491
L OWL, 8423,-122.393232,37.793347,8281,687
L OWL, 8423,-122.419183,37.775243,9001,953
L OWL, 8423,-122.43538,37.76262,9361,1164
L OWL, 8423,-122.4658,37.740956,9961,1585
L OWL, 8423,-122.504351,37.736125,10561,1812
L OWL, 8447,-122.393232,37.793347,6481,-83
L OWL, 8447,-122.419183,37.775243,7201,-134
L OWL, 8447,-122.43538,37.76262,7561,-83
L OWL, 8447,-122.4658,37.740956,8161,103
L OWL, 8447,-122.504351,37.736125,8761,290
L OWL, 8421,-122.393232,37.793347,4681,-14
L OWL, 8421,-122.419183,37.775243,5401,3
L OWL, 8421,-122.43538,37.76262,5761,128
L OWL, 8421,-122.4658,37.740956,6361,399
L OWL, 8421,-122.504351,37.736125,6961,502
L OWL, 8423,-122.4658,37.740956,4921,-104
L OWL, 8423,-122.4658,37.740956,4921,438
L OWL, 8423,-122.504351,37.736125,5521,508
L OWL, 8420,-122.393232,37.793347,20400,557
L OWL, 8420,-122.419321,37.775056,19800,477
L OWL, 8420,-122.466006,37.74092,18720,272
L OWL, 8420,-122.504351,37.736125,18120,74
L OWL, 8423,-122.419321,37.775056,18001,1283
L OWL, 8447,-122.393232,37.793347,16801,35
L OWL, 8447,-122.419321,37.775056,16201,2875
L OWL, 8447,-122.419321,37.775056,16201,-53
L OWL, 8447,-122.435449,37.76246,15781,-114
L OWL, 8447,-122.466006,37.74092,15121,43
L OWL, 8447,-122.504351,37.736125,14521,-113
L OWL, 8421,-122.466006,37.74092,13321,2451
L OWL, 8421,-122.504351,37.736125,12721,508
L OWL, 8423,-122.393232,37.793347,13201,3168
L OWL, 8423,-122.419321,37.775056,12601,3023
L OWL, 8423,-122.435449,37.76246,12181,2932
L OWL, 8423,-122.466006,37.74092,11521,2922
L OWL, 8447,-122.393232,37.793347,11401,37
L OWL, 8447,-122.419321,37.775056,10801,-39
L OWL, 8447,-122.435449,37.76246,10381,-197
L OWL, 8447,-122.466006,37.74092,9721,-83
L OWL, 8447,-122.504351,37.736125,9121,-103
L OWL, 8421,-122.393232,37.793347,9601,470
L OWL, 8421,-122.419321,37.775056,9001,374
L OWL, 8421,-122.435449,37.76246,8581,247
L OWL, 8421,-122.466006,37.74092,7921,399
L OWL, 8421,-122.504351,37.736125,7321,406
L OWL, 8423,-122.393232,37.793347,7801,1179
L OWL, 8423,-122.419321,37.775056,7201,1012
L OWL, 8423,-122.435449,37.76246,6781,791
L OWL, 8423,-122.466006,37.74092,6121,662
L OWL, 8423,-122.504351,37.736125,5521,534
L OWL, 8447,-122.393232,37.793347,6001,103
L OWL, 8447,-122.419321,37.775056,5401,22
L OWL, 8447,-122.435449,37.76246,4981,-80
L OWL, 8447,-122.466006,37.74092,4321,-83
L OWL, 8447,-122.504351,37.736125,3721,42997
