route,trip,longitude,latitude,scheduled_time,d_time
M OWL, 8111,-122.419183,37.775243,24000,-193
M OWL, 8305,-122.446761,37.720702,25860,732
M OWL, 8305,-122.471618,37.734807,25140,681
M OWL, 8131,-122.393232,37.793347,24480,-11
M OWL, 8131,-122.419183,37.775243,25200,3
M OWL, 8131,-122.446761,37.720702,27060,352
M OWL, 8131,-122.4658,37.740956,26160,469
M OWL, 8131,-122.471618,37.734807,26340,439
M OWL, 8507,-122.393232,37.793347,25680,475
M OWL, 8507,-122.419183,37.775243,26400,573
M OWL, 8530,-122.393232,37.793347,28080,1026
M OWL, 8530,-122.419183,37.775243,28800,1076
M OWL, 8137,-122.393232,37.793347,23340,40
M OWL, 8179,-122.466006,37.74092,21660,-222
M OWL, 8507,-122.393232,37.793347,25140,1015
M OWL, 8507,-122.419321,37.775056,24540,850
M OWL, 8530,-122.393232,37.793347,27840,1043
M OWL, 8530,-122.419321,37.775056,27240,914
M OWL, 8305,-122.446761,37.720702,26400,280
