PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
01,5213600,101,-122.409774,37.79379,10/7/2012 7:56:00.199000 PM
01,5213600,101,-122.396996,37.795415,10/7/2012 8:02:00.205000 PM
01,5213600,101,-122.446885,37.787149,10/7/2012 7:41:00.212000 PM
01,5213600,101,-122.464709,37.784902,10/7/2012 7:36:00.218000 PM
01,5213600,101,-122.433669,37.789839,10/7/2012 7:46:00.224000 PM
01,5213600,101,-122.493227,37.779744,10/7/2012 7:28:00.231000 PM
01,5213600,101,-122.420714,37.792385,10/7/2012 7:52:00.237000 PM
01,5213511,103,-122.409116,37.793043,10/7/2012 2:32:00.699000 PM
01,5213495,108,-122.396996,37.795415,10/7/2012 4:32:00.680000 PM
01,5213495,108,-122.434336,37.78984,10/7/2012 4:53:00.687000 PM
01,5213495,108,-122.464939,37.785017,10/7/2012 5:05:00.693000 PM
01,5213495,108,-122.446908,37.787328,10/7/2012 4:59:00.700000 PM
01,5213495,108,-122.401551,37.79403,10/7/2012 4:35:00.708000 PM
01,5213495,108,-122.409116,37.793043,10/7/2012 4:41:00.714000 PM
01,5213495,108,-122.421146,37.791516,10/7/2012 4:47:00.720000 PM
01,5213495,108,-122.493227,37.779744,10/7/2012 5:15:00.728000 PM
01,5213675,109,-122.464709,37.784902,10/7/2012 9:46:00.650000 AM
01,5213675,109,-122.396996,37.795415,10/7/2012 10:16:00.659000 AM
01,5213675,109,-122.433669,37.789839,10/7/2012 9:57:00.667000 AM
01,5213675,109,-122.446885,37.787149,10/7/2012 9:52:00.677000 AM
01,5213675,109,-122.420714,37.792385,10/7/2012 10:04:00.685000 AM
01,5213675,109,-122.401118,37.79482,10/7/2012 10:14:00.693000 AM
01,5213471,102,-122.396996,37.795415,10/7/2012 8:39:00.466000 PM
01,5213471,102,-122.421146,37.791516,10/7/2012 8:52:00.479000 PM
01,5213471,102,-122.401551,37.79403,10/7/2012 8:42:00.485000 PM
01,5213471,102,-122.434336,37.78984,10/7/2012 8:57:00.491000 PM
01,5213600,101,-122.401118,37.79482,10/7/2012 8:00:00.244000 PM
01,5213511,103,-122.396996,37.795415,10/7/2012 2:24:00.705000 PM
01,5213511,103,-122.421146,37.791516,10/7/2012 2:38:00.712000 PM
01,5213511,103,-122.464939,37.785017,10/7/2012 2:58:00.718000 PM
01,5213511,103,-122.446908,37.787328,10/7/2012 2:51:00.724000 PM
01,5213511,103,-122.493227,37.779744,10/7/2012 3:07:00.731000 PM
01,5213511,103,-122.434336,37.78984,10/7/2012 2:45:00.739000 PM
01,5213511,103,-122.401551,37.79403,10/7/2012 2:27:00.745000 PM
03,5215074,301,-122.433151,37.786158,10/7/2012 11:55:00.516000 AM
03,5215074,301,-122.44688,37.78737,10/7/2012 12:06:00.522000 PM
03,5215074,301,-122.408677,37.789266,10/7/2012 11:42:00.528000 AM
03,5215074,301,-122.420198,37.787797,10/7/2012 11:48:00.534000 AM
03,5215074,301,-122.400674,37.790298,10/7/2012 11:38:00.541000 AM
01,5213542,109,-122.446908,37.787328,10/7/2012 10:48:00.931000 AM
01,5213542,109,-122.493227,37.779744,10/7/2012 11:03:00.937000 AM
01,5213542,109,-122.464939,37.785017,10/7/2012 10:54:00.943000 AM
01,5213542,109,-122.396996,37.795415,10/7/2012 10:24:00.950000 AM
01,5213542,109,-122.421146,37.791516,10/7/2012 10:36:00.955000 AM
01,5213542,109,-122.434336,37.78984,10/7/2012 10:43:00.962000 AM
01,5213542,109,-122.409116,37.793043,10/7/2012 10:31:00.970000 AM
01,5213542,109,-122.401551,37.79403,10/7/2012 10:27:00.978000 AM
01,5213539,113,-122.464939,37.785017,10/7/2012 11:15:00.605000 AM
01,5213539,113,-122.446908,37.787328,10/7/2012 11:09:00.614000 AM
01,5213539,113,-122.493227,37.779744,10/7/2012 11:24:00.624000 AM
01,5213691,105,-122.493227,37.779744,10/7/2012 6:23:00.535000 AM
01,5213691,105,-122.446885,37.787149,10/7/2012 6:36:00.541000 AM
01,5213691,105,-122.396996,37.795415,10/7/2012 6:57:00.547000 AM
01,5213691,105,-122.409774,37.79379,10/7/2012 6:51:00.554000 AM
01,5213691,105,-122.464709,37.784902,10/7/2012 6:31:00.560000 AM
01,5213691,105,-122.401118,37.79482,10/7/2012 6:55:00.567000 AM
01,5213691,105,-122.420714,37.792385,10/7/2012 6:47:00.574000 AM
01,5213691,105,-122.433669,37.789839,10/7/2012 6:41:00.580000 AM
01,5213594,112,-122.493227,37.779744,10/7/2012 8:39:00.667000 PM
01,5213594,112,-122.464709,37.784902,10/7/2012 8:47:00.674000 PM
01,5213594,112,-122.446885,37.787149,10/7/2012 8:52:00.680000 PM
01,5213471,102,-122.493227,37.779744,10/7/2012 9:15:00.472000 PM
01,5213471,102,-122.464939,37.785017,10/7/2012 9:07:00.497000 PM
01,5213471,102,-122.446908,37.787328,10/7/2012 9:02:00.503000 PM
01,5213471,102,-122.409116,37.793043,10/7/2012 8:47:00.510000 PM
01,5213677,101,-122.433669,37.789839,10/7/2012 9:37:00.118000 AM
01,5213677,101,-122.464709,37.784902,10/7/2012 9:26:00.126000 AM
01,5213677,101,-122.446885,37.787149,10/7/2012 9:32:00.132000 AM
01,5213579,107,-122.446885,37.787149,10/7/2012 1:41:01.144000 AM
01,5213579,107,-122.493227,37.779744,10/7/2012 1:31:01.152000 AM
01,5213468,101,-122.421146,37.791516,10/7/2012 9:51:00.921000 PM
01,5213468,101,-122.396996,37.795415,10/7/2012 9:39:00.927000 PM
01,5213468,101,-122.401551,37.79403,10/7/2012 9:42:00.934000 PM
01,5213468,101,-122.493227,37.779744,10/7/2012 10:11:00.940000 PM
01,5213468,101,-122.434336,37.78984,10/7/2012 9:56:00.946000 PM
01,5213468,101,-122.464939,37.785017,10/7/2012 10:04:00.953000 PM
01,5213677,101,-122.409774,37.79379,10/7/2012 9:49:00.139000 AM
01,5213677,101,-122.401118,37.79482,10/7/2012 9:54:00.146000 AM
01,5213677,101,-122.420714,37.792385,10/7/2012 9:44:00.153000 AM
01,5213677,101,-122.493227,37.779744,10/7/2012 9:16:00.159000 AM
01,5213677,101,-122.396996,37.795415,10/7/2012 9:56:00.166000 AM
01,5213579,107,-122.464709,37.784902,10/7/2012 1:37:01.161000 AM
01,5213468,101,-122.446908,37.787328,10/7/2012 10:00:00.961000 PM
01,5213468,101,-122.409116,37.793043,10/7/2012 9:47:00.967000 PM
02,5215035,202,-122.473077,37.782498,10/7/2012 7:16:00.351000 AM
02,5215035,202,-122.433151,37.786158,10/7/2012 7:01:00.358000 AM
01,5213575,110,-122.446908,37.787328,10/7/2012 9:29:00.452000 AM
01,5213575,110,-122.464939,37.785017,10/7/2012 9:35:00.461000 AM
01,5213575,110,-122.493227,37.779744,10/7/2012 9:44:00.469000 AM
01,5213508,108,-122.446908,37.787328,10/7/2012 3:15:00.414000 PM
01,5213508,108,-122.396996,37.795415,10/7/2012 2:48:00.420000 PM
01,5213577,102,-122.493227,37.779744,10/7/2012 2:31:01.860000 AM
01,5213577,102,-122.446885,37.787149,10/7/2012 2:41:01.866000 AM
01,5213577,102,-122.464709,37.784902,10/7/2012 2:37:01.872000 AM
